          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  10343 K
     model number =   27   age (yrs) =  2.98970E+08   l/l sun =  3.70631E-03
     number of points in model = 423   r/r sun =  1.91304E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0278        78.4725        0.1446
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  1  116.346  116.446    46.0492  -0.27444E+00      1      1      1   51.231   0.473
     1  2  220.204  222.021    46.9510  -0.52905E+00      2      2      2   50.003   0.471
     1  4  355.059  354.051    46.0149   0.41871E+00      4      4      4   49.469   0.467
     1  5  413.920  413.038    45.7283  -0.40292E-01      5      5      5   48.131   0.425
     1  6  453.748  453.313    45.5782  -0.37734E-01      6      6      6   47.628   0.397
     1  7  499.476  499.810    45.1536  -0.66664E-02      7      7      7   47.835   0.464
     1  8  558.344  558.249    44.8032   0.15474E-01      8      8      8   47.913   0.482
     1  9  617.080  616.628    44.5483   0.12820E-01      9      9      9   47.604   0.481
     1 10  669.424  668.598    44.4295   0.44628E-02     10     10     10   47.114   0.469
     1 11  713.485  713.380    44.2884   0.41944E-03     11     11     11   46.936   0.471
     1 12  763.495  763.872    44.0579  -0.89826E-03     12     12     12   47.071   0.485
     1 13  819.987  820.074    43.8766  -0.12514E-02     13     13     13   47.106   0.490
     1 14  877.409  876.881    43.7515  -0.13579E-02     14     14     14   46.895   0.490
     1 15  929.893  929.149    43.7098  -0.12624E-02     15     15     15   46.534   0.485
     1 16  975.980  975.884    43.6316  -0.10573E-02     16     16     16   46.404   0.486
     1 17 1026.584 1026.851    43.4810  -0.67550E-03     17     17     17   46.525   0.492
     1 18 1082.133 1082.250    43.3786  -0.20794E-03     18     18     18   46.565   0.494
     1 19 1138.550 1138.122    43.3200   0.11730E-03     19     19     19   46.419   0.494
     1 20 1191.642 1190.795    43.3212   0.26938E-03     20     20     20   46.136   0.492
     1 21 1239.104 1238.864    43.3117   0.28030E-03     21     21     21   45.998   0.491
     1 22 1289.435 1289.704    43.2318   0.12149E-03     22     22     22   46.097   0.494
     1 23 1344.706 1344.711    43.1954  -0.11869E-03     23     23     23   46.149   0.496
     1 24 1400.878 1400.589    43.1990  -0.26644E-03     24     24     24   46.041   0.496
     1 25 1454.819 1454.020    43.2407  -0.34606E-03     25     25     25   45.816   0.495
     2  1   67.655   67.695    47.3215  -0.63619E-01      1      1      1   51.011   0.142
     2  2  128.018  128.977    46.8782  -0.12635E-01      2      2      2   50.350   0.139
     2  3  170.083  170.302    46.3424  -0.61263E-02      3      3      3   49.769   0.142
     2  4  206.993  206.760    45.9478  -0.41227E-02      4      4      4   49.201   0.145
     2  5  244.736  244.529    45.5524  -0.29630E-02      5      5      5   48.517   0.143
     2  6  278.612  278.279    45.2254  -0.21267E-02      6      6      6   47.757   0.132
     2  7  307.296  306.959    45.1060  -0.15754E-02      7      7      7   47.025   0.104
     2  8  331.631  331.788    44.8164  -0.12296E-02      8      8      8   46.916   0.128
     2  9  362.933  363.092    44.4923  -0.92360E-03      9      9      9   47.004   0.151
     2 10  396.832  396.669    44.2650  -0.71377E-03     10     10     10   46.816   0.154
     2 11  429.355  429.002    44.1163  -0.57777E-03     11     11     11   46.400   0.151
     2 12  458.270  457.986    44.0469  -0.48721E-03     12     12     12   45.967   0.144
     2 13  484.566  484.654    43.9092  -0.42254E-03     13     13     13   45.866   0.149
     2 14  514.952  515.074    43.7187  -0.36336E-03     14     14     14   45.963   0.157
     2 15  548.225  548.249    43.5901  -0.31234E-03     15     15     15   45.879   0.159
     2 16  580.700  580.387    43.5147  -0.27247E-03     16     16     16   45.579   0.158
     2 17  610.078  609.697    43.4865  -0.24249E-03     17     17     17   45.243   0.155
     2 18  637.287  637.336    43.4219  -0.21871E-03     18     18     18   45.132   0.156
     2 19  666.960  667.114    43.3127  -0.19641E-03     19     19     19   45.211   0.160
     2 20  699.474  699.524    43.2454  -0.17561E-03     20     20     20   45.195   0.162
     2 21  732.017  731.820    43.2315  -0.15794E-03     21     21     21   44.977   0.161
     2 22  762.014  761.545    43.2580  -0.14411E-03     22     22     22   44.688   0.160
     2 23  789.962  789.870    43.2550  -0.13300E-03     23     23     23   44.568   0.160
     2 24  819.562  819.810    43.2162  -0.12270E-03     24     24     24   44.621   0.162
     2 25  851.725  851.789    43.2017  -0.11290E-03     25     25     25   44.635   0.163
     2 26  884.557  884.352    43.2273  -0.10410E-03     26     26     26   44.480   0.163
     2 27  915.411  914.995    43.2865  -0.96675E-04     27     27     27   44.228   0.162
     2 28  944.107  943.925    43.3149  -0.90435E-04     28     28     28   44.107   0.162
     2 29  974.063  974.264    43.3061  -0.84508E-04     29     29     29   44.145   0.163
     2 30 1006.203 1006.371    43.3152  -0.78722E-04     30     30     30   44.163   0.164
     2 31 1039.083 1038.858    43.3520  -0.73399E-04     31     31     31   44.048   0.164
     2 32 1070.493 1070.063    43.4172  -0.68829E-04     32     32     32   43.835   0.163
     2 32 1099.844 1099.708    43.4592  -0.64967E-04     33     33     32   43.718   0.163
     2 33 1130.128 1130.300    43.4606  -0.61361E-04     34     34     33   43.748   0.164
     2 34 1162.359 1162.493    43.4770  -0.57876E-04     35     35     34   43.763   0.165
     2 34 1195.141 1195.021    43.5167  -0.54633E-04     36     36     34   43.667   0.165
     2 35 1226.745 1226.312    43.5779  -0.51752E-04     37     37     35   43.491   0.164
     2 36 1256.641 1256.438    43.6236  -0.49217E-04     38     38     36   43.385   0.164
     2 36 1287.201 1287.429    43.6337  -0.46792E-04     39     39     36   43.405   0.165
     2 37 1319.487 1319.634    43.6540  -0.44408E-04     40     40     37   43.417   0.165
     2 38 1352.184 1352.011    43.6954  -0.42171E-04     41     41     38   43.330   0.165
     2 39 1383.831 1383.466    43.7526  -0.40166E-04     42     42     39   43.183   0.165
     2 39 1414.167 1413.967    43.7954  -0.38391E-04     43     43     39   43.095   0.165
     2 39 1445.036 1445.177    43.8101  -0.36718E-04     44     44     39   43.107   0.165
     2 40 1477.320 1477.520    43.8336  -0.35093E-04     45     45     40   43.110   0.165
