          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  11385 K
     model number =   30   age (yrs) =  3.76081E+08   l/l sun =  2.65918E-03
     number of points in model = 436   r/r sun =  1.33740E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0596        67.2797        0.3073
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  1  115.196  114.926    47.0351   0.35676E+00      1      1      1   52.845   0.487
     1  3  272.241  271.829    45.8378   0.18248E+00      3      3      3   49.929   0.458
     1  4  313.285  313.417    45.5305  -0.25903E-01      4      4      4   49.104   0.445
     1  5  363.138  363.064    44.9621  -0.39507E-01      5      5      5   48.717   0.466
     1  6  409.816  409.736    44.8026  -0.77710E-02      6      6      6   47.757   0.409
     1  7  438.615  438.766    44.6552   0.14612E-02      7      7      7   47.493   0.408
     1  8  481.423  481.683    44.1672   0.52432E-03      8      8      8   47.893   0.479
     1  9  531.287  531.271    43.9347  -0.24032E-02      9      9      9   47.821   0.485
     1 10  579.704  579.639    43.7345  -0.49300E-03     10     10     10   47.499   0.482
     1 11  623.700  623.368    43.6519   0.83004E-03     11     11     11   47.024   0.470
     1 12  661.198  661.093    43.5425   0.57237E-03     12     12     12   46.832   0.470
     1 13  702.605  702.900    43.3372  -0.11774E-03     13     13     13   46.969   0.485
     1 14  750.032  750.147    43.1782  -0.40471E-03     14     14     14   47.033   0.490
     1 15  797.822  797.692    43.0686  -0.30696E-03     15     15     15   46.892   0.491
     1 16  843.711  843.473    43.0146  -0.29246E-03     16     16     16   46.604   0.488
     1 17  885.229  884.931    42.9930  -0.32531E-03     17     17     17   46.355   0.485
     1 18  925.418  925.511    42.9215  -0.26804E-03     18     18     18   46.348   0.488
     1 19  969.773  969.923    42.8385  -0.12473E-03     19     19     19   46.467   0.493
     1 20 1017.463 1017.458    42.8065  -0.15860E-04     20     20     20   46.471   0.495
     1 21 1065.561 1065.414    42.8138   0.11987E-04     21     21     21   46.292   0.494
     1 22 1110.241 1109.754    42.8652   0.27574E-04     22     22     22   46.012   0.491
     1 23 1150.822 1150.648    42.8910   0.37151E-04     23     23     23   45.902   0.491
     1 24 1194.269 1194.450    42.8579   0.12744E-04     24     24     24   46.015   0.495
     1 25 1242.121 1242.122    42.8597  -0.29087E-04     25     25     25   46.081   0.496
     1 26 1290.856 1290.781    42.8947  -0.56331E-04     26     26     26   45.978   0.496
     1 27 1337.475 1337.083    42.9573  -0.82947E-04     27     27     27   45.760   0.495
     1 28 1380.669 1380.252    43.0176  -0.92383E-04     28     28     28   45.600   0.494
     1 29 1423.789 1423.792    43.0259  -0.77500E-04     29     29     29   45.625   0.495
     1 30 1470.196 1470.247    43.0333  -0.58570E-04     30     30     30   45.711   0.497
     2  1   66.580   66.419    47.5965  -0.24373E-01      1      1      1   52.288   0.154
     2  2  130.743  131.656    46.2788  -0.41529E-02      2      2      2   50.843   0.151
     2  3  158.530  158.384    45.7779  -0.26602E-02      3      3      3   49.816   0.136
     2  4  183.700  183.858    45.4968  -0.19950E-02      4      4      4   49.174   0.127
     2  5  211.864  211.905    44.9151  -0.14241E-02      5      5      5   49.018   0.148
     2  6  243.061  243.146    44.5559  -0.91992E-03      6      6      6   48.471   0.149
     2  7  272.392  272.315    44.2476  -0.62192E-03      7      7      7   47.673   0.137
     2  8  294.655  294.516    44.2200  -0.48659E-03      8      8      8   46.901   0.099
     2  9  314.680  314.765    43.9593  -0.40070E-03      9      9      9   46.836   0.128
     2 10  340.506  340.655    43.6884  -0.31627E-03     10     10     10   46.957   0.151
     2 11  368.894  368.865    43.5052  -0.24788E-03     11     11     11   46.819   0.155
     2 12  396.642  396.558    43.3661  -0.20098E-03     12     12     12   46.467   0.153
     2 13  422.047  421.907    43.3082  -0.16996E-03     13     13     13   46.017   0.146
     2 14  444.496  444.443    43.2147  -0.14853E-03     14     14     14   45.818   0.146
     2 15  468.733  468.864    43.0642  -0.12974E-03     15     15     15   45.871   0.155
     2 16  495.621  495.723    42.9541  -0.11297E-03     16     16     16   45.883   0.159
     2 17  523.160  523.113    42.8870  -0.99206E-04     17     17     17   45.734   0.160
     2 18  550.029  549.897    42.8653  -0.88112E-04     18     18     18   45.440   0.158
     2 19  574.514  574.343    42.8927  -0.79478E-04     19     19     19   45.139   0.155
     2 20  597.753  597.829    42.8683  -0.72376E-04     20     20     20   45.079   0.157
     2 21  623.563  623.688    42.8124  -0.65566E-04     21     21     21   45.174   0.161
     2 22  651.427  651.419    42.8035  -0.59250E-04     22     22     22   45.153   0.162
     2 23  679.373  679.341    42.8378  -0.53790E-04     23     23     23   44.944   0.162
     2 24  705.464  705.249    42.9064  -0.49380E-04     24     24     24   44.648   0.160
     2 25  729.457  729.355    42.9415  -0.45820E-04     25     25     25   44.512   0.160
     2 26  754.772  754.898    42.9238  -0.42486E-04     26     26     26   44.573   0.162
     2 27  782.260  782.330    42.9354  -0.39289E-04     27     27     27   44.604   0.163
     2 28  810.387  810.389    42.9755  -0.36395E-04     28     28     28   44.497   0.163
     2 29  837.687  837.528    43.0358  -0.33878E-04     29     29     29   44.281   0.163
     2 30  863.192  863.003    43.1046  -0.31753E-04     30     30     30   44.084   0.162
     2 31  888.098  888.163    43.1285  -0.29863E-04     31     31     31   44.055   0.163
     2 32  914.749  914.852    43.1322  -0.28012E-04     32     32     32   44.126   0.164
     2 33  942.945  942.977    43.1623  -0.26233E-04     33     33     33   44.115   0.164
     2 34  971.206  971.165    43.2208  -0.24619E-04     34     34     34   43.958   0.164
     2 35  997.813  997.601    43.3005  -0.23235E-04     35     35     35   43.734   0.163
     2 36 1022.716 1022.649    43.3447  -0.22048E-04     36     36     36   43.647   0.163
     2 37 1048.865 1048.990    43.3462  -0.20906E-04     37     37     37   43.718   0.164
     2 38 1076.931 1077.007    43.3734  -0.19780E-04     38     38     38   43.749   0.165
     2 39 1105.382 1105.397    43.4263  -0.18731E-04     39     39     39   43.644   0.165
     2 40 1132.651 1132.491    43.4942  -0.17804E-04     40     40     40   43.455   0.164
     2 40 1158.310 1158.147    43.5531  -0.16991E-04     41     41     40   43.328   0.164
     2 40 1184.153 1184.236    43.5743  -0.16224E-04     42     42     40   43.343   0.165
     2 41 1211.567 1211.684    43.5925  -0.15465E-04     43     43     41   43.396   0.165
     2 42 1239.904 1239.938    43.6294  -0.14734E-04     44     44     42   43.364   0.165
     2 43 1267.918 1267.845    43.6876  -0.14060E-04     45     45     43   43.222   0.165
     2 43 1294.431 1294.229    43.7589  -0.13466E-04     46     46     43   43.056   0.165
     2 44 1319.957 1319.923    43.7954  -0.12932E-04     47     47     44   43.017   0.165
     2 45 1346.772 1346.903    43.8047  -0.12405E-04     48     48     45   43.087   0.165
     2 46 1375.068 1375.131    43.8357  -0.11886E-04     49     49     46   43.102   0.166
     2 46 1403.457 1403.435    43.8920  -0.11398E-04     50     50     46   42.992   0.165
     2 47 1430.504 1430.332    43.9602  -0.10960E-04     51     51     47   42.827   0.165
     2 48 1456.253 1456.116    44.0060  -0.10566E-04     52     52     48   42.754   0.165
     2 49 1482.717 1482.808    44.0233  -0.10181E-04     53     53     49   42.799   0.165
