          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  10343 K
     model number =   28   age (yrs) =  3.02701E+08   l/l sun =  3.61863E-03
     number of points in model = 423   r/r sun =  1.89031E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0282        79.1587        0.1472
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  1  122.039  122.096    46.1614  -0.24346E+00      1      1      1   51.171   0.468
     1  2  217.834  219.105    46.8191  -0.45545E+00      2      2      2   50.292   0.472
     1  2  294.838  292.174    46.2986  -0.12283E+01      2      2      2   48.689   0.613
     1  4  359.552  358.750    45.7933   0.31822E+00      4      4      4   49.464   0.470
     1  5  416.214  415.300    45.7167  -0.20383E-01      5      5      5   48.114   0.420
     1  6  458.522  458.165    45.5287  -0.34804E-01      6      6      6   47.612   0.398
     1  7  503.319  503.630    45.0738  -0.11402E-01      7      7      7   47.821   0.465
     1  8  562.630  562.546    44.7484   0.13525E-01      8      8      8   47.883   0.482
     1  9  621.383  620.960    44.4913   0.12740E-01      9      9      9   47.592   0.481
     1 10  674.639  673.771    44.3626   0.42537E-02     10     10     10   47.106   0.470
     1 11  718.639  718.514    44.2400   0.35296E-03     11     11     11   46.913   0.470
     1 12  769.315  769.740    44.0087  -0.82135E-03     12     12     12   47.049   0.485
     1 13  825.713  825.752    43.8307  -0.12293E-02     13     13     13   47.085   0.490
     1 14  883.621  883.156    43.7082  -0.13201E-02     14     14     14   46.886   0.490
     1 15  936.876  936.171    43.6637  -0.11345E-02     15     15     15   46.527   0.486
     1 16  983.265  983.066    43.5990  -0.96679E-03     16     16     16   46.378   0.485
     1 17 1033.818 1034.098    43.4478  -0.68185E-03     17     17     17   46.504   0.492
     1 18 1089.927 1090.082    43.3511  -0.23632E-03     18     18     18   46.550   0.494
     1 19 1146.657 1146.229    43.2996   0.82424E-04     19     19     19   46.407   0.494
     1 20 1200.463 1199.706    43.3011   0.20454E-03     20     20     20   46.130   0.492
     1 21 1248.503 1248.183    43.3054   0.23338E-03     21     21     21   45.972   0.491
     1 22 1298.635 1298.794    43.2300   0.13404E-03     22     22     22   46.071   0.494
     1 23 1354.510 1354.630    43.1954  -0.84206E-04     23     23     23   46.138   0.496
     1 24 1411.434 1411.220    43.2077  -0.23687E-03     24     24     24   46.029   0.496
     1 25 1465.904 1465.064    43.2528  -0.31317E-03     25     25     25   45.803   0.495
     2  1   70.992   71.009    47.0237  -0.58086E-01      1      1      1   50.938   0.137
     2  2  126.455  127.154    46.4858  -0.13930E-01      2      2      2   50.520   0.141
     2  3  171.558  171.870    46.4788  -0.62978E-02      3      3      3   49.667   0.142
     2  4  209.240  209.026    45.7806  -0.40189E-02      4      4      4   49.290   0.147
     2  5  246.579  246.366    45.5361  -0.28632E-02      5      5      5   48.466   0.142
     2  6  281.137  280.845    45.1392  -0.20749E-02      6      6      6   47.768   0.133
     2  7  309.581  309.209    45.0388  -0.15572E-02      7      7      7   47.023   0.104
     2  8  334.350  334.510    44.7564  -0.12120E-02      8      8      8   46.905   0.128
     2  9  365.533  365.695    44.4390  -0.91048E-03      9      9      9   46.986   0.150
     2 10  399.604  399.447    44.2036  -0.70375E-03     10     10     10   46.822   0.154
     2 11  432.548  432.234    44.0706  -0.56929E-03     11     11     11   46.395   0.151
     2 12  461.692  461.381    43.9911  -0.47995E-03     12     12     12   45.970   0.144
     2 13  488.206  488.243    43.8671  -0.41623E-03     13     13     13   45.852   0.149
     2 14  518.622  518.781    43.6793  -0.35830E-03     14     14     14   45.948   0.157
     2 15  552.036  552.084    43.5498  -0.30795E-03     15     15     15   45.880   0.160
     2 16  584.949  584.650    43.4757  -0.26835E-03     16     16     16   45.586   0.158
     2 17  614.606  614.222    43.4579  -0.23882E-03     17     17     17   45.237   0.155
     2 18  641.976  641.971    43.3966  -0.21545E-03     18     18     18   45.123   0.156
     2 19  671.780  671.932    43.2968  -0.19354E-03     19     19     19   45.196   0.160
     2 20  704.388  704.510    43.2327  -0.17317E-03     20     20     20   45.191   0.162
     2 21  737.362  737.156    43.2196  -0.15567E-03     21     21     21   44.986   0.162
     2 22  767.849  767.363    43.2581  -0.14188E-03     22     22     22   44.682   0.160
     2 23  795.848  795.755    43.2636  -0.13098E-03     23     23     23   44.553   0.160
     2 24  825.700  825.918    43.2266  -0.12081E-03     24     24     24   44.611   0.162
     2 25  858.095  858.175    43.2182  -0.11115E-03     25     25     25   44.627   0.163
     2 26  891.258  891.123    43.2419  -0.10246E-03     26     26     26   44.485   0.163
     2 27  922.703  922.258    43.3051  -0.95089E-04     27     27     27   44.225   0.162
     2 28  951.472  951.248    43.3459  -0.88981E-04     28     28     28   44.086   0.162
     2 29  981.552  981.778    43.3332  -0.83178E-04     29     29     29   44.136   0.163
     2 30 1014.102 1014.240    43.3449  -0.77467E-04     30     30     30   44.160   0.164
     2 31 1047.300 1047.125    43.3822  -0.72219E-04     31     31     31   44.049   0.164
     2 32 1079.214 1078.850    43.4472  -0.67688E-04     32     32     32   43.832   0.164
     2 33 1108.750 1108.525    43.4998  -0.63891E-04     33     33     33   43.695   0.163
     2 34 1139.018 1139.147    43.4978  -0.60363E-04     34     34     34   43.735   0.164
     2 34 1171.674 1171.876    43.5120  -0.56914E-04     35     35     34   43.765   0.165
     2 35 1204.895 1204.791    43.5537  -0.53710E-04     36     36     35   43.669   0.165
     2 36 1236.903 1236.487    43.6171  -0.50866E-04     37     37     36   43.484   0.164
     2 36 1266.997 1266.784    43.6702  -0.48381E-04     38     38     36   43.363   0.164
     2 37 1297.545 1297.702    43.6778  -0.46021E-04     39     39     37   43.390   0.165
     2 39 1330.188 1330.332    43.6937  -0.43670E-04     40     40     39   43.420   0.165
     2 39 1363.434 1363.386    43.7365  -0.41455E-04     41     41     39   43.336   0.165
     2 40 1395.487 1395.117    43.7974  -0.39476E-04     42     42     40   43.173   0.165
     2 40 1425.923 1425.624    43.8462  -0.37736E-04     43     43     40   43.071   0.165
     2 41 1456.800 1456.948    43.8587  -0.36103E-04     44     44     41   43.092   0.165
     2 41 1489.434 1489.650    43.8772  -0.34499E-04     45     45     41   43.115   0.165
