          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  11385 K
     model number =   30   age (yrs) =  3.86852E+08   l/l sun =  2.58490E-03
     number of points in model = 436   r/r sun =  1.31859E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0611        70.5737        0.3139
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  1  137.881  137.971    46.1954  -0.23890E+00      1      1      1   52.333   0.489
     1  2  232.362  232.344    46.2347   0.54927E+00      2      2      2   51.061   0.477
     1  3  290.700  290.857    45.5168  -0.36062E-02      3      3      3   49.521   0.452
     1  4  321.683  320.952    45.3005  -0.28803E-01      4      4      4   49.066   0.448
     1  5  387.292  387.987    44.7425  -0.93467E-02      5      5      5   48.440   0.461
     1  6  424.501  424.091    44.7223  -0.31780E-02      6      6      6   47.527   0.378
     1  7  457.230  457.484    44.3571  -0.18475E-02      7      7      7   47.587   0.443
     1  8  504.554  504.730    44.0100   0.51703E-04      8      8      8   47.826   0.480
     1  9  556.836  556.822    43.7355   0.18171E-02      9      9      9   47.727   0.485
     1 10  606.260  606.042    43.6181   0.78676E-03     10     10     10   47.282   0.478
     1 11  650.058  649.663    43.5281  -0.83823E-04     11     11     11   46.855   0.466
     1 12  687.759  687.931    43.3781   0.20718E-03     12     12     12   46.823   0.475
     1 13  735.488  735.662    43.1787   0.54781E-03     13     13     13   46.994   0.488
     1 14  785.307  785.265    43.0479  -0.12614E-03     14     14     14   46.947   0.491
     1 15  834.536  834.371    42.9755  -0.62274E-03     15     15     15   46.717   0.489
     1 16  880.405  879.979    42.9560  -0.39797E-03     16     16     16   46.409   0.485
     1 17  921.890  921.812    42.9204  -0.14901E-03     17     17     17   46.281   0.486
     1 18  966.049  966.162    42.8448  -0.13776E-03     18     18     18   46.373   0.491
     1 19 1014.992 1015.092    42.7979  -0.15924E-03     19     19     19   46.446   0.494
     1 20 1065.768 1065.644    42.7996  -0.31267E-04     20     20     20   46.333   0.494
     1 21 1114.259 1113.785    42.8468   0.49590E-04     21     21     21   46.061   0.492
     1 22 1157.690 1157.432    42.9077   0.29668E-04     22     22     22   45.861   0.491
     1 23 1201.489 1201.510    42.8848   0.64412E-05     23     23     23   45.929   0.493
     1 24 1250.848 1250.922    42.8758  -0.42436E-05     24     24     24   46.036   0.496
     1 25 1302.187 1302.166    42.9082  -0.47418E-04     25     25     25   45.975   0.496
     1 26 1351.932 1351.527    42.9772  -0.81958E-04     26     26     26   45.757   0.495
     1 27 1397.611 1397.184    43.0495  -0.81564E-04     27     27     27   45.564   0.494
     1 28 1442.238 1442.093    43.0637  -0.74968E-04     28     28     28   45.571   0.495
     1 29 1490.740 1490.843    43.0731  -0.61914E-04     29     29     29   45.664   0.497
     2  1   79.659   79.709    46.2569  -0.15364E-01      1      1      1   52.329   0.156
     2  2  134.600  134.616    46.2380  -0.41553E-02      2      2      2   50.617   0.147
     2  3  169.533  169.686    45.4476  -0.24742E-02      3      3      3   49.633   0.136
     2  4  188.619  188.268    45.3393  -0.19072E-02      4      4      4   49.109   0.125
     2  5  226.061  226.563    44.6580  -0.11297E-02      5      5      5   48.938   0.152
     2  6  256.048  255.838    44.3491  -0.76650E-03      6      6      6   48.184   0.144
     2  7  284.117  284.084    44.1269  -0.55788E-03      7      7      7   47.376   0.125
     2  8  306.168  306.032    44.0755  -0.44266E-03      8      8      8   46.775   0.099
     2  9  328.101  328.275    43.7409  -0.35617E-03      9      9      9   46.869   0.139
     2 10  356.802  356.838    43.5434  -0.27633E-03     10     10     10   46.888   0.153
     2 11  386.394  386.349    43.3331  -0.22056E-03     11     11     11   46.705   0.155
     2 12  415.081  414.956    43.2649  -0.18038E-03     12     12     12   46.222   0.149
     2 13  439.476  439.268    43.2021  -0.15398E-03     13     13     13   45.853   0.143
     2 14  463.190  463.271    43.0732  -0.13436E-03     14     14     14   45.802   0.150
     2 15  490.063  490.183    42.9477  -0.11714E-03     15     15     15   45.862   0.157
     2 16  518.820  518.826    42.8642  -0.10202E-03     16     16     16   45.794   0.159
     2 17  547.344  547.237    42.8362  -0.89531E-04     17     17     17   45.550   0.159
     2 18  574.297  574.078    42.8620  -0.79868E-04     18     18     18   45.214   0.156
     2 19  598.572  598.569    42.8800  -0.72527E-04     19     19     19   45.036   0.155
     2 20  624.365  624.442    42.8244  -0.65709E-04     20     20     20   45.109   0.160
     2 21  653.062  653.126    42.8078  -0.59141E-04     21     21     21   45.145   0.162
     2 22  682.645  682.631    42.8370  -0.53408E-04     22     22     22   44.991   0.162
     2 23  710.852  710.614    42.9076  -0.48719E-04     23     23     23   44.688   0.160
     2 24  736.227  736.105    42.9673  -0.45018E-04     24     24     24   44.484   0.159
     2 25  762.043  762.104    42.9555  -0.41704E-04     25     25     25   44.520   0.161
     2 26  790.669  790.768    42.9629  -0.38475E-04     26     26     26   44.577   0.163
     2 27  820.304  820.323    43.0021  -0.35518E-04     27     27     27   44.490   0.163
     2 28  849.129  848.949    43.0711  -0.32961E-04     28     28     28   44.268   0.163
     2 29  875.996  875.843    43.1461  -0.30821E-04     29     29     29   44.057   0.162
     2 30  901.990  901.984    43.1704  -0.28934E-04     30     30     30   44.023   0.162
     2 31  929.912  930.008    43.1784  -0.27089E-04     31     31     31   44.092   0.164
     2 32  959.554  959.654    43.2121  -0.25316E-04     32     32     32   44.079   0.164
     2 33  989.210  989.088    43.2753  -0.23710E-04     33     33     33   43.912   0.164
     2 34 1016.982 1016.797    43.3578  -0.22346E-04     34     34     34   43.686   0.163
     2 35 1042.953 1042.902    43.3996  -0.21182E-04     35     35     35   43.614   0.163
     2 36 1070.634 1070.728    43.4055  -0.20044E-04     36     36     36   43.694   0.164
     2 37 1100.390 1100.521    43.4351  -0.18925E-04     37     37     37   43.711   0.165
     2 38 1130.174 1130.105    43.4946  -0.17899E-04     38     38     38   43.577   0.165
     2 39 1158.375 1158.202    43.5748  -0.17004E-04     39     39     39   43.374   0.164
     2 40 1184.961 1184.870    43.6251  -0.16217E-04     40     40     40   43.282   0.164
     2 41 1212.483 1212.538    43.6371  -0.15456E-04     41     41     41   43.333   0.165
     2 42 1241.762 1241.911    43.6619  -0.14703E-04     42     42     42   43.368   0.165
     2 43 1271.555 1271.553    43.7125  -0.13990E-04     43     43     43   43.288   0.165
     2 44 1300.465 1300.302    43.7842  -0.13348E-04     44     44     44   43.113   0.165
     2 44 1327.542 1327.403    43.8477  -0.12788E-04     45     45     44   42.984   0.165
     2 45 1354.594 1354.612    43.8676  -0.12265E-04     46     46     45   43.011   0.165
     2 46 1383.633 1383.775    43.8865  -0.11740E-04     47     47     46   43.076   0.165
     2 47 1413.669 1413.720    43.9304  -0.11233E-04     48     48     47   43.029   0.165
     2 48 1442.891 1442.746    44.0007  -0.10772E-04     49     49     48   42.865   0.165
     2 49 1470.194 1470.025    44.0701  -0.10365E-04     50     50     49   42.726   0.165
     2 50 1497.265 1497.246    44.0953  -0.99834E-05     51     51     50   42.739   0.165
