          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  10501 K
     model number =   30   age (yrs) =  3.91614E+08   l/l sun =  2.55010E-03
     number of points in model = 432   r/r sun =  1.53944E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0476        54.4296        0.2427
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  2   64.934   65.794    44.7169  -0.50045E+00      1      2      2   51.102   0.462
     1  2  143.223  143.924    47.0464  -0.55869E+00      2      2      2   50.695   0.466
     1  3  175.062  175.336    46.5476  -0.52061E+00      3      3      3   50.408   0.480
     1  4  240.230  240.646    46.5106  -0.27495E+00      4      4      4   50.365   0.483
     1  5  272.327  272.328    46.2911  -0.10846E+00      5      5      5   50.278   0.487
     1  6  323.026  322.788    45.9856   0.41659E-01      6      6      6   49.892   0.487
     1  7  361.216  360.886    45.6962   0.34149E-01      7      7      7   49.285   0.484
     1  8  402.832  402.505    45.4355   0.97440E-02      8      8      8   48.471   0.468
     1  9  432.298  432.216    45.5123   0.30674E-02      9      9      9   47.606   0.390
     1 10  457.782  457.914    45.1950  -0.56362E-03     10     10     10   47.734   0.449
     1 11  493.610  493.349    44.8702  -0.48206E-02     11     11     11   48.130   0.487
     1 12  533.830  533.443    44.6846  -0.60421E-02     12     12     12   48.174   0.492
     1 13  573.019  572.543    44.5064  -0.57018E-02     13     13     13   48.047   0.492
     1 14  612.230  611.701    44.3863  -0.44207E-02     14     14     14   47.748   0.490
     1 15  649.302  649.041    44.3128  -0.24843E-02     15     15     15   47.308   0.484
     1 16  681.563  681.743    44.3179  -0.93547E-03     16     16     16   46.886   0.471
     1 17  710.544  710.404    44.2104   0.23634E-03     17     17     17   46.910   0.480
     1 18  744.993  744.422    44.0784   0.12236E-02     18     18     18   47.196   0.492
     1 19  783.634  783.125    43.9888   0.18423E-02     19     19     19   47.385   0.495
     1 20  823.380  823.065    43.9366   0.18828E-02     20     20     20   47.391   0.496
     1 20  863.660  863.394    43.8872   0.13132E-02     21     21     20   47.240   0.496
     1 22  903.041  902.893    43.8826   0.66516E-03     22     22     22   46.859   0.494
     1 22  937.551  937.649    43.9663   0.78391E-04     23     23     22   46.316   0.485
     1 23  963.761  963.417    43.9878  -0.36345E-03     24     24     23   46.235   0.485
     1 24  997.601  997.188    43.8488  -0.77390E-03     25     25     24   46.717   0.496
     1 24 1037.465 1037.132    43.8266  -0.99668E-03     26     26     24   47.027   0.498
     1 25 1079.047 1078.887    43.8221  -0.10077E-02     27     27     25   47.109   0.498
     1 26 1121.047 1120.965    43.8410  -0.75484E-03     28     28     26   46.954   0.498
     1 26 1162.109 1162.071    43.8807  -0.39762E-03     29     29     26   46.520   0.497
     1 26 1196.811 1196.761    44.0945  -0.87337E-04     30     30     26   45.760   0.488
     1 27 1219.160 1218.718    44.0598   0.10373E-03     31     31     27   45.827   0.491
     1 28 1255.804 1255.632    43.9394   0.33158E-03     32     32     28   46.529   0.498
     1 28 1297.906 1297.733    43.9472   0.45680E-03     33     33     28   46.868   0.499
     1 29 1341.184 1341.090    43.9802   0.46016E-03     34     34     29   46.913   0.499
     1 29 1384.293 1384.381    44.0271   0.29483E-03     35     35     29   46.702   0.499
     1 29 1426.611 1426.713    44.0890   0.98872E-04     36     36     29   46.119   0.498
     1 30 1456.967 1456.571    44.4574  -0.50825E-04     37     37     30   45.257   0.488
     1 31 1479.611 1479.231    44.1939  -0.15541E-03     38     38     31   45.729   0.496
     2  2   83.236   83.513    46.8400  -0.39648E-02      2      2      2   51.031   0.133
     2  3  101.591  101.550    46.4270  -0.27051E-02      3      3      3   50.686   0.147
     2  4  139.235  139.421    46.7526  -0.26198E-02      4      4      4   50.392   0.151
     2  5  157.731  157.733    46.3621  -0.26166E-02      5      5      5   50.175   0.155
     2  6  187.149  187.038    45.9564  -0.22274E-02      6      6      6   49.831   0.157
     2  7  209.584  209.428    45.6763  -0.17186E-02      7      7      7   49.415   0.158
     2  8  234.650  234.531    45.3587  -0.12136E-02      8      8      8   49.035   0.158
     2  9  258.494  258.281    45.1632  -0.89813E-03      9      9      9   48.430   0.156
     2 10  281.263  280.972    44.9109  -0.68934E-03     10     10     10   47.821   0.150
     2 11  301.366  301.199    44.8620  -0.55067E-03     11     11     11   47.029   0.122
     2 12  316.937  317.048    44.7604  -0.46755E-03     12     12     12   46.746   0.117
     2 13  335.096  334.979    44.5199  -0.39050E-03     13     13     13   46.967   0.149
     2 14  356.970  356.683    44.3624  -0.31961E-03     14     14     14   47.116   0.159
     2 15  379.562  379.276    44.2477  -0.26605E-03     15     15     15   47.073   0.161
     2 16  402.516  402.250    44.1490  -0.22565E-03     16     16     16   46.890   0.161
     2 17  424.999  424.750    44.0768  -0.19565E-03     17     17     17   46.563   0.160
     2 18  446.595  446.540    44.0546  -0.17300E-03     18     18     18   46.073   0.154
     2 19  464.490  464.598    44.1059  -0.15759E-03     19     19     19   45.656   0.145
     2 20  481.318  481.141    44.0103  -0.14508E-03     20     20     20   45.754   0.154
     2 21  502.090  501.798    43.8973  -0.13144E-03     21     21     21   46.079   0.162
     2 22  525.042  524.774    43.8542  -0.11830E-03     22     22     22   46.222   0.164
     2 22  548.456  548.322    43.8283  -0.10659E-03     23     23     22   46.185   0.164
     2 23  572.254  572.196    43.8245  -0.95955E-04     24     24     23   45.943   0.164
     2 23  595.124  595.135    43.8580  -0.86960E-04     25     25     23   45.435   0.162
     2 24  613.618  613.664    44.0420  -0.80531E-04     26     26     24   44.804   0.151
     2 25  628.096  627.879    43.9404  -0.75976E-04     27     27     25   44.974   0.158
     2 25  649.623  649.455    43.8557  -0.69959E-04     28     28     25   45.515   0.164
     2 26  673.477  673.341    43.8629  -0.64240E-04     29     29     26   45.749   0.165
     2 27  698.107  698.074    43.8871  -0.59207E-04     30     30     27   45.737   0.166
     2 27  722.728  722.762    43.9231  -0.54948E-04     31     31     27   45.473   0.165
     2 27  746.569  746.605    43.9825  -0.51342E-04     32     32     27   44.860   0.164
     2 28  763.485  763.431    44.3222  -0.49019E-04     33     33     28   44.096   0.154
     2 29  777.569  777.392    44.0590  -0.47210E-04     34     34     29   44.559   0.163
     2 29  800.807  800.786    44.0335  -0.44396E-04     35     35     29   45.192   0.166
     2 29  825.774  825.769    44.0651  -0.41586E-04     36     36     29   45.411   0.166
     2 30  851.041  851.018    44.0930  -0.38927E-04     37     37     30   45.347   0.166
     2 30  876.155  876.204    44.1048  -0.36444E-04     38     38     30   45.018   0.166
     2 31  900.156  900.269    44.2265  -0.34268E-04     39     39     31   44.199   0.163
     2 32  913.424  913.320    44.6074  -0.33140E-04     40     40     32   43.577   0.157
     2 32  930.281  930.206    44.2480  -0.31790E-04     41     41     32   44.391   0.164
     2 32  954.966  954.980    44.3186  -0.29990E-04     40     42     32   44.940   0.166
     2 32  980.492  980.562    44.3268  -0.28316E-04     43     43     32   45.071   0.167
     2 33 1005.956 1005.995    44.2689  -0.26839E-04     44     42     33   44.939   0.167
     2 34 1031.330 1031.385    44.3086  -0.25511E-04     45     43     34   44.490   0.166
     2 34 1053.790 1053.908    44.5937  -0.24428E-04     44     46     34   43.458   0.162
     2 34 1064.283 1064.209    44.6740  -0.23948E-04     47     45     34   43.300   0.161
     2 35 1085.335 1085.376    44.4591  -0.23020E-04     46     46     35   44.259   0.166
     2 35 1110.689 1110.712    44.4435  -0.21957E-04     47     47     35   44.643   0.166
     2 36 1136.263 1136.333    44.5144  -0.20938E-04     48     48     36   44.681   0.166
     2 36 1161.898 1162.024    44.6015  -0.19960E-04     47     49     36   44.456   0.166
     2 36 1186.901 1187.018    44.6276  -0.19061E-04     48     50     36   43.848   0.166
     2 36 1205.490 1205.504    44.9919  -0.18427E-04     51     49     36   42.891   0.161
     2 38 1217.822 1217.786    44.7262  -0.18024E-04     50     50     38   43.283   0.164
     2 38 1241.548 1241.636    44.7097  -0.17292E-04     51     51     38   44.036   0.166
     2 38 1266.928 1267.025    44.7287  -0.16567E-04     52     52     38   44.263   0.167
     2 38 1292.500 1292.577    44.7146  -0.15895E-04     53     51     38   44.204   0.167
     2 38 1317.833 1317.962    44.7916  -0.15281E-04     54     52     38   43.860   0.166
     2 38 1341.410 1341.559    44.8793  -0.14746E-04     53     53     38   43.123   0.166
     2 39 1356.094 1356.038    45.1664  -0.14428E-04     54     54     39   42.625   0.163
     2 39 1373.650 1373.667    44.8718  -0.14060E-04     55     55     39   43.240   0.166
     2 40 1397.941 1398.011    44.8756  -0.13568E-04     56     54     40   43.684   0.166
     2 40 1423.098 1423.235    44.9222  -0.13082E-04     55     55     40   43.771   0.167
     2 40 1448.140 1448.285    44.9258  -0.12615E-04     56     54     40   43.598   0.166
     2 41 1472.199 1472.300    45.0257  -0.12186E-04     57     57     41   43.174   0.166
     2 41 1492.582 1492.579    45.1839  -0.11838E-04     56     58     41   42.620   0.165
