          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  10343 K
     model number =   28   age (yrs) =  3.24326E+08   l/l sun =  3.22470E-03
     number of points in model = 423   r/r sun =  1.78446E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0308        84.6604        0.1605
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  1  148.219  148.631    45.0580  -0.21330E+00      1      1      1   50.497   0.435
     1  2  238.426  238.827    45.8833  -0.29446E+00      2      2      2   50.771   0.484
     1  3  299.477  298.748    46.0610   0.11434E+01      3      3      3   50.419   0.469
     1  4  388.823  387.823    45.8853   0.57634E-01      4      4      4   48.881   0.462
     1  5  456.532  456.939    45.0681  -0.19481E-01      5      5      5   47.858   0.426
     1  6  483.461  483.592    44.9304  -0.17314E-01      6      6      6   47.526   0.406
     1  7  533.844  533.665    44.8786  -0.36419E-02      7      7      7   47.672   0.465
     1  8  605.561  606.283    44.3435   0.17221E-02      8      8      8   47.817   0.486
     1  9  660.694  659.955    44.1053   0.46871E-02      9      9      9   47.489   0.483
     1 10  718.464  717.606    44.0730   0.44763E-02     10     10     10   46.938   0.470
     1 11  763.921  764.635    43.9272   0.77592E-03     11     11     11   46.773   0.472
     1 12  816.285  816.482    43.7457  -0.12247E-02     12     12     12   46.911   0.486
     1 13  878.669  878.277    43.5443  -0.85395E-03     13     13     13   46.970   0.491
     1 14  936.414  935.745    43.4696  -0.18135E-02     14     14     14   46.768   0.491
     1 15  995.227  994.527    43.4607  -0.17156E-02     15     15     15   46.420   0.487
     1 16 1045.376 1045.649    43.3836  -0.67041E-03     16     16     16   46.250   0.486
     1 17 1096.503 1096.607    43.3017  -0.26532E-03     17     17     17   46.311   0.491
     1 18 1155.744 1155.321    43.2525   0.43735E-04     18     18     18   46.374   0.494
     1 19 1215.188 1214.297    43.2116   0.65866E-03     19     19     19   46.307   0.495
     1 20 1274.097 1273.351    43.2339   0.50418E-03     20     20     20   46.084   0.493
     1 21 1328.214 1328.485    43.2854   0.89387E-04     21     21     21   45.853   0.492
     1 22 1380.165 1380.230    43.2888  -0.72041E-04     22     22     22   45.825   0.493
     1 23 1437.027 1436.304    43.2700  -0.31733E-03     23     23     23   45.922   0.495
     1 24 1497.087 1496.218    43.2720  -0.54858E-03     24     24     24   45.951   0.496
     2  1   86.917   87.161    45.2050  -0.36901E-01      1      1      1   50.314   0.108
     2  2  137.914  138.138    45.8998  -0.12218E-01      2      2      2   50.832   0.151
     2  3  174.420  174.169    46.1549  -0.68934E-02      3      3      3   49.598   0.140
     2  4  227.092  226.745    45.8649  -0.35243E-02      4      4      4   48.950   0.145
     2  5  268.582  269.284    44.8044  -0.23731E-02      5      5      5   48.618   0.152
     2  6  297.890  297.091    44.8684  -0.17931E-02      6      6      6   47.638   0.133
     2  7  331.707  331.521    44.8626  -0.12965E-02      7      7      7   46.787   0.095
     2  8  357.210  357.963    44.3023  -0.10363E-02      8      8      8   46.881   0.137
     2  9  387.970  387.809    44.0846  -0.80432E-03      9      9      9   46.911   0.152
     2 10  425.540  425.441    43.8943  -0.60655E-03     10     10     10   46.740   0.156
     2 11  459.630  459.301    43.7733  -0.49301E-03     11     11     11   46.321   0.152
     2 12  491.277  490.947    43.7506  -0.41628E-03     12     12     12   45.831   0.144
     2 13  518.873  519.196    43.5611  -0.36218E-03     13     13     13   45.764   0.150
     2 14  550.063  550.135    43.4749  -0.31495E-03     14     14     14   45.797   0.157
     2 15  585.974  585.666    43.3543  -0.27207E-03     15     15     15   45.763   0.160
     2 16  619.959  619.471    43.2790  -0.23736E-03     16     16     16   45.538   0.159
     2 17  652.514  652.259    43.3206  -0.21010E-03     17     17     17   45.180   0.157
     2 18  682.610  682.921    43.2947  -0.18887E-03     18     18     18   44.998   0.156
     2 19  713.004  712.981    43.2442  -0.16985E-03     19     19     19   45.005   0.160
     2 20  746.638  746.270    43.2114  -0.15216E-03     20     20     20   45.044   0.162
     2 21  781.647  781.212    43.2237  -0.13714E-03     21     21     21   44.937   0.162
     2 22  816.006  815.713    43.2737  -0.12450E-03     22     22     22   44.684   0.161
     2 23  847.904  848.147    43.3261  -0.11451E-03     23     23     23   44.433   0.160
     2 24  877.852  877.850    43.3521  -0.10643E-03     24     24     24   44.364   0.161
     2 25  910.710  910.257    43.3375  -0.98412E-04     25     25     25   44.463   0.163
     2 26  946.412  946.021    43.3538  -0.90579E-04     26     26     26   44.465   0.164
     2 27  982.112  981.844    43.4082  -0.83607E-04     27     27     27   44.277   0.164
     2 28 1015.703 1015.919    43.5027  -0.77608E-04     28     28     28   43.966   0.162
     2 29 1045.188 1045.203    43.5616  -0.72809E-04     29     29     29   43.839   0.162
     2 30 1077.225 1076.718    43.5238  -0.68131E-04     30     30     30   44.004   0.164
     2 31 1113.558 1113.185    43.5409  -0.63407E-04     31     31     31   44.086   0.165
     2 32 1150.585 1150.460    43.5919  -0.59163E-04     32     32     32   43.929   0.165
     2 33 1185.127 1185.327    43.7038  -0.55660E-04     33     33     33   43.560   0.163
     2 34 1213.625 1213.580    43.7871  -0.53023E-04     34     34     34   43.398   0.163
     2 35 1245.308 1244.850    43.7221  -0.50295E-04     35     35     35   43.641   0.165
     2 36 1282.453 1282.106    43.7389  -0.47323E-04     36     36     36   43.778   0.165
     2 37 1320.576 1320.603    43.7881  -0.44492E-04     37     37     37   43.621   0.165
     2 38 1355.476 1355.676    43.9186  -0.42075E-04     38     38     38   43.187   0.164
     2 39 1382.675 1382.494    44.0121  -0.40315E-04     39     39     39   43.026   0.163
     2 39 1414.711 1414.362    43.9179  -0.38393E-04     40     40     39   43.357   0.165
     2 41 1452.678 1452.408    43.9337  -0.36314E-04     41     41     41   43.522   0.166
     2 41 1491.643 1491.722    43.9895  -0.34386E-04     42     42     41   43.334   0.166
