          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  11385 K
     model number =   32   age (yrs) =  3.59965E+08   l/l sun =  3.09084E-03
     number of points in model = 436   r/r sun =  1.44186E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0534        60.4514        0.2745
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  1  106.831  107.978    45.4147  -0.99736E+00      0      1      1   48.778   1.000
     1  2  133.956  133.551    45.4689  -0.77782E+00      2      2      2   51.076   0.482
     1  3  225.466  224.516    46.4763  -0.48281E+00      3      5      3   50.389   0.466
     1  4  262.954  263.550    45.9672  -0.34757E+00      4      6      4   50.905   0.488
     1  5  319.935  320.208    45.6412  -0.15340E+00      5      7      5   50.502   0.490
     1  6  371.038  371.802    45.1764  -0.59887E-01      6      8      6   49.805   0.491
     1  7  420.439  421.228    45.0670  -0.36739E-02      7      7      7   47.582   0.400
     1  8  427.246  427.290    45.1599   0.21195E-02      8      8      8   47.407   0.370
     1  9  477.127  478.115    44.4740   0.20833E-01      9      9      9   48.961   0.494
     1 10  523.858  525.305    44.1972   0.11169E-01     10     12     10   48.887   0.496
     1 11  572.457  574.212    44.0228   0.21529E-02     11     13     11   48.334   0.495
     1 12  612.650  614.182    43.9702  -0.53173E-03     12     14     12   47.564   0.490
     1 13  647.331  647.315    43.8747  -0.10765E-02     13     13     13   46.839   0.467
     1 14  668.842  669.472    44.0685  -0.48280E-03     14     14     14   46.566   0.452
     1 14  702.636  702.482    43.5350   0.17268E-02     15     15     14   47.577   0.495
     1 15  750.147  750.114    43.3375   0.48803E-02     16     18     15   48.203   0.498
     1 16  800.672  800.667    43.1786   0.50724E-02     17     19     16   48.307   0.498
     1 17  851.304  851.390    43.0455   0.28011E-02     18     20     17   47.889   0.498
     1 18  897.566  897.722    43.4124   0.17155E-03     19     19     18   45.971   0.468
     1 19  906.331  906.259    43.1178  -0.31485E-03     20     20     19   46.217   0.483
     1 20  955.249  955.533    42.8484  -0.24979E-02     21     21     20   47.724   0.499
     1 20 1005.833 1006.417    42.7937  -0.30944E-02     22     24     20   47.821   0.499
     1 21 1054.632 1055.432    42.7766  -0.22073E-02     23     25     21   47.424   0.500
     1 22 1098.866 1100.058    42.8394  -0.10185E-02     24     26     22   46.621   0.499
     1 23 1131.929 1132.020    42.9445  -0.26954E-03     25     27     23   45.839   0.490
     1 24 1156.174 1156.411    43.1380   0.11772E-03     26     26     24   45.594   0.485
     1 25 1184.338 1184.384    42.8001   0.35862E-03     27     27     25   46.365   0.499
     1 26 1230.029 1229.926    42.6848   0.31438E-03     28     30     26   47.258   0.500
     1 26 1280.924 1280.873    42.6776   0.34571E-05     29     31     26   47.586   0.500
     1 27 1333.174 1333.118    42.6925  -0.17981E-03     30     30     27   47.376   0.499
     1 29 1384.878 1385.003    42.7712  -0.96905E-04     31     31     29   45.925   0.497
     1 29 1395.832 1395.237    43.6662  -0.49097E-04     30     32     29   45.076   0.483
     1 30 1439.491 1439.603    42.7408   0.16384E-03     33     31     30   47.047   0.499
     1 31 1492.525 1492.904    42.7737   0.30406E-03     34     34     31   47.329   0.499
     2  2   77.464   77.257    47.2671  -0.20794E-01      2      2      2   51.969   0.148
     2  3  131.005  130.731    47.8281  -0.94288E-02      3      5      3   50.689   0.134
     2  4  152.032  152.412    45.9742  -0.67861E-02      4      8      4   51.069   0.155
     2  5  184.978  185.167    45.6444  -0.37798E-02      5      7      5   50.661   0.157
     2  6  214.520  214.970    45.1822  -0.23351E-02      6      8      6   50.250   0.159
     2  7  244.492  245.038    44.7746  -0.13902E-02      7      9      7   49.655   0.161
     2  8  275.181  275.874    44.4845  -0.71858E-03      8     10      8   48.489   0.160
     2  9  298.306  298.803    44.6607  -0.46143E-03      9      9      9   46.587   0.077
     2 10  305.248  305.511    44.3689  -0.41717E-03     10     10     10   46.690   0.110
     2 11  331.586  332.509    44.0031  -0.31835E-03     11     11     11   47.523   0.161
     2 12  355.890  356.949    43.9190  -0.26889E-03     12     14     12   47.360   0.162
     2 13  378.346  378.662    43.7447  -0.23871E-03     13     15     13   47.298   0.163
     2 13  404.551  404.437    43.5137  -0.20686E-03     14     16     13   47.184   0.163
     2 15  432.105  432.151    43.3650  -0.16670E-03     15     15     15   46.351   0.159
     2 15  444.617  444.693    44.2567  -0.14833E-03     16     16     15   45.256   0.110
     2 16  462.798  462.781    43.1884  -0.12493E-03     17     17     16   46.673   0.164
     2 17  491.846  491.890    43.0432  -0.98547E-04     18     20     17   47.261   0.165
     2 18  521.582  521.758    42.9321  -0.83875E-04     19     23     18   47.229   0.166
     2 19  551.235  551.457    42.8497  -0.78290E-04     20     22     19   46.684   0.166
     2 20  578.850  579.264    42.9473  -0.76575E-04     21     21     20   45.028   0.156
     2 20  585.754  585.738    43.2857  -0.76067E-04     22     22     20   44.599   0.140
     2 21  609.751  610.161    42.7774  -0.73071E-04     23     23     21   45.839   0.165
     2 22  636.160  636.902    42.8097  -0.67525E-04     24     26     22   45.854   0.167
     2 23  658.735  659.284    42.8394  -0.61712E-04     25     27     23   45.698   0.168
     2 24  682.038  682.003    42.7274  -0.55614E-04     26     28     24   45.750   0.167
     2 24  709.511  709.458    42.6838  -0.49434E-04     27     29     24   45.450   0.166
     2 25  730.478  730.516    43.6844  -0.45873E-04     26     28     25   43.912   0.146
     2 26  740.310  740.255    42.7212  -0.44516E-04     29     29     26   44.931   0.165
     2 27  769.955  769.914    42.6935  -0.41222E-04     30     28     27   46.065   0.166
     2 28  800.348  800.428    42.7117  -0.38396E-04     31     31     28   46.252   0.166
     2 29  830.908  830.997    42.7391  -0.35407E-04     32     34     29   45.922   0.166
     2 30  861.139  861.400    42.8038  -0.32340E-04     33     33     30   44.654   0.165
     2 31  871.825  871.787    43.8778  -0.31311E-04     32     34     31   43.441   0.152
     2 32  892.335  892.604    42.8324  -0.29497E-04     35     33     32   44.842   0.166
     2 32  919.666  920.278    42.9375  -0.27502E-04     34     34     32   44.914   0.166
     2 33  941.322  941.858    43.0607  -0.26249E-04     35     37     33   44.792   0.166
     2 34  964.833  964.835    42.9733  -0.25071E-04     36     38     34   45.007   0.166
     2 35  993.580  993.498    42.9616  -0.23698E-04     37     39     35   44.831   0.166
     2 35 1016.373 1016.378    44.1334  -0.22568E-04     38     38     35   43.036   0.156
     2 36 1025.096 1025.103    43.0145  -0.22123E-04     39     39     36   44.206   0.166
     2 37 1056.135 1056.128    43.0238  -0.20564E-04     40     40     37   45.478   0.166
     2 37 1087.730 1087.822    43.0666  -0.19190E-04     41     43     37   45.646   0.166
     2 40 1119.185 1119.310    43.1155  -0.18138E-04     42     42     40   45.219   0.166
     2 41 1149.557 1149.791    43.2634  -0.17366E-04     43     43     41   43.485   0.165
     2 42 1155.840 1155.777    43.9671  -0.17220E-04     42     44     42   42.753   0.159
     2 43 1181.123 1181.517    43.2645  -0.16626E-04     45     43     43   44.265   0.166
     2 42 1206.435 1207.096    43.5291  -0.15977E-04     46     44     42   44.150   0.166
     2 43 1226.247 1226.475    43.5132  -0.15428E-04     47     47     43   44.280   0.166
     2 43 1253.305 1253.346    43.3643  -0.14656E-04     48     48     43   44.596   0.167
     2 44 1283.944 1283.941    43.3737  -0.13850E-04     47     49     44   43.919   0.166
     2 47 1295.545 1295.453    44.8932  -0.13579E-04     48     48     47   42.408   0.160
     2 46 1315.925 1315.976    43.4010  -0.13146E-04     49     49     46   44.537   0.167
     2 48 1347.630 1347.727    43.4349  -0.12563E-04     50     50     48   45.176   0.167
     2 47 1379.522 1379.623    43.4771  -0.12006E-04     51     53     47   45.076   0.167
     2 48 1411.221 1411.442    43.5242  -0.11426E-04     52     54     48   44.168   0.167
     2 50 1428.682 1428.585    45.0489  -0.11106E-04     53     53     50   42.167   0.161
     2 50 1442.795 1443.021    43.5855  -0.10855E-04     54     56     50   43.624   0.166
     2 51 1470.846 1471.381    43.6533  -0.10395E-04     55     55     51   43.902   0.167
     2 52 1491.745 1492.233    43.7420  -0.10098E-04     56     56     52   43.826   0.167
