          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  10343 K
     model number =   28   age (yrs) =  3.30739E+08   l/l sun =  3.09574E-03
     number of points in model = 423   r/r sun =  1.74841E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0317        91.4273        0.1655
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  1  169.977  169.674    46.9041   0.76202E-01      1      1      1   51.665   0.480
     1  2  290.967  291.806    45.8388   0.10370E+00      2      2      2   50.224   0.473
     1  3  336.989  335.053    46.1373   0.92568E-02      3      3      3   49.013   0.419
     1  4  423.170  424.189    45.3402  -0.33217E-01      4      4      4   48.359   0.452
     1  5  476.191  475.755    45.0675  -0.15216E-01      5      5      5   47.505   0.385
     1  6  512.770  513.488    44.6773  -0.10390E-03      6      6      6   47.638   0.450
     1  7  586.085  585.996    44.3822   0.10706E-01      7      7      7   47.741   0.480
     1  8  650.714  650.409    44.0918   0.31347E-02      8      8      8   47.413   0.478
     1  9  708.706  708.042    43.9769  -0.82624E-03      9      9      9   46.960   0.468
     1 10  759.755  759.824    43.8836   0.22342E-04     10     10     10   46.769   0.470
     1 11  818.170  818.490    43.6486   0.11503E-02     11     11     11   46.899   0.485
     1 12  882.940  883.105    43.4828   0.16559E-03     12     12     12   46.883   0.490
     1 13  947.454  946.846    43.4219  -0.10389E-02     13     13     13   46.592   0.487
     1 14 1004.325 1003.707    43.4023  -0.10689E-02     14     14     14   46.294   0.484
     1 15 1058.175 1058.325    43.3262  -0.54242E-03     15     15     15   46.262   0.487
     1 16 1118.896 1119.266    43.2259  -0.66293E-04     16     16     16   46.374   0.492
     1 17 1184.550 1184.505    43.1950   0.17081E-04     17     17     17   46.312   0.494
     1 18 1248.168 1247.331    43.2301  -0.16390E-04     18     18     18   46.034   0.492
     1 19 1303.609 1303.133    43.2922   0.19099E-04     19     19     19   45.821   0.490
     1 20 1360.824 1361.059    43.2505   0.44339E-04     20     20     20   45.901   0.493
     1 21 1425.703 1425.965    43.2449  -0.28579E-04     21     21     21   45.962   0.495
     1 22 1491.596 1491.262    43.2921  -0.15696E-03     22     22     22   45.821   0.495
     2  1   98.373   98.190    46.8717  -0.31690E-01      1      1      1   51.293   0.147
     2  2  168.729  169.255    45.8220  -0.82438E-02      2      2      2   50.117   0.145
     2  3  199.083  198.228    46.0741  -0.54180E-02      3      3      3   48.931   0.108
     2  4  248.181  248.972    45.2283  -0.31263E-02      4      4      4   48.654   0.144
     2  5  287.434  287.402    44.6345  -0.20697E-02      5      5      5   48.054   0.144
     2  6  321.595  321.105    44.7432  -0.14376E-02      6      6      6   46.963   0.095
     2  7  349.099  349.256    44.3699  -0.10949E-02      7      7      7   46.840   0.124
     2  8  383.744  383.930    44.0294  -0.82396E-03      8      8      8   46.881   0.148
     2  9  421.112  421.137    43.8383  -0.64053E-03      9      9      9   46.676   0.152
     2 10  458.735  458.346    43.7243  -0.50535E-03     10     10     10   46.235   0.148
     2 11  490.915  490.631    43.6606  -0.41826E-03     11     11     11   45.835   0.142
     2 12  521.406  521.638    43.5109  -0.35746E-03     12     12     12   45.791   0.150
     2 13  557.677  557.873    43.3663  -0.30428E-03     13     13     13   45.825   0.157
     2 14  595.228  595.170    43.2885  -0.26145E-03     14     14     14   45.653   0.158
     2 15  631.463  631.031    43.2759  -0.22710E-03     15     15     15   45.308   0.156
     2 16  663.372  663.234    43.3012  -0.20166E-03     16     16     16   45.038   0.154
     2 17  695.736  695.937    43.2297  -0.18013E-03     17     17     17   45.067   0.158
     2 18  732.784  732.938    43.1840  -0.15968E-03     18     18     18   45.105   0.161
     2 19  771.084  770.982    43.2189  -0.14197E-03     19     19     19   44.901   0.161
     2 20  806.392  805.912    43.3004  -0.12811E-03     20     20     20   44.581   0.159
     2 21  838.655  838.597    43.3259  -0.11728E-03     21     21     21   44.461   0.159
     2 22  873.742  873.962    43.3077  -0.10718E-03     22     22     22   44.519   0.162
     2 23  911.721  911.884    43.3356  -0.97791E-04     23     23     23   44.482   0.163
     2 24  949.651  949.384    43.3973  -0.89593E-04     24     24     24   44.280   0.162
     2 25  984.668  984.217    43.4861  -0.82879E-04     25     25     25   44.035   0.161
     2 26 1017.977 1018.113    43.5113  -0.77137E-04     26     26     26   43.990   0.162
     2 27 1054.597 1054.826    43.5062  -0.71438E-04     27     27     27   44.063   0.164
     2 28 1093.565 1093.590    43.5501  -0.66013E-04     28     28     28   43.986   0.164
     2 29 1130.961 1130.576    43.6380  -0.61388E-04     29     29     29   43.744   0.163
     2 30 1164.807 1164.515    43.7071  -0.57641E-04     30     30     30   43.590   0.163
     2 31 1199.858 1200.129    43.7056  -0.54142E-04     31     31     31   43.640   0.164
     2 32 1238.087 1238.255    43.7311  -0.50715E-04     32     32     32   43.656   0.164
     2 33 1276.586 1276.474    43.7943  -0.47600E-04     33     33     33   43.513   0.164
     2 34 1312.747 1312.345    43.8751  -0.44917E-04     34     34     34   43.313   0.164
     2 35 1347.036 1346.951    43.9160  -0.42562E-04     35     35     35   43.251   0.164
     2 36 1383.461 1383.793    43.9227  -0.40246E-04     36     36     36   43.313   0.165
     2 37 1422.273 1422.349    43.9581  -0.37965E-04     37     37     37   43.287   0.165
     2 38 1460.428 1460.141    44.0325  -0.35906E-04     38     38     38   43.107   0.165
     2 39 1495.398 1495.064    44.1061  -0.34175E-04     39     39     39   42.951   0.164
