          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  10343 K
     model number =   28   age (yrs) =  3.04135E+08   l/l sun =  3.58545E-03
     number of points in model = 423   r/r sun =  1.88162E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0284        78.5339        0.1483
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  1  130.147  130.539    46.0570  -0.28627E+00      1      1      1   50.940   0.460
     1  2  195.249  195.108    45.9482  -0.37725E+00      2      2      2   50.156   0.464
     1  3  296.072  297.085    46.1809   0.88999E+00      3      3      3   50.646   0.476
     1  4  351.282  350.506    45.7998  -0.38721E-01      4      4      4   49.200   0.468
     1  5  413.866  413.541    45.5784  -0.15184E-01      5      5      5   48.398   0.452
     1  6  458.509  458.084    45.5942  -0.12837E-01      6      6      6   47.566   0.379
     1  7  497.459  497.842    45.0975  -0.16968E-01      7      7      7   47.773   0.458
     1  8  556.995  556.958    44.7746  -0.74331E-02      8      8      8   47.904   0.483
     1  9  615.173  614.801    44.4796   0.69225E-02      9      9      9   47.722   0.485
     1 10  670.941  669.966    44.3416   0.66131E-02     10     10     10   47.232   0.476
     1 11  716.539  716.195    44.2573   0.19452E-02     11     11     11   46.880   0.467
     1 12  762.454  762.900    44.0399  -0.50371E-03     12     12     12   46.959   0.481
     1 13  817.271  817.286    43.8508  -0.90473E-03     13     13     13   47.079   0.490
     1 14  874.861  874.256    43.7076  -0.12429E-02     14     14     14   46.979   0.491
     1 15  929.915  929.085    43.6417  -0.16180E-02     15     15     15   46.666   0.489
     1 16  979.117  978.698    43.5918  -0.13491E-02     16     16     16   46.404   0.486
     1 17 1026.686 1026.944    43.4915  -0.71680E-03     17     17     17   46.381   0.489
     1 18 1078.882 1078.970    43.3768  -0.12519E-03     18     18     18   46.478   0.493
     1 19 1134.775 1134.193    43.3026   0.21044E-03     19     19     19   46.464   0.494
     1 20 1189.947 1189.031    43.2810   0.36995E-03     20     20     20   46.282   0.494
     1 21 1241.704 1241.187    43.2792   0.37163E-03     21     21     21   46.071   0.492
     1 22 1291.241 1291.324    43.2669   0.17306E-03     22     22     22   45.969   0.493
     1 23 1341.993 1342.022    43.2347  -0.11067E-03     23     23     23   45.997   0.494
     1 24 1396.150 1395.730    43.2138  -0.31275E-03     24     24     24   46.033   0.496
     1 25 1451.704 1450.744    43.2290  -0.41840E-03     25     25     25   45.960   0.496
     2  1   75.798   76.014    46.0537  -0.49259E-01      1      1      1   50.787   0.130
     2  2  113.845  113.742    46.9791  -0.18492E-01      2      2      2   50.204   0.134
     2  3  171.796  172.461    46.2270  -0.72916E-02      3      3      3   49.933   0.145
     2  4  204.732  204.429    45.9406  -0.48444E-02      4      4      4   49.217   0.145
     2  5  242.477  242.469    45.4975  -0.30572E-02      5      5      5   48.729   0.148
     2  6  279.117  278.881    45.1187  -0.20498E-02      6      6      6   47.986   0.142
     2  7  309.051  308.577    45.0336  -0.15515E-02      7      7      7   47.081   0.108
     2  8  332.734  332.863    44.8012  -0.12526E-02      8      8      8   46.834   0.118
     2  9  361.401  361.579    44.4565  -0.96503E-03      9      9      9   46.975   0.148
     2 10  395.339  395.155    44.2258  -0.72961E-03     10     10     10   46.896   0.155
     2 11  428.662  428.316    44.0511  -0.58306E-03     11     11     11   46.559   0.154
     2 12  459.411  458.997    43.9699  -0.48683E-03     12     12     12   46.079   0.147
     2 13  485.953  485.918    43.8956  -0.42138E-03     13     13     13   45.807   0.145
     2 14  514.069  514.227    43.7068  -0.36620E-03     14     14     14   45.873   0.155
     2 15  546.328  546.308    43.5722  -0.31671E-03     15     15     15   45.881   0.159
     2 16  578.873  578.494    43.4750  -0.27652E-03     16     16     16   45.710   0.160
     2 17  610.292  609.832    43.4221  -0.24391E-03     17     17     17   45.410   0.158
     2 18  638.999  638.865    43.4074  -0.21852E-03     18     18     18   45.135   0.156
     2 19  666.861  667.020    43.3323  -0.19737E-03     19     19     19   45.091   0.158
     2 20  697.521  697.563    43.2598  -0.17738E-03     20     20     20   45.124   0.161
     2 21  729.355  729.044    43.2271  -0.15963E-03     21     21     21   45.055   0.162
     2 22  761.066  760.506    43.2203  -0.14472E-03     22     22     22   44.884   0.162
     2 23  791.632  791.396    43.2462  -0.13256E-03     23     23     23   44.656   0.161
     2 24  820.554  820.745    43.2648  -0.12257E-03     24     24     24   44.514   0.161
     2 25  850.282  850.326    43.2523  -0.11355E-03     25     25     25   44.503   0.162
     2 26  881.531  881.229    43.2557  -0.10514E-03     26     26     26   44.493   0.163
     2 27  913.461  912.953    43.2707  -0.97412E-04     27     27     27   44.426   0.163
     2 28  945.424  945.076    43.3054  -0.90413E-04     28     28     28   44.273   0.163
     2 29  976.044  976.184    43.3614  -0.84323E-04     29     29     29   44.084   0.163
     2 30 1005.567 1005.711    43.3926  -0.78952E-04     30     30     30   43.992   0.163
     2 31 1035.941 1035.595    43.4038  -0.73943E-04     31     31     31   44.002   0.164
     2 32 1067.741 1067.265    43.4169  -0.69238E-04     32     32     32   44.019   0.164
     2 33 1100.604 1100.305    43.4462  -0.64889E-04     33     33     33   43.946   0.164
     2 34 1132.801 1132.816    43.5074  -0.61084E-04     34     34     34   43.750   0.164
     2 35 1162.683 1162.879    43.5719  -0.57888E-04     35     35     35   43.573   0.164
     2 36 1191.986 1191.748    43.5877  -0.54998E-04     36     36     36   43.568   0.164
     2 37 1223.356 1222.833    43.5881  -0.52129E-04     37     37     37   43.657   0.165
     2 38 1256.768 1256.482    43.6102  -0.49285E-04     38     38     38   43.660   0.165
     2 39 1290.234 1290.271    43.6685  -0.46622E-04     39     39     39   43.480   0.165
     2 40 1320.889 1321.054    43.7577  -0.44346E-04     40     40     40   43.227   0.164
     2 40 1349.163 1348.948    43.7878  -0.42388E-04     41     41     40   43.182   0.164
     2 41 1379.931 1379.503    43.7695  -0.40405E-04     42     42     41   43.333   0.165
     2 42 1413.735 1413.404    43.7824  -0.38407E-04     43     43     42   43.405   0.166
     2 43 1448.163 1448.162    43.8343  -0.36552E-04     44     44     43   43.253   0.165
     2 44 1479.788 1480.023    43.9371  -0.34981E-04     45     45     44   42.940   0.165
