          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  10501 K
     model number =   31   age (yrs) =  4.05725E+08   l/l sun =  2.36489E-03
     number of points in model = 431   r/r sun =  1.48252E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0502        56.9922        0.2568
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  2   71.218   72.210    44.4290  -0.52250E+00      1      2      2   51.146   0.465
     1  2  159.956  161.248    47.1972  -0.57725E+00      2      2      2   50.466   0.472
     1  3  186.541  186.963    46.8198  -0.53587E+00      3      3      3   50.492   0.482
     1  4  250.806  251.453    46.8110  -0.27215E+00      4      4      4   50.179   0.482
     1  5  294.658  294.837    46.0014  -0.42303E-01      5      5      5   50.225   0.487
     1  6  337.915  337.818    45.6872   0.37928E-01      6      6      6   49.725   0.486
     1  7  380.028  380.070    45.4834   0.20461E-01      7      7      7   49.020   0.481
     1  8  423.033  422.954    45.2405   0.27415E-02      8      8      8   48.008   0.439
     1  9  446.646  446.700    45.1941  -0.24203E-03      9      9      9   47.542   0.396
     1 10  477.591  477.731    44.8840  -0.63137E-03     10     10     10   47.906   0.473
     1 11  518.877  519.000    44.5952  -0.25748E-03     11     11     11   48.214   0.491
     1 12  561.240  561.211    44.4423  -0.10632E-02     12     12     12   48.096   0.492
     1 13  601.901  601.718    44.2874  -0.18505E-02     13     13     13   47.851   0.491
     1 14  642.274  642.057    44.2361  -0.12999E-02     14     14     14   47.356   0.484
     1 15  675.538  675.404    44.2267  -0.70731E-03     15     15     15   46.930   0.471
     1 16  706.500  706.609    44.1270  -0.51545E-03     16     16     16   46.944   0.479
     1 17  743.291  743.324    43.9926  -0.23679E-03     17     17     17   47.198   0.491
     1 18  784.157  784.213    43.9303   0.11390E-03     18     18     18   47.289   0.495
     1 19  825.543  825.417    43.8813   0.17520E-03     19     19     19   47.209   0.495
     1 20  866.172  865.818    43.8652   0.23187E-03     20     20     20   46.973   0.494
     1 21  904.676  904.376    43.8826   0.19947E-03     21     21     21   46.636   0.490
     1 22  938.922  938.929    43.9153   0.74001E-04     22     22     22   46.406   0.488
     1 23  973.477  973.610    43.8788  -0.10154E-04     23     23     23   46.463   0.491
     1 24 1011.479 1011.458    43.8511  -0.88481E-04     24     24     24   46.615   0.495
     1 24 1052.389 1052.272    43.8466  -0.19956E-03     25     25     24   46.680   0.496
     1 26 1093.375 1093.096    43.8712  -0.23382E-03     26     26     26   46.600   0.497
     1 26 1134.014 1133.638    43.9044  -0.22135E-03     27     27     26   46.422   0.496
     1 26 1172.721 1172.509    43.9690  -0.19500E-03     28     28     26   46.168   0.494
     1 27 1208.836 1208.912    44.0107  -0.13439E-03     29     29     27   46.020   0.493
     1 28 1245.044 1245.081    44.0224  -0.77450E-04     30     30     28   46.048   0.495
     1 28 1283.736 1283.548    44.0235  -0.29317E-04     31     31     28   46.165   0.497
     1 28 1324.560 1324.324    44.0500   0.27329E-04     32     32     28   46.216   0.497
     1 30 1365.797 1365.534    44.0868   0.46196E-04     33     33     30   46.169   0.498
     1 30 1406.878 1406.546    44.1333   0.42144E-04     34     34     30   46.025   0.497
     1 31 1446.201 1446.010    44.1971   0.27084E-04     35     35     31   45.819   0.496
     1 31 1483.400 1483.445    44.2454  -0.65338E-05     36     36     31   45.681   0.496
     2  2   92.884   93.389    47.4659  -0.11768E-02      2      2      2   50.900   0.139
     2  3  108.068  108.117    46.8161  -0.73339E-03      3      3      3   50.850   0.150
     2  4  145.464  145.725    46.7945  -0.19333E-02      4      4      4   50.253   0.151
     2  5  170.596  170.712    45.9976  -0.23783E-02      5      5      5   50.160   0.156
     2  6  195.822  195.780    45.6703  -0.20898E-02      6      6      6   49.749   0.157
     2  7  220.723  220.797    45.4567  -0.15334E-02      7      7      7   49.303   0.158
     2  8  247.969  248.058    45.0702  -0.10363E-02      8      8      8   48.853   0.158
     2  9  271.190  271.111    44.8797  -0.76892E-03      9      9      9   48.218   0.154
     2 10  295.047  294.935    44.6895  -0.59285E-03     10     10     10   47.450   0.139
     2 11  312.215  312.166    44.7191  -0.50027E-03     11     11     11   46.804   0.104
     2 12  329.489  329.593    44.4669  -0.42436E-03     12     12     12   46.927   0.139
     2 13  351.096  351.127    44.2798  -0.34789E-03     13     13     13   47.153   0.157
     2 14  375.604  375.634    44.1630  -0.28374E-03     14     14     14   47.134   0.160
     2 15  399.446  399.354    44.0724  -0.23831E-03     15     15     15   46.910   0.160
     2 16  423.007  422.815    44.0063  -0.20304E-03     16     16     16   46.543   0.158
     2 17  444.604  444.467    44.0172  -0.17755E-03     17     17     17   46.061   0.151
     2 18  463.395  463.470    44.0102  -0.15960E-03     18     18     18   45.812   0.148
     2 19  483.120  483.214    43.9137  -0.14370E-03     19     19     19   45.916   0.156
     2 20  505.604  505.578    43.8565  -0.12856E-03     20     20     20   46.044   0.161
     2 21  529.310  529.270    43.8277  -0.11519E-03     21     21     21   46.035   0.163
     2 22  553.142  553.031    43.8334  -0.10362E-03     22     22     22   45.864   0.162
     2 23  576.312  576.125    43.8491  -0.93977E-04     23     23     23   45.592   0.161
     2 24  598.156  598.053    43.9015  -0.86055E-04     24     24     24   45.263   0.158
     2 24  618.143  618.225    43.9207  -0.79573E-04     25     25     24   45.111   0.158
     2 25  639.017  639.079    43.9128  -0.73541E-04     26     26     25   45.161   0.161
     2 25  661.568  661.524    43.9102  -0.67777E-04     27     27     25   45.256   0.163
     2 26  685.376  685.298    43.9366  -0.62401E-04     28     28     26   45.248   0.164
     2 27  709.141  708.992    43.9699  -0.57712E-04     29     29     27   45.131   0.164
     2 28  732.607  732.411    44.0137  -0.53628E-04     30     30     28   44.921   0.163
     2 28  754.812  754.755    44.0757  -0.50178E-04     31     31     28   44.673   0.162
     2 29  775.851  775.971    44.1175  -0.47250E-04     32     32     29   44.539   0.162
     2 29  797.157  797.213    44.1354  -0.44553E-04     33     33     29   44.561   0.163
     2 30  819.868  819.752    44.1451  -0.41929E-04     34     34     30   44.646   0.164
     2 30  843.631  843.463    44.1760  -0.39428E-04     35     35     30   44.660   0.165
     2 30  867.585  867.449    44.2140  -0.37104E-04     36     36     30   44.585   0.165
     2 32  891.356  891.249    44.2609  -0.34989E-04     37     37     32   44.407   0.164
     2 32  913.966  913.968    44.3182  -0.33129E-04     38     38     32   44.183   0.163
     2 33  935.370  935.466    44.3843  -0.31489E-04     39     39     33   44.039   0.163
     2 33  956.642  956.638    44.3786  -0.29980E-04     40     40     33   44.069   0.164
     2 34  979.460  979.304    44.3919  -0.28480E-04     41     41     34   44.177   0.165
     2 34 1003.333 1003.150    44.4539  -0.27036E-04     42     42     34   44.222   0.165
     2 34 1027.717 1027.633    44.4445  -0.25686E-04     43     43     34   44.160   0.166
     2 35 1051.744 1051.734    44.4733  -0.24460E-04     44     44     35   43.978   0.164
     2 35 1074.500 1074.542    44.6265  -0.23388E-04     45     45     35   43.735   0.164
     2 35 1095.497 1095.527    44.5912  -0.22466E-04     46     46     35   43.595   0.164
     2 36 1116.728 1116.660    44.6275  -0.21588E-04     47     47     36   43.680   0.164
     2 36 1139.883 1139.761    44.6957  -0.20688E-04     46     48     36   43.827   0.166
     2 37 1164.263 1164.122    44.6163  -0.19795E-04     49     47     37   43.884   0.166
     2 37 1189.013 1188.947    44.6805  -0.18940E-04     50     48     37   43.800   0.165
     2 37 1213.144 1213.193    44.7688  -0.18155E-04     49     51     37   43.580   0.165
     2 38 1235.451 1235.535    44.8291  -0.17468E-04     50     50     38   43.306   0.165
     2 38 1255.738 1255.697    44.8767  -0.16876E-04     51     51     38   43.226   0.165
     2 39 1277.368 1277.241    44.8190  -0.16278E-04     52     52     39   43.396   0.165
     2 39 1301.266 1301.180    44.9067  -0.15655E-04     51     53     39   43.566   0.166
     2 39 1326.180 1326.107    44.9008  -0.15048E-04     52     54     39   43.595   0.166
     2 39 1351.085 1351.046    44.9114  -0.14481E-04     55     53     39   43.461   0.166
     2 40 1374.963 1375.033    44.9919  -0.13968E-04     54     54     40   43.179   0.166
     2 40 1396.206 1396.278    45.0659  -0.13538E-04     55     55     40   42.913   0.165
     2 41 1416.189 1416.101    45.1121  -0.13151E-04     56     56     41   42.960   0.165
     2 41 1438.817 1438.678    45.0239  -0.12732E-04     57     55     41   43.199   0.166
     2 41 1463.473 1463.406    45.0817  -0.12297E-04     56     56     41   43.342   0.166
     2 41 1488.692 1488.693    45.1048  -0.11871E-04     57     59     41   43.314   0.166
