          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  11385 K
     model number =   30   age (yrs) =  3.54584E+08   l/l sun =  3.00615E-03
     number of points in model = 437   r/r sun =  1.42198E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0543        55.8215        0.2803
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  1   79.066   78.958    46.9275  -0.96726E-01      1      1      1   51.938   0.467
     1  2  161.508  162.585    47.9843  -0.53991E+00      3      2      2   50.399   0.471
     1  3  204.287  204.967    46.7835  -0.71519E+00      3      3      3   49.712   0.484
     1  3  252.411  252.139    46.5182  -0.14234E+01      5      3      3   49.464   0.516
     1  5  296.898  296.796    45.7969  -0.97254E-01      5      5      5   49.653   0.481
     1  6  340.841  340.658    45.4972  -0.83473E-01      6      6      6   48.879   0.470
     1  7  380.038  379.827    45.2338  -0.19766E-01      7      7      7   48.096   0.432
     1  8  407.260  407.261    45.1960  -0.31901E-02      8      8      8   47.613   0.392
     1  9  439.535  439.708    44.7837  -0.20532E-02      9      9      9   47.871   0.466
     1 10  479.066  479.155    44.4690  -0.32304E-02     10     10     10   48.048   0.486
     1 11  521.109  521.095    44.2386   0.11092E-02     11     11     11   47.936   0.488
     1 12  561.534  561.286    44.0628   0.29370E-02     12     12     12   47.601   0.484
     1 13  598.532  598.221    43.9847   0.19965E-02     13     13     13   47.143   0.473
     1 14  630.292  630.303    43.8778   0.98935E-03     14     14     14   46.958   0.472
     1 15  664.933  665.055    43.6864   0.54231E-04     15     15     15   47.087   0.485
     1 16  703.936  703.951    43.5234  -0.46758E-03     16     16     16   47.200   0.491
     1 17  744.435  744.471    43.3968  -0.61551E-03     17     17     17   47.151   0.493
     1 18  784.700  784.509    43.2934  -0.73365E-03     18     18     18   46.942   0.492
     1 19  822.214  821.800    43.2415  -0.64740E-03     19     19     19   46.629   0.488
     1 20  855.954  855.797    43.1919  -0.49334E-03     20     20     20   46.455   0.487
     1 21  890.702  890.844    43.0784  -0.37119E-03     21     21     21   46.529   0.491
     1 22  928.898  928.965    42.9831  -0.20383E-03     22     22     22   46.630   0.494
     1 23  968.464  968.433    42.9185  -0.12800E-04     23     23     23   46.621   0.495
     1 24 1007.994 1007.791    42.8799   0.94134E-04     24     24     24   46.493   0.495
     1 25 1046.181 1045.759    42.8764   0.15801E-03     25     25     25   46.273   0.494
     1 26 1081.759 1081.474    42.8915   0.17631E-03     26     26     26   46.089   0.492
     1 27 1116.725 1116.777    42.8607   0.11653E-03     27     27     27   46.092   0.494
     1 28 1154.314 1154.351    42.8209   0.32060E-04     28     28     28   46.184   0.496
     1 29 1193.719 1193.647    42.8112  -0.47001E-04     29     29     29   46.203   0.497
     1 30 1233.327 1233.190    42.8238  -0.13789E-03     30     30     30   46.119   0.497
     1 30 1272.131 1271.756    42.8510  -0.16845E-03     31     31     30   45.965   0.496
     1 31 1309.318 1308.882    42.8871  -0.15992E-03     32     32     31   45.810   0.495
     1 32 1345.377 1345.257    42.9023  -0.14693E-03     33     33     32   45.761   0.496
     1 32 1382.703 1382.778    42.8953  -0.96883E-04     34     34     32   45.817   0.497
     1 33 1421.941 1421.903    42.9036  -0.44894E-04     35     35     33   45.853   0.497
     1 35 1461.748 1461.570    42.9318  -0.10175E-04     36     36     35   45.801   0.497
     2  2   93.818   94.380    47.8432  -0.78870E-02      2      2      2   50.793   0.139
     2  3  118.446  118.556    46.7293  -0.42568E-02      3      3      3   50.579   0.145
     2  4  146.483  146.732    46.3995  -0.29292E-02      4      4      4   50.055   0.149
     2  5  172.233  172.208    45.7713  -0.22593E-02      5      5      5   49.770   0.153
     2  6  198.481  198.492    45.4536  -0.16063E-02      6      6      6   49.226   0.153
     2  7  223.488  223.529    45.0743  -0.11112E-02      7      7      7   48.747   0.152
     2  8  248.110  248.035    44.8188  -0.79114E-03      8      8      8   48.084   0.145
     2  9  270.387  270.224    44.6003  -0.60745E-03      9      9      9   47.369   0.127
     2 10  287.931  287.889    44.5412  -0.50296E-03     10     10     10   46.875   0.107
     2 11  306.375  306.480    44.2407  -0.41569E-03     11     11     11   46.977   0.141
     2 12  328.906  328.942    44.0142  -0.33380E-03     12     12     12   47.076   0.155
     2 13  352.898  352.916    43.8421  -0.27054E-03     13     13     13   46.943   0.157
     2 14  376.266  376.164    43.7050  -0.22533E-03     14     14     14   46.630   0.156
     2 15  398.332  398.106    43.6141  -0.19293E-03     15     15     15   46.219   0.150
     2 16  417.929  417.848    43.5538  -0.17002E-03     16     16     16   45.916   0.146
     2 17  437.352  437.484    43.4163  -0.15131E-03     17     17     17   45.912   0.153
     2 18  459.191  459.261    43.2621  -0.13402E-03     18     18     18   46.015   0.159
     2 19  482.415  482.393    43.1504  -0.11882E-03     19     19     19   45.984   0.161
     2 20  505.620  505.561    43.0739  -0.10611E-03     20     20     20   45.792   0.161
     2 21  527.792  527.614    43.0331  -0.95826E-04     21     21     21   45.497   0.159
     2 22  548.296  548.146    43.0082  -0.87581E-04     22     22     22   45.247   0.157
     2 23  568.165  568.210    42.9523  -0.80531E-04     23     23     23   45.183   0.158
     2 24  589.291  589.369    42.8815  -0.73921E-04     24     24     24   45.245   0.161
     2 25  611.832  611.840    42.8377  -0.67718E-04     25     25     25   45.268   0.163
     2 26  634.955  634.931    42.8221  -0.62127E-04     26     26     26   45.167   0.163
     2 27  657.566  657.406    42.8312  -0.57343E-04     27     27     27   44.953   0.162
     2 28  678.847  678.620    42.8556  -0.53364E-04     28     28     28   44.731   0.161
     2 28  699.343  699.307    42.8597  -0.49934E-04     29     29     28   44.635   0.161
     2 29  720.555  720.667    42.8465  -0.46758E-04     30     30     29   44.654   0.162
     2 31  742.867  742.903    42.8425  -0.43749E-04     31     31     31   44.679   0.163
     2 31  765.837  765.782    42.8525  -0.40948E-04     32     32     31   44.632   0.164
     2 32  788.730  788.609    42.8797  -0.38425E-04     33     33     32   44.491   0.164
     2 33  810.735  810.530    42.9225  -0.36204E-04     34     34     33   44.307   0.163
     2 33  831.867  831.759    42.9535  -0.34240E-04     35     35     33   44.196   0.163
     2 34  853.318  853.391    42.9614  -0.32406E-04     36     36     34   44.188   0.164
     2 35  875.610  875.685    42.9731  -0.30642E-04     37     37     35   44.200   0.164
     2 35  898.384  898.349    42.9973  -0.28984E-04     38     38     35   44.167   0.164
     2 36  921.237  921.139    43.0321  -0.27457E-04     39     39     36   44.075   0.164
     2 36  943.669  943.507    43.0748  -0.26074E-04     40     40     36   43.943   0.164
     2 37  965.427  965.278    43.1133  -0.24839E-04     41     41     37   43.837   0.164
     2 38  987.142  987.151    43.1359  -0.23700E-04     42     42     38   43.804   0.164
     2 38 1009.459 1009.580    43.1563  -0.22613E-04     43     43     38   43.800   0.165
     2 39 1032.182 1032.215    43.1858  -0.21586E-04     44     44     39   43.768   0.165
     2 39 1054.906 1054.790    43.2226  -0.20629E-04     45     45     39   43.698   0.165
     2 40 1077.400 1077.235    43.2577  -0.19740E-04     46     46     40   43.611   0.165
     2 40 1099.600 1099.473    43.2952  -0.18917E-04     47     47     40   43.534   0.165
     2 41 1121.728 1121.704    43.3254  -0.18143E-04     48     48     41   43.487   0.165
     2 41 1144.126 1144.220    43.3507  -0.17405E-04     49     49     41   43.459   0.165
     2 42 1166.762 1166.843    43.3897  -0.16704E-04     50     50     42   43.420   0.165
     2 42 1189.330 1189.243    43.4100  -0.16045E-04     51     51     42   43.362   0.165
     2 43 1211.744 1211.548    43.4601  -0.15430E-04     52     52     43   43.305   0.165
     2 43 1234.169 1234.040    43.4874  -0.14852E-04     53     53     43   43.260   0.165
     2 44 1256.725 1256.709    43.5024  -0.14304E-04     54     54     44   43.221   0.165
     2 44 1279.358 1279.411    43.5762  -0.13787E-04     55     55     44   43.172   0.166
     2 45 1301.917 1301.989    43.5473  -0.13301E-04     56     56     45   43.113   0.165
     2 45 1324.285 1324.257    43.6404  -0.12845E-04     57     57     45   43.056   0.165
     2 46 1346.571 1346.393    43.6511  -0.12413E-04     58     58     46   43.023   0.166
     2 46 1369.087 1368.913    43.6390  -0.11998E-04     59     59     46   43.011   0.165
     2 47 1391.929 1391.900    43.7618  -0.11595E-04     58     60     47   42.988   0.166
     2 47 1414.839 1414.907    43.6793  -0.11211E-04     61     59     47   42.931   0.166
     2 47 1437.462 1437.525    43.8042  -0.10849E-04     62     62     47   42.846   0.165
     2 47 1459.654 1459.637    43.8263  -0.10510E-04     63     63     47   42.777   0.166
     2 48 1481.738 1481.605    43.8275  -0.10190E-04     64     62     48   42.760   0.165
