          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  10501 K
     model number =   31   age (yrs) =  4.07180E+08   l/l sun =  2.36740E-03
     number of points in model = 431   r/r sun =  1.48330E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0502        57.1024        0.2566
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  2   69.556   70.617    44.3967  -0.53432E+00      1      2      2   51.117   0.465
     1  2  160.913  162.311    46.8155  -0.57299E+00      2      2      2   50.334   0.473
     1  3  194.690  195.127    46.7435  -0.50326E+00      3      3      3   50.758   0.481
     1  4  246.260  246.771    46.6843  -0.26800E+00      4      4      4   50.259   0.483
     1  5  292.388  292.330    46.2021  -0.34662E-01      5      5      5   50.183   0.486
     1  6  342.735  342.835    45.6797   0.32019E-01      6      6      6   49.663   0.486
     1  7  379.525  379.564    45.3373   0.17571E-01      7      7      7   49.138   0.484
     1  8  422.666  422.424    45.3190   0.24175E-02      8      8      8   48.031   0.441
     1  9  448.589  448.628    45.2814  -0.26810E-03      9      9      9   47.510   0.391
     1 10  479.209  479.426    44.8547  -0.71183E-04     10     10     10   47.929   0.474
     1 11  519.741  519.801    44.5642  -0.51435E-03     11     11     11   48.223   0.491
     1 12  561.381  561.274    44.4579  -0.18001E-02     12     12     12   48.102   0.492
     1 13  603.628  603.461    44.2820  -0.16310E-02     13     13     13   47.877   0.492
     1 14  643.438  643.194    44.2280  -0.11280E-02     14     14     14   47.380   0.484
     1 15  677.522  677.374    44.2048  -0.75590E-03     15     15     15   46.944   0.472
     1 16  707.778  707.871    44.1371  -0.45462E-03     16     16     16   46.911   0.478
     1 17  744.777  744.803    43.9944  -0.18238E-03     17     17     17   47.181   0.491
     1 18  785.198  785.205    43.9285   0.80717E-04     18     18     18   47.282   0.494
     1 19  826.617  826.432    43.8736   0.26964E-03     19     19     19   47.230   0.495
     1 20  867.605  867.227    43.8630   0.24726E-03     20     20     20   47.003   0.494
     1 20  906.531  906.253    43.8746   0.16180E-03     21     21     20   46.674   0.491
     1 22  941.546  941.554    43.9071   0.79652E-04     22     22     22   46.409   0.488
     1 23  975.317  975.420    43.8878  -0.22792E-04     23     23     23   46.420   0.491
     1 23 1013.074 1013.016    43.8513  -0.12632E-03     24     24     23   46.588   0.495
     1 24 1053.491 1053.322    43.8509  -0.20989E-03     25     25     24   46.672   0.496
     1 24 1094.782 1094.457    43.8595  -0.25000E-03     26     26     24   46.642   0.497
     1 26 1135.886 1135.506    43.9043  -0.22881E-03     27     27     26   46.468   0.496
     1 26 1175.358 1175.204    43.9534  -0.18777E-03     28     28     26   46.221   0.495
     1 27 1212.069 1212.141    44.0195  -0.12935E-03     29     29     27   45.998   0.493
     1 27 1247.254 1247.230    44.0278  -0.68143E-04     30     30     27   45.998   0.494
     1 28 1285.262 1285.007    44.0311  -0.13606E-04     31     31     28   46.132   0.496
     1 28 1325.847 1325.596    44.0445   0.38223E-04     32     32     28   46.242   0.498
     1 28 1367.804 1367.531    44.0801   0.53245E-04     33     33     28   46.231   0.498
     1 30 1409.451 1409.137    44.1244   0.43072E-04     34     34     30   46.097   0.498
     1 30 1449.965 1449.832    44.1883   0.24759E-04     35     35     30   45.857   0.497
     1 31 1486.957 1487.001    44.2618  -0.10648E-04     36     36     31   45.633   0.495
     2  2   93.553   94.021    47.5360  -0.55419E-03      2      2      2   50.748   0.140
     2  3  112.667  112.814    46.6468  -0.63214E-03      3      3      3   51.071   0.148
     2  4  142.800  142.995    46.7257  -0.19630E-02      4      4      4   50.313   0.151
     2  5  169.373  169.357    46.2330  -0.24468E-02      5      5      5   50.096   0.155
     2  6  198.635  198.714    45.6576  -0.20197E-02      6      6      6   49.709   0.157
     2  7  220.173  220.229    45.3225  -0.15377E-02      7      7      7   49.405   0.158
     2  8  247.822  247.801    45.1680  -0.10358E-02      8      8      8   48.820   0.157
     2  9  272.470  272.438    44.8644  -0.75570E-03      9      9      9   48.245   0.154
     2 10  295.751  295.630    44.6513  -0.59122E-03     10     10     10   47.475   0.141
     2 11  312.938  312.861    44.6944  -0.49864E-03     11     11     11   46.811   0.106
     2 12  329.952  330.044    44.5027  -0.42276E-03     12     12     12   46.881   0.136
     2 13  351.939  351.977    44.2680  -0.34615E-03     13     13     13   47.164   0.157
     2 14  376.174  376.170    44.1624  -0.28349E-03     14     14     14   47.127   0.160
     2 15  399.896  399.774    44.0600  -0.23753E-03     15     15     15   46.941   0.161
     2 16  423.881  423.680    44.0110  -0.20205E-03     16     16     16   46.563   0.158
     2 17  445.593  445.464    44.0025  -0.17672E-03     17     17     17   46.093   0.152
     2 18  464.695  464.767    44.0075  -0.15859E-03     18     18     18   45.799   0.148
     2 19  483.961  484.035    43.9161  -0.14334E-03     19     19     19   45.882   0.155
     2 20  506.368  506.325    43.8577  -0.12834E-03     20     20     20   46.025   0.161
     2 21  529.999  529.931    43.8287  -0.11497E-03     21     21     21   46.033   0.162
     2 22  553.815  553.676    43.8240  -0.10354E-03     22     22     22   45.899   0.163
     2 22  577.371  577.177    43.8461  -0.93763E-04     23     23     22   45.631   0.162
     2 23  599.476  599.394    43.8891  -0.85729E-04     24     24     23   45.302   0.159
     2 24  619.841  619.923    43.9275  -0.79155E-04     25     25     24   45.086   0.158
     2 25  640.035  640.070    43.9160  -0.73328E-04     26     26     25   45.117   0.160
     2 25  662.475  662.400    43.9156  -0.67597E-04     27     27     25   45.229   0.163
     2 26  686.007  685.909    43.9338  -0.62301E-04     28     28     26   45.265   0.164
     2 26  710.200  710.033    43.9613  -0.57533E-04     29     29     26   45.185   0.164
     2 27  733.908  733.714    44.0079  -0.53433E-04     30     30     27   44.981   0.163
     2 28  756.761  756.733    44.0653  -0.49923E-04     31     31     28   44.708   0.162
     2 28  777.720  777.843    44.1313  -0.47042E-04     32     32     28   44.492   0.161
     2 29  798.350  798.360    44.1429  -0.44454E-04     33     33     29   44.508   0.162
     2 29  820.677  820.521    44.1490  -0.41887E-04     34     34     29   44.635   0.164
     2 30  844.581  844.423    44.1651  -0.39382E-04     35     35     30   44.714   0.165
     2 30  869.035  868.908    44.2085  -0.37018E-04     36     36     30   44.661   0.165
     2 30  893.235  893.134    44.2554  -0.34867E-04     37     37     30   44.481   0.165
     2 31  916.448  916.473    44.3102  -0.32963E-04     38     38     31   44.188   0.164
     2 31  937.310  937.409    44.4050  -0.31369E-04     39     39     31   43.971   0.163
     2 32  957.777  957.719    44.3917  -0.29919E-04     40     40     32   44.025   0.164
     2 32  980.418  980.233    44.3652  -0.28432E-04     41     41     32   44.215   0.165
     2 32 1004.854 1004.704    44.4591  -0.26956E-04     42     42     32   44.308   0.165
     2 34 1029.719 1029.672    44.4687  -0.25589E-04     43     43     34   44.253   0.166
     2 34 1054.366 1054.356    44.4273  -0.24344E-04     44     42     34   44.036   0.165
     2 34 1077.257 1077.302    44.6177  -0.23278E-04     45     45     34   43.700   0.164
     2 35 1097.324 1097.342    44.6501  -0.22405E-04     46     46     35   43.517   0.164
     2 35 1117.867 1117.776    44.5971  -0.21560E-04     47     45     35   43.684   0.164
     2 36 1141.462 1141.338    44.6740  -0.20647E-04     46     48     36   43.912   0.166
     2 36 1166.434 1166.324    44.6493  -0.19737E-04     47     47     36   43.987   0.166
     2 36 1191.766 1191.753    44.7025  -0.18864E-04     50     48     36   43.886   0.166
     2 36 1216.318 1216.378    44.7367  -0.18069E-04     49     49     36   43.597   0.166
     2 37 1238.256 1238.318    44.8336  -0.17396E-04     50     50     37   43.232   0.164
     2 38 1257.314 1257.234    44.9114  -0.16840E-04     51     51     38   43.179   0.165
     2 38 1279.060 1278.961    44.7998  -0.16240E-04     52     50     38   43.462   0.165
     2 38 1303.628 1303.577    44.8655  -0.15602E-04     51     53     38   43.672   0.166
     2 38 1329.103 1329.048    44.8706  -0.14985E-04     52     54     38   43.691   0.166
     2 39 1354.470 1354.474    44.9467  -0.14413E-04     53     53     39   43.511   0.166
     2 39 1378.457 1378.551    45.0173  -0.13904E-04     54     54     39   43.146   0.166
     2 39 1398.698 1398.726    45.0830  -0.13497E-04     55     53     39   42.833   0.164
     2 40 1418.028 1417.915    45.0924  -0.13126E-04     54     56     40   42.981   0.165
     2 40 1441.347 1441.259    45.0573  -0.12696E-04     55     55     40   43.295   0.166
     2 41 1466.622 1466.615    45.0981  -0.12252E-04     56     56     41   43.438   0.166
     2 41 1492.254 1492.269    45.0747  -0.11821E-04     57     55     41   43.377   0.166
