          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  10501 K
     model number =   31   age (yrs) =  4.15550E+08   l/l sun =  2.21093E-03
     number of points in model = 431   r/r sun =  1.43344E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0526        64.8786        0.2701
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  1   93.197   92.952    47.4739   0.91832E-01      1      1      1   52.184   0.473
     1  2  191.499  192.963    46.8556  -0.69549E+00      2      2      2   50.106   0.479
     1  2  238.627  238.155    46.4205  -0.14408E+01      4      2      2   49.848   0.494
     1  4  292.395  292.366    46.0312   0.41177E+00      4      4      4   50.113   0.472
     1  5  337.315  337.201    45.5912  -0.39832E-01      5      5      5   49.262   0.471
     1  6  385.594  385.419    45.3108  -0.44068E-01      6      6      6   48.522   0.457
     1  7  426.088  425.837    45.1353  -0.11380E-01      7      7      7   47.799   0.413
     1  8  456.361  456.475    45.0095   0.92555E-03      8      8      8   47.562   0.417
     1  9  496.559  496.744    44.6406   0.25455E-02      9      9      9   47.852   0.476
     1 10  541.920  541.990    44.4306  -0.82851E-03     10     10     10   47.887   0.486
     1 11  588.547  588.401    44.2892  -0.50947E-03     11     11     11   47.677   0.486
     1 12  632.627  632.392    44.2212   0.89587E-03     12     12     12   47.290   0.479
     1 13  672.012  671.758    44.2045   0.86771E-03     13     13     13   46.934   0.470
     1 14  708.656  708.689    44.1200   0.39666E-03     14     14     14   46.899   0.478
     1 15  750.639  750.861    44.0203  -0.56818E-04     15     15     15   47.041   0.488
     1 16  796.448  796.576    43.9645  -0.38528E-03     16     16     16   47.076   0.492
     1 17  843.035  842.810    43.9504  -0.45858E-03     17     17     17   46.920   0.492
     1 18  887.523  887.192    43.9827  -0.44166E-03     18     18     18   46.616   0.489
     1 19  927.459  927.237    44.0377  -0.41307E-03     19     19     19   46.369   0.486
     1 20  966.819  966.875    44.0155  -0.31107E-03     20     20     20   46.394   0.489
     1 21 1010.756 1010.902    43.9966  -0.16429E-03     21     21     21   46.509   0.494
     1 22 1057.210 1057.271    44.0142  -0.57538E-04     22     22     22   46.510   0.495
     1 23 1103.658 1103.424    44.0605   0.30327E-04     23     23     23   46.367   0.495
     1 24 1148.343 1147.973    44.1313   0.81385E-04     24     24     24   46.133   0.493
     1 25 1189.873 1189.644    44.1975   0.70014E-04     25     25     25   45.962   0.492
     1 26 1231.081 1231.086    44.2091   0.43842E-04     26     26     26   45.987   0.494
     1 27 1275.762 1275.833    44.2162   0.87315E-05     27     27     27   46.088   0.496
     1 28 1322.919 1323.003    44.2520  -0.56423E-04     28     28     28   46.091   0.497
     1 29 1370.019 1369.791    44.3123  -0.92977E-04     29     29     29   45.950   0.496
     1 30 1414.651 1414.132    44.3912  -0.10656E-03     30     30     30   45.737   0.495
     1 30 1456.454 1456.168    44.4459  -0.11579E-03     31     31     30   45.629   0.495
     2  1   54.018   53.865    48.1325  -0.42110E-01      1      1      1   51.723   0.141
     2  2  110.972  111.738    46.9428  -0.67555E-02      2      2      2   50.916   0.145
     2  3  138.361  138.487    46.4068  -0.36737E-02      3      3      3   50.389   0.146
     2  4  169.941  170.021    46.0018  -0.25028E-02      4      4      4   49.779   0.146
     2  5  196.280  196.291    45.5685  -0.19787E-02      5      5      5   49.389   0.148
     2  6  225.460  225.519    45.2486  -0.14235E-02      6      6      6   48.907   0.149
     2  7  252.850  252.825    44.9245  -0.99244E-03      7      7      7   48.421   0.148
     2  8  280.275  280.140    44.7063  -0.70201E-03      8      8      8   47.737   0.139
     2  9  303.137  302.985    44.6122  -0.54679E-03      9      9      9   47.060   0.114
     2 10  322.431  322.481    44.4995  -0.45398E-03     10     10     10   46.825   0.121
     2 11  345.638  345.735    44.2790  -0.36874E-03     11     11     11   46.948   0.148
     2 12  371.835  371.910    44.1582  -0.29557E-03     12     12     12   46.920   0.155
     2 13  398.593  398.500    44.0693  -0.24095E-03     13     13     13   46.715   0.156
     2 14  424.611  424.446    44.0414  -0.20187E-03     14     14     14   46.344   0.153
     2 15  448.400  448.286    44.0633  -0.17441E-03     15     15     15   45.948   0.147
     2 16  470.047  470.083    44.0393  -0.15436E-03     16     16     16   45.814   0.149
     2 17  494.040  494.110    43.9646  -0.13615E-03     17     17     17   45.907   0.157
     2 18  520.504  520.598    43.9413  -0.11973E-03     18     18     18   45.921   0.160
     2 19  547.599  547.569    43.9581  -0.10597E-03     19     19     19   45.758   0.160
     2 20  573.768  573.582    44.0068  -0.94831E-04     20     20     20   45.457   0.158
     2 21  597.813  597.661    44.0703  -0.86040E-04     21     21     21   45.177   0.156
     2 22  620.887  620.913    44.0843  -0.78697E-04     22     22     22   45.105   0.158
     2 23  645.780  645.873    44.0836  -0.71764E-04     23     23     23   45.165   0.161
     2 24  672.458  672.562    44.1087  -0.65287E-04     24     24     24   45.170   0.162
     2 25  699.681  699.648    44.1513  -0.59572E-04     25     25     25   45.048   0.162
     2 26  726.182  725.965    44.2162  -0.54727E-04     26     26     26   44.808   0.161
     2 27  750.764  750.607    44.2948  -0.50765E-04     27     27     27   44.576   0.160
     2 28  774.485  774.554    44.3225  -0.47373E-04     28     28     28   44.533   0.161
     2 29  800.062  800.156    44.3298  -0.44106E-04     29     29     29   44.606   0.163
     2 30  827.231  827.268    44.3638  -0.41005E-04     30     30     30   44.604   0.164
     2 31  854.521  854.488    44.4175  -0.38227E-04     31     31     31   44.472   0.164
     2 31  880.770  880.576    44.4867  -0.35808E-04     32     32     31   44.262   0.163
     2 32  905.559  905.392    44.5505  -0.33722E-04     33     33     32   44.100   0.162
     2 33  930.157  930.220    44.5765  -0.31826E-04     34     34     33   44.081   0.163
     2 34  956.095  956.212    44.5907  -0.29984E-04     35     35     34   44.134   0.164
     2 34  983.204  983.219    44.6243  -0.28223E-04     36     36     34   44.127   0.164
     2 35 1010.523 1010.472    44.6785  -0.26605E-04     37     37     35   44.008   0.164
     2 35 1036.823 1036.661    44.7468  -0.25177E-04     38     38     35   43.815   0.164
     2 36 1061.606 1061.450    44.8015  -0.23942E-04     39     39     36   43.689   0.164
     2 37 1086.591 1086.633    44.8179  -0.22794E-04     40     40     37   43.705   0.164
     2 37 1113.052 1113.203    44.8371  -0.21670E-04     41     41     37   43.750   0.165
     2 38 1140.275 1140.311    44.8770  -0.20603E-04     42     42     38   43.716   0.165
     2 39 1167.283 1167.166    44.9311  -0.19623E-04     43     43     39   43.593   0.165
     2 39 1193.350 1193.184    44.9882  -0.18738E-04     44     44     39   43.441   0.164
     2 40 1218.452 1218.364    45.0337  -0.17941E-04     45     45     40   43.354   0.164
     2 40 1243.817 1243.864    45.0544  -0.17184E-04     46     46     40   43.369   0.165
     2 41 1270.398 1270.523    45.0780  -0.16437E-04     47     47     41   43.405   0.165
     2 42 1297.705 1297.755    45.1161  -0.15721E-04     48     48     42   43.368   0.165
     2 42 1324.651 1324.501    45.1614  -0.15058E-04     49     49     42   43.243   0.165
     2 43 1350.448 1350.241    45.2283  -0.14464E-04     50     50     43   43.107   0.165
     2 43 1375.614 1375.572    45.2497  -0.13920E-04     51     51     43   43.061   0.165
     2 44 1401.504 1401.588    45.2813  -0.13394E-04     52     52     44   43.088   0.165
     2 45 1428.316 1428.394    45.3096  -0.12881E-04     53     53     45   43.098   0.166
     2 45 1455.396 1455.412    45.3254  -0.12395E-04     54     54     45   43.044   0.165
     2 45 1482.050 1481.914    45.4207  -0.11942E-04     55     55     45   42.936   0.166
