          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  10343 K
     model number =   28   age (yrs) =  2.84878E+08   l/l sun =  4.75269E-03
     number of points in model = 441   r/r sun =  2.16638E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0233        68.4303        0.1200
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  2   81.607   82.577    43.3086  -0.17138E+00      1      2      2   50.512   0.411
     1  2  140.021  145.435    45.0781  -0.23688E+00      2      2      2   50.929   0.461
     1  3  209.082  210.029    46.5371  -0.35545E+00      3      3      3   51.238   0.468
     1  4  302.498  300.480    46.2333  -0.29947E+00      4      6      4   50.126   0.479
     1  5  330.220  331.986    46.5068  -0.25354E+00      5      7      5   49.950   0.485
     1  6  386.434  388.397    46.0706  -0.14154E+00      6      8      6   50.555   0.487
     1  7  460.710  461.453    45.6544  -0.26135E-01      7      9      7   49.953   0.490
     1  8  497.125  496.899    46.1065  -0.19667E-02      9      8      8   47.050   0.341
     1  9  532.850  532.218    45.2941   0.30346E-02      9     11      9   49.426   0.492
     1 10  585.088  580.125    45.5486  -0.64706E-02     10     10     10   49.139   0.493
     1 11  618.161  619.269    44.9899  -0.11071E-01     11     13     11   49.639   0.495
     1 12  684.702  686.091    44.5803  -0.43295E-02     12     14     12   50.265   0.496
     1 13  755.600  756.201    44.3228   0.42383E-02     13     17     13   49.592   0.496
     1 14  806.714  806.289    46.1248  -0.33478E-04     14     14     14   46.171   0.442
     1 15  824.266  823.434    44.1783  -0.31932E-02     15     17     15   47.696   0.495
     1 16  852.518  849.648    44.8295  -0.87965E-02     16     16     16   47.712   0.496
     1 17  900.883  902.039    43.9175  -0.15466E-01     17     17     17   49.293   0.497
     1 18  970.937  971.194    43.7444  -0.11986E-01     18     22     18   49.520   0.498
     1 19 1021.546 1016.584    44.4722  -0.44685E-02     19     21     19   48.227   0.497
     1 20 1047.064 1047.565    43.6442  -0.15495E-02     20     22     20   48.838   0.498
     1 20 1115.787 1116.483    43.4439   0.50754E-04     21     23     20   48.252   0.498
     1 21 1126.539 1126.116    46.2518  -0.18939E-03     22     22     21   45.556   0.469
     1 22 1186.708 1187.319    43.3195   0.27975E-03     23     25     22   49.801   0.498
     1 23 1256.745 1256.338    43.2625   0.71532E-02     24     26     23   49.388   0.499
     1 24 1282.734 1277.864    44.3274   0.98086E-02     25     27     24   48.446   0.498
     1 25 1330.554 1331.123    43.1469   0.11232E-01     26     28     25   49.856   0.499
     1 26 1401.248 1401.894    43.0731   0.41575E-02     27     29     26   49.595   0.499
     1 27 1446.121 1445.396    46.7576  -0.12488E-03     28     28     27   45.121   0.481
     1 28 1472.175 1472.201    43.0479  -0.71387E-03     29     31     28   48.341   0.499
     1 28 1497.643 1493.096    44.5285   0.19410E-03     28     30     28   47.626   0.499
     2  2   82.171   85.343    45.1625  -0.10011E-01      2      2      2   50.512   0.130
     2  3  121.597  122.155    46.3040   0.13891E-01      3      3      3   51.066   0.136
     2  4  175.678  173.887    46.6872   0.18315E-01      4      4      4   50.023   0.146
     2  5  191.462  191.501    46.7267   0.15841E-01      5      7      5   49.835   0.152
     2  6  223.656  224.704    46.0758   0.92583E-02      6      8      6   50.516   0.154
     2  7  266.460  266.899    45.6519   0.20611E-02      7      9      7   50.485   0.157
     2  8  307.987  307.609    45.2907  -0.87110E-03      8     12      8   49.490   0.159
     2  9  337.795  334.995    45.5828  -0.11313E-02      9     11      9   47.692   0.157
     2 10  355.393  355.763    45.2751  -0.96245E-03     10     10     10   46.164   0.107
     2 11  358.703  358.798    45.2729  -0.92473E-03     11     11     11   46.243   0.120
     2 12  395.595  396.402    44.5790  -0.69121E-03     12     12     12   49.085   0.162
     2 13  436.509  436.863    44.3215  -0.86646E-03     13     17     13   49.283   0.163
     2 14  475.883  475.209    44.1812  -0.92533E-03     14     18     14   48.148   0.163
     2 15  491.750  489.696    44.8115  -0.83389E-03     15     17     15   47.232   0.163
     2 16  520.283  520.906    43.9164  -0.55196E-03     16     18     16   47.679   0.164
     2 17  545.264  545.165    46.2485  -0.31171E-03     17     17     17   44.750   0.123
     2 18  560.800  560.951    43.7439  -0.21563E-03     18     20     18   47.237   0.164
     2 19  590.350  587.458    44.4594  -0.16599E-03     19     19     19   46.859   0.164
     2 20  604.740  605.011    43.6470  -0.18429E-03     20     20     20   47.772   0.165
     2 20  644.373  644.779    43.4428  -0.22536E-03     21     23     20   48.941   0.165
     2 21  685.296  685.651    43.3193  -0.15993E-03     22     26     21   48.704   0.165
     2 22  725.698  725.433    43.2674  -0.14596E-03     23     27     22   46.195   0.165
     2 23  732.491  732.326    45.0138  -0.15806E-03     24     26     23   43.988   0.144
     2 24  741.241  738.352    44.3596  -0.17858E-03     25     25     24   45.363   0.164
     2 25  768.333  768.654    43.1469  -0.25376E-03     26     26     25   48.008   0.165
     2 26  809.139  809.511    43.0730  -0.27265E-03     27     27     26   48.831   0.166
     2 27  850.078  850.089    43.0481  -0.15005E-03     28     32     27   47.956   0.166
     2 27  864.747  862.112    44.5281  -0.10842E-03     27     31     27   46.540   0.166
     2 28  892.114  892.455    43.0022  -0.75306E-04     28     32     28   47.873   0.166
     2 29  919.810  919.756    47.0842  -0.96360E-04     31     31     29   43.367   0.151
     2 30  933.298  933.567    42.9848  -0.10977E-03     30     32     30   47.713   0.166
     2 31  974.803  975.017    42.9931  -0.82931E-04     33     35     31   48.113   0.166
     2 32  991.975  989.155    44.7452  -0.42713E-04     34     34     32   46.662   0.167
     2 32 1017.106 1017.386    42.9934   0.13752E-04     35     37     32   48.679   0.166
     2 33 1058.715 1058.981    43.0029   0.10242E-04     36     38     33   48.951   0.166
     2 33 1100.543 1100.881    43.0249  -0.61737E-04     37     41     33   46.743   0.166
     2 34 1106.357 1106.317    46.5160  -0.65203E-04     38     36     34   42.888   0.156
     2 33 1124.502 1121.639    44.9315  -0.58432E-04     39     39     33   45.662   0.167
     2 35 1142.991 1143.211    43.0542  -0.28375E-04     40     38     35   48.129   0.166
     2 36 1184.986 1185.305    43.0801   0.38044E-04     41     39     36   49.342   0.166
     2 35 1227.103 1227.378    43.1108  -0.22538E-04     42     44     35   48.868   0.166
     2 35 1251.739 1249.150    45.2748  -0.71490E-04     43     43     35   46.267   0.166
     2 37 1269.657 1269.927    43.1460  -0.79334E-04     44     44     37   47.961   0.166
     2 38 1292.748 1292.700    46.6180  -0.47027E-04     43     43     38   42.485   0.159
     2 38 1311.990 1312.301    43.1805  -0.58569E-06     46     44     38   48.640   0.166
     2 38 1354.333 1354.533    43.2168   0.27038E-04     47     47     38   49.178   0.166
     2 39 1381.704 1378.997    45.5397  -0.48483E-04     46     48     39   46.747   0.167
     2 40 1397.019 1397.331    43.2556  -0.97215E-04     47     49     40   48.926   0.166
     2 41 1439.622 1439.872    43.2925  -0.12841E-03     48     50     41   49.481   0.166
     2 40 1478.906 1478.843    46.8268  -0.35633E-04     49     51     40   42.139   0.161
     2 42 1482.196 1482.418    43.3303  -0.30343E-04     50     52     42   47.133   0.166
