          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  10343 K
     model number =   28   age (yrs) =  3.12792E+08   l/l sun =  3.40107E-03
     number of points in model = 422   r/r sun =  1.83261E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0296        83.0921        0.1542
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  1  132.514  132.302    46.6359  -0.95431E-01      1      1      1   51.258   0.466
     1  2  253.934  255.820    46.3258  -0.78635E+00      2      2      2   49.136   0.497
     1  4  375.541  374.452    45.8225   0.69887E-01      4      4      4   48.900   0.455
     1  5  436.250  435.372    45.6356  -0.28799E-01      5      5      5   47.840   0.399
     1  6  479.801  480.151    45.2291  -0.19538E-01      6      6      6   47.585   0.419
     1  7  527.717  527.967    44.7024   0.11804E-02      7      7      7   47.845   0.473
     1  8  588.159  587.911    44.5706   0.11031E-01      8      8      8   47.713   0.480
     1  9  651.644  651.099    44.2961   0.67885E-02      9      9      9   47.387   0.478
     1 10  703.321  702.746    44.1585   0.15543E-02     10     10     10   46.947   0.467
     1 11  748.296  748.604    44.0151  -0.63776E-03     11     11     11   46.877   0.475
     1 12  804.832  805.078    43.8201  -0.66535E-03     12     12     12   47.021   0.488
     1 13  865.655  865.496    43.6502  -0.70732E-03     13     13     13   46.966   0.490
     1 14  923.955  923.410    43.5688  -0.10722E-02     14     14     14   46.668   0.488
     1 15  976.076  975.456    43.5411  -0.95092E-03     15     15     15   46.369   0.484
     1 16 1025.095 1025.327    43.4440  -0.67006E-03     16     16     16   46.354   0.488
     1 17 1080.978 1081.266    43.3173  -0.33492E-03     17     17     17   46.485   0.493
     1 18 1141.011 1140.804    43.2532  -0.17519E-04     18     18     18   46.440   0.494
     1 19 1199.221 1198.673    43.2560   0.11555E-03     19     19     19   46.186   0.493
     1 20 1251.470 1250.791    43.2879   0.12316E-03     20     20     20   45.948   0.491
     1 21 1302.373 1302.423    43.2475   0.81840E-04     21     21     21   45.957   0.493
     1 22 1358.642 1359.004    43.2103  -0.12375E-04     22     22     22   46.055   0.495
     1 23 1418.530 1418.336    43.2168  -0.15122E-03     23     23     23   46.023   0.496
     1 24 1477.581 1476.876    43.2660  -0.25858E-03     24     24     24   45.812   0.495
     2  1   77.040   76.903    46.0779  -0.51148E-01      1      1      1   50.916   0.135
     2  2  147.386  148.257    46.2856  -0.10318E-01      2      2      2   50.267   0.140
     2  3  177.016  177.131    46.0177  -0.63338E-02      3      3      3   49.648   0.143
     2  4  219.738  219.337    45.7859  -0.37803E-02      4      4      4   48.958   0.141
     2  5  261.241  261.091    45.3346  -0.25668E-02      5      5      5   48.199   0.137
     2  6  295.287  295.017    44.8160  -0.18341E-02      6      6      6   47.546   0.129
     2  7  320.868  320.666    44.7886  -0.14115E-02      7      7      7   46.938   0.106
     2  8  349.323  349.532    44.5786  -0.10706E-02      8      8      8   46.849   0.133
     2  9  383.734  383.807    44.2059  -0.79996E-03      9      9      9   46.914   0.152
     2 10  418.390  418.284    43.9734  -0.62814E-03     10     10     10   46.687   0.154
     2 11  451.976  451.586    43.9160  -0.51282E-03     11     11     11   46.186   0.148
     2 12  480.853  480.633    43.8528  -0.43617E-03     12     12     12   45.839   0.143
     2 13  509.697  509.927    43.6552  -0.37594E-03     13     13     13   45.866   0.153
     2 14  543.090  543.228    43.5092  -0.32202E-03     14     14     14   45.893   0.158
     2 15  577.771  577.627    43.4118  -0.27779E-03     15     15     15   45.727   0.159
     2 16  611.160  610.820    43.3781  -0.24313E-03     16     16     16   45.377   0.157
     2 17  640.391  640.138    43.3786  -0.21767E-03     17     17     17   45.099   0.154
     2 18  669.675  669.872    43.2828  -0.19579E-03     18     18     18   45.126   0.158
     2 19  703.043  703.258    43.2166  -0.17460E-03     19     19     19   45.176   0.161
     2 20  737.633  737.442    43.2040  -0.15614E-03     20     20     20   45.039   0.162
     2 21  770.761  770.405    43.2345  -0.14116E-03     21     21     21   44.761   0.160
     2 22  800.996  800.793    43.2855  -0.12942E-03     22     22     22   44.533   0.159
     2 23  831.033  831.175    43.2667  -0.11929E-03     23     23     23   44.539   0.161
     2 24  864.554  864.746    43.2455  -0.10948E-03     24     24     24   44.603   0.163
     2 25  899.569  899.432    43.2724  -0.10053E-03     25     25     25   44.495   0.163
     2 26  933.052  932.646    43.3432  -0.92932E-04     26     26     26   44.241   0.162
     2 27  963.802  963.626    43.4027  -0.86656E-04     27     27     27   44.061   0.162
     2 28  994.869  995.008    43.4023  -0.80880E-04     28     28     28   44.077   0.163
     2 29 1028.613 1028.752    43.4084  -0.75199E-04     29     29     29   44.123   0.164
     2 30 1063.748 1063.681    43.4468  -0.69907E-04     30     30     30   44.032   0.164
     2 31 1097.537 1097.103    43.5199  -0.65349E-04     31     31     31   43.807   0.163
     2 32 1128.517 1128.328    43.5803  -0.61579E-04     32     32     32   43.657   0.163
     2 33 1160.241 1160.465    43.5811  -0.58089E-04     33     33     33   43.692   0.164
     2 34 1194.504 1194.614    43.5982  -0.54670E-04     34     34     34   43.723   0.165
     2 34 1229.458 1229.347    43.6441  -0.51491E-04     35     35     34   43.625   0.165
     2 35 1263.103 1262.721    43.7143  -0.48688E-04     36     36     35   43.433   0.164
     2 36 1294.522 1294.339    43.7708  -0.46256E-04     37     37     36   43.314   0.164
     2 37 1326.698 1326.952    43.7754  -0.43927E-04     38     38     37   43.355   0.165
     2 37 1361.276 1361.421    43.7944  -0.41605E-04     39     39     37   43.379   0.165
     2 38 1396.219 1395.985    43.8461  -0.39440E-04     40     40     38   43.272   0.165
     2 40 1429.553 1429.196    43.9149  -0.37533E-04     41     41     40   43.100   0.165
     2 40 1461.298 1461.215    43.9595  -0.35860E-04     42     42     40   43.020   0.165
     2 41 1494.048 1494.248    43.9697  -0.34262E-04     43     43     41   43.058   0.165
