          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  11385 K
     model number =   30   age (yrs) =  3.67521E+08   l/l sun =  2.77573E-03
     number of points in model = 436   r/r sun =  1.36639E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0576        61.8922        0.2976
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  1  100.858  100.551    47.0570   0.25125E+00      1      1      1   52.348   0.474
     1  2  179.058  179.660    46.7508  -0.42940E+00      2      2      2   51.145   0.484
     1  3  249.233  249.943    46.1401   0.99576E+00      3      3      3   50.937   0.478
     1  4  288.857  288.385    45.7296   0.18090E+00      4      4      4   49.778   0.467
     1  5  334.051  333.933    45.4833  -0.17905E-02      5      5      5   48.826   0.445
     1  6  374.861  374.773    44.9959  -0.25454E-01      6      6      6   48.394   0.454
     1  7  414.560  414.457    44.9430  -0.10400E-01      7      7      7   47.620   0.398
     1  8  443.828  444.009    44.6288   0.21834E-02      8      8      8   47.624   0.440
     1  9  485.012  485.154    44.2691   0.85245E-02      9      9      9   47.932   0.482
     1 10  531.839  531.819    43.9972   0.34733E-02     10     10     10   47.920   0.488
     1 11  578.205  578.069    43.8445  -0.36830E-03     11     11     11   47.506   0.483
     1 12  617.562  617.275    43.7733  -0.18430E-03     12     12     12   47.018   0.469
     1 13  651.712  651.641    43.6566   0.38260E-03     13     13     13   46.885   0.471
     1 14  691.295  691.441    43.4403   0.45839E-03     14     14     14   47.056   0.486
     1 15  735.173  735.370    43.3020   0.86233E-04     15     15     15   47.085   0.491
     1 16  779.078  778.933    43.1841  -0.34082E-03     16     16     16   46.964   0.491
     1 17  821.855  821.572    43.1073  -0.49397E-03     17     17     17   46.718   0.489
     1 18  861.460  861.211    43.0719  -0.40046E-03     18     18     18   46.456   0.486
     1 19  898.648  898.620    43.0145  -0.27286E-03     19     19     19   46.378   0.487
     1 20  938.274  938.427    42.9142  -0.17615E-03     20     20     20   46.489   0.492
     1 21  981.576  981.635    42.8481  -0.82010E-04     21     21     21   46.558   0.495
     1 22 1025.982 1025.821    42.8279   0.15224E-06     22     22     22   46.459   0.495
     1 23 1069.069 1068.807    42.8485   0.39696E-04     23     23     23   46.212   0.493
     1 24 1108.219 1107.854    42.8872   0.55852E-04     24     24     24   45.990   0.491
     1 25 1146.244 1146.138    42.8659   0.45021E-04     25     25     25   45.997   0.493
     1 26 1187.957 1188.133    42.8396  -0.80900E-06     26     26     26   46.108   0.496
     1 27 1232.197 1232.226    42.8474  -0.39718E-04     27     27     27   46.125   0.496
     1 28 1276.569 1276.327    42.8785  -0.69345E-04     28     28     28   46.007   0.496
     1 29 1319.232 1318.883    42.9272  -0.10029E-03     29     29     29   45.808   0.495
     1 30 1359.221 1358.871    42.9762  -0.10019E-03     30     30     30   45.660   0.495
     1 31 1398.915 1398.851    42.9866  -0.84196E-04     31     31     31   45.675   0.496
     1 32 1441.349 1441.475    42.9868  -0.68848E-04     32     32     32   45.766   0.497
     1 33 1485.936 1485.872    43.0082  -0.36290E-04     33     33     33   45.784   0.497
     2  1   58.408   58.222    48.2944  -0.31605E-01      1      1      1   51.814   0.142
     2  2  103.559  103.901    46.5191  -0.79973E-02      2      2      2   51.426   0.151
     2  3  144.506  145.003    46.1501  -0.31730E-02      3      3      3   50.296   0.149
     2  4  168.061  167.894    45.6898  -0.21999E-02      4      4      4   49.690   0.144
     2  5  196.030  196.068    45.3994  -0.15838E-02      5      5      5   48.998   0.136
     2  6  219.816  219.854    44.9386  -0.12133E-02      6      6      6   48.744   0.145
     2  7  248.486  248.437    44.6052  -0.85270E-03      7      7      7   48.246   0.147
     2  8  274.256  274.185    44.3532  -0.61164E-03      8      8      8   47.526   0.135
     2  9  295.080  295.003    44.3241  -0.47697E-03      9      9      9   46.835   0.101
     2 10  313.183  313.271    44.0365  -0.39532E-03     10     10     10   46.890   0.135
     2 11  338.842  338.948    43.7820  -0.31406E-03     11     11     11   47.040   0.155
     2 12  365.177  365.174    43.6114  -0.25304E-03     12     12     12   46.863   0.156
     2 13  390.979  390.819    43.4859  -0.20789E-03     13     13     13   46.480   0.153
     2 14  414.009  413.864    43.4258  -0.17731E-03     14     14     14   46.056   0.146
     2 15  435.245  435.240    43.3246  -0.15522E-03     15     15     15   45.871   0.147
     2 16  457.650  457.713    43.1802  -0.13663E-03     16     16     16   45.900   0.155
     2 17  482.130  482.229    43.0591  -0.12021E-03     17     17     17   45.927   0.159
     2 18  507.469  507.466    42.9749  -0.10620E-03     18     18     18   45.829   0.160
     2 19  532.699  532.569    42.9225  -0.94545E-04     19     19     19   45.591   0.159
     2 20  556.320  556.168    42.9231  -0.85301E-04     20     20     20   45.271   0.156
     2 21  577.778  577.729    42.9150  -0.78024E-04     21     21     21   45.109   0.156
     2 22  600.384  600.480    42.8519  -0.71303E-04     22     22     22   45.177   0.160
     2 23  625.424  625.534    42.8135  -0.64823E-04     23     23     23   45.233   0.162
     2 24  651.235  651.168    42.8121  -0.59028E-04     24     24     24   45.130   0.163
     2 25  676.360  676.228    42.8455  -0.54122E-04     25     25     25   44.887   0.161
     2 26  699.719  699.577    42.8987  -0.50129E-04     26     26     26   44.638   0.160
     2 27  722.069  722.016    42.9111  -0.46732E-04     27     27     27   44.561   0.161
     2 28  745.817  745.898    42.8977  -0.43507E-04     28     28     28   44.618   0.162
     2 29  771.067  771.162    42.9045  -0.40460E-04     29     29     29   44.639   0.163
     2 30  796.816  796.762    42.9349  -0.37679E-04     30     30     30   44.546   0.164
     2 31  822.092  821.957    42.9857  -0.35215E-04     31     31     31   44.346   0.163
     2 32  845.837  845.679    43.0479  -0.33117E-04     32     32     32   44.140   0.162
     2 33  868.602  868.569    43.0752  -0.31269E-04     33     33     33   44.086   0.163
     2 34  892.766  892.885    43.0756  -0.29465E-04     34     34     34   44.160   0.164
     2 35  918.537  918.622    43.0945  -0.27708E-04     35     35     35   44.183   0.164
     2 35  944.605  944.518    43.1379  -0.26086E-04     36     36     35   44.073   0.164
     2 36  969.693  969.547    43.2039  -0.24658E-04     37     37     36   43.867   0.164
     2 37  993.170  993.055    43.2633  -0.23433E-04     38     38     37   43.713   0.163
     2 38 1016.592 1016.599    43.2789  -0.22305E-04     39     39     38   43.719   0.164
     2 39 1041.516 1041.629    43.2899  -0.21196E-04     40     40     39   43.779   0.165
     2 40 1067.375 1067.445    43.3205  -0.20137E-04     41     41     40   43.766   0.165
     2 40 1093.197 1093.107    43.3702  -0.19158E-04     42     42     40   43.649   0.165
     2 41 1118.138 1117.991    43.4323  -0.18276E-04     43     43     41   43.476   0.164
     2 41 1141.837 1141.752    43.4825  -0.17493E-04     44     44     41   43.364   0.164
     2 42 1165.615 1165.648    43.4994  -0.16755E-04     45     45     42   43.384   0.165
     2 43 1190.792 1190.909    43.5159  -0.16020E-04     46     46     43   43.442   0.165
     2 43 1216.899 1216.956    43.5502  -0.15308E-04     47     47     43   43.419   0.165
     2 45 1242.766 1242.641    43.6019  -0.14649E-04     48     48     45   43.288   0.165
     2 45 1267.355 1267.187    43.6648  -0.14062E-04     49     49     45   43.123   0.165
     2 46 1290.944 1290.899    43.7024  -0.13534E-04     50     50     46   43.062   0.165
     2 47 1315.326 1315.385    43.7152  -0.13021E-04     51     51     47   43.111   0.165
     2 47 1340.961 1341.062    43.7411  -0.12513E-04     52     52     47   43.144   0.166
     2 48 1366.952 1366.976    43.7788  -0.12030E-04     53     53     48   43.089   0.166
     2 48 1392.421 1392.272    43.8325  -0.11583E-04     54     54     48   42.961   0.165
     2 49 1416.889 1416.732    43.8925  -0.11175E-04     55     55     49   42.836   0.165
     2 50 1440.838 1440.838    43.9191  -0.10797E-04     56     56     50   42.802   0.165
     2 50 1465.501 1465.581    43.9432  -0.10426E-04     57     57     50   42.848   0.166
     2 51 1491.191 1491.270    43.9661  -0.10058E-04     58     58     51   42.872   0.166
