          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  10501 K
     model number =   31   age (yrs) =  4.15288E+08   l/l sun =  2.19223E-03
     number of points in model = 431   r/r sun =  1.42736E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0530        62.1325        0.2718
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  1  105.112  105.393    46.3893  -0.24084E+00      1      1      1   51.218   0.450
     1  2  143.028  142.698    48.3695  -0.34214E+00      2      2      2   50.839   0.471
     1  3  233.208  234.265    46.5198  -0.46792E+00      3      3      3   50.027   0.480
     1  5  322.092  322.462    45.6731   0.45668E+00      5      5      5   50.191   0.487
     1  6  369.575  369.388    45.4017   0.84436E-01      6      6      6   49.098   0.476
     1  7  409.773  409.837    45.1520  -0.18986E-01      7      7      7   48.339   0.460
     1  8  447.732  447.456    45.1967  -0.15102E-01      8      8      8   47.477   0.380
     1  9  474.502  474.689    44.7581   0.19053E-02      9      9      9   47.721   0.456
     1 10  518.417  518.587    44.5548   0.84767E-02     10     10     10   47.953   0.485
     1 11  561.297  561.235    44.3679   0.79000E-03     11     11     11   47.925   0.489
     1 12  606.387  606.254    44.2349   0.37258E-03     12     12     12   47.723   0.489
     1 13  649.779  649.481    44.2022   0.25629E-02     13     13     13   47.260   0.481
     1 14  686.298  686.026    44.1862   0.16953E-02     14     14     14   46.891   0.471
     1 15  720.889  721.003    44.1312   0.26236E-04     15     15     15   46.855   0.478
     1 16  761.151  761.377    44.0125  -0.45231E-03     16     16     16   47.056   0.490
     1 17  805.337  805.322    43.9759  -0.13982E-04     17     17     17   47.094   0.493
     1 18  849.428  849.121    43.9637  -0.47726E-03     18     18     18   46.981   0.493
     1 19  893.214  892.905    43.9735  -0.95462E-03     19     19     19   46.743   0.492
     1 20  933.696  933.427    44.0399  -0.72878E-03     20     20     20   46.433   0.488
     1 21  971.105  971.121    44.0522  -0.41510E-03     21     21     21   46.333   0.488
     1 22 1011.073 1011.209    44.0355  -0.21855E-03     22     22     22   46.415   0.492
     1 23 1053.979 1053.971    44.0395  -0.20598E-05     23     23     23   46.489   0.495
     1 24 1098.363 1098.076    44.0679   0.18854E-03     24     24     24   46.466   0.496
     1 25 1142.810 1142.439    44.1184   0.24244E-03     25     25     25   46.324   0.495
     1 26 1185.644 1185.347    44.1842   0.21938E-03     26     26     26   46.111   0.494
     1 27 1225.910 1225.802    44.2369   0.13638E-03     27     27     27   45.963   0.493
     1 28 1266.238 1266.281    44.2604   0.30719E-04     28     28     28   45.952   0.494
     1 29 1308.293 1308.308    44.2835  -0.53123E-04     29     29     29   46.003   0.496
     1 30 1352.150 1351.932    44.3118  -0.14972E-03     30     30     30   46.036   0.497
     1 31 1396.974 1396.496    44.3574  -0.20728E-03     31     31     31   45.982   0.497
     1 32 1441.048 1440.652    44.4149  -0.19337E-03     32     32     32   45.847   0.496
     1 33 1483.618 1483.513    44.4707  -0.16693E-03     33     33     33   45.700   0.496
     2  1   61.218   61.368    46.2480  -0.28972E-01      1      1      1   51.104   0.120
     2  2   83.089   82.886    47.7063  -0.13834E-01      3      2      2   50.873   0.139
     2  3  135.200  135.800    46.5100  -0.46173E-02      3      3      3   50.399   0.149
     2  4  153.440  153.372    46.2573  -0.34150E-02      4      4      4   50.005   0.149
     2  5  186.562  186.844    45.6673  -0.19596E-02      5      5      5   49.876   0.157
     2  6  214.856  214.857    45.3631  -0.13788E-02      6      6      6   49.258   0.154
     2  7  239.363  239.505    45.0966  -0.11173E-02      7      7      7   48.849   0.154
     2  8  268.646  268.584    44.7319  -0.83238E-03      8      8      8   48.357   0.154
     2  9  293.364  293.211    44.6535  -0.62179E-03      9      9      9   47.495   0.136
     2 10  313.806  313.689    44.5622  -0.49886E-03     10     10     10   46.908   0.112
     2 11  332.001  332.097    44.4427  -0.42055E-03     11     11     11   46.785   0.127
     2 12  354.660  354.762    44.2328  -0.34516E-03     12     12     12   46.998   0.153
     2 13  380.909  380.921    44.1257  -0.27705E-03     13     13     13   46.976   0.158
     2 14  406.257  406.111    44.0595  -0.22902E-03     14     14     14   46.759   0.158
     2 15  431.843  431.688    44.0309  -0.19408E-03     15     15     15   46.389   0.155
     2 16  454.723  454.591    44.0653  -0.16934E-03     16     16     16   45.960   0.148
     2 17  475.630  475.655    44.0482  -0.15043E-03     17     17     17   45.787   0.149
     2 18  497.930  498.007    43.9976  -0.13395E-03     18     18     18   45.842   0.156
     2 19  522.549  522.612    43.9603  -0.11922E-03     19     19     19   45.919   0.160
     2 20  548.584  548.501    43.9726  -0.10612E-03     20     20     20   45.836   0.161
     2 21  574.084  573.876    44.0079  -0.95173E-04     21     21     21   45.612   0.161
     2 22  598.554  598.384    44.0563  -0.86208E-04     22     22     22   45.333   0.159
     2 23  621.487  621.460    44.1114  -0.78875E-04     23     23     23   45.110   0.157
     2 24  644.025  644.118    44.1307  -0.72497E-04     24     24     24   45.063   0.159
     2 25  668.185  668.265    44.1382  -0.66479E-04     25     25     25   45.117   0.162
     2 26  693.778  693.718    44.1632  -0.60897E-04     26     26     26   45.114   0.163
     2 27  719.531  719.293    44.2091  -0.55999E-04     27     27     27   45.002   0.163
     2 28  744.799  744.600    44.2619  -0.51793E-04     28     28     28   44.825   0.162
     2 29  769.318  769.294    44.3236  -0.48175E-04     29     29     29   44.624   0.162
     2 30  792.761  792.846    44.3780  -0.45095E-04     30     30     30   44.493   0.161
     2 31  816.500  816.535    44.3992  -0.42294E-04     31     31     31   44.490   0.162
     2 32  841.458  841.397    44.4246  -0.39623E-04     32     32     32   44.513   0.163
     2 33  867.000  866.822    44.4618  -0.37152E-04     33     33     33   44.488   0.164
     2 34  892.777  892.555    44.5054  -0.34873E-04     34     34     34   44.401   0.164
     2 35  918.345  918.264    44.5606  -0.32796E-04     35     35     35   44.241   0.164
     2 36  942.814  942.898    44.6216  -0.30973E-04     36     36     36   44.066   0.163
     2 37  966.457  966.518    44.6616  -0.29345E-04     37     37     37   43.984   0.163
     2 38  990.592  990.507    44.6882  -0.27811E-04     38     38     38   43.999   0.164
     2 39 1015.729 1015.581    44.7132  -0.26346E-04     39     39     39   44.041   0.165
     2 40 1041.781 1041.603    44.7429  -0.24950E-04     40     40     40   44.035   0.165
     2 40 1068.021 1067.885    44.7886  -0.23665E-04     41     41     40   43.926   0.165
     2 42 1093.407 1093.459    44.8494  -0.22525E-04     42     42     42   43.736   0.164
     2 43 1117.387 1117.520    44.9109  -0.21526E-04     43     43     43   43.574   0.164
     2 43 1140.742 1140.686    44.9437  -0.20620E-04     44     44     43   43.551   0.164
     2 45 1165.272 1165.076    44.9521  -0.19729E-04     45     45     45   43.645   0.165
     2 45 1191.405 1191.257    44.9705  -0.18837E-04     46     46     45   43.712   0.165
     2 46 1218.099 1218.003    45.0087  -0.17983E-04     47     47     46   43.655   0.165
     2 46 1244.278 1244.277    45.0664  -0.17197E-04     48     48     46   43.472   0.165
     2 46 1268.880 1269.003    45.1426  -0.16500E-04     49     49     46   43.242   0.165
     2 47 1291.665 1291.668    45.1904  -0.15893E-04     50     50     47   43.159   0.164
     2 48 1315.436 1315.248    45.1843  -0.15294E-04     51     51     48   43.287   0.165
     2 49 1341.467 1341.280    45.1896  -0.14678E-04     52     52     49   43.419   0.166
     2 48 1368.493 1368.431    45.2221  -0.14082E-04     53     53     48   43.415   0.166
     2 48 1395.336 1395.351    45.2730  -0.13528E-04     54     54     48   43.253   0.166
     2 48 1420.638 1420.713    45.3520  -0.13038E-04     55     55     48   42.978   0.165
     2 49 1443.148 1443.150    45.4257  -0.12626E-04     56     56     49   42.818   0.165
     2 50 1466.044 1465.904    45.4057  -0.12226E-04     57     57     50   42.954   0.165
     2 50 1491.854 1491.685    45.4054  -0.11797E-04     58     58     50   43.149   0.166
