          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  10343 K
     model number =   27   age (yrs) =  2.90586E+08   l/l sun =  3.96669E-03
     number of points in model = 423   r/r sun =  1.97914E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0265        73.5989        0.1374
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  1  102.639  103.740    45.0614  -0.50137E+00      1      1      1   50.798   0.476
     1  2  194.836  196.128    46.3890  -0.53929E+00      2      2      2   50.371   0.470
     1  3  260.434  261.401    47.0877  -0.48322E+00      3      3      3   49.650   0.478
     1  4  332.715  333.194    46.1423  -0.25331E+00      4      4      4   49.483   0.478
     1  5  387.695  387.216    45.9357  -0.39370E-01      5      5      5   48.731   0.464
     1  6  436.359  436.088    45.8302   0.33756E-01      6      6      6   47.776   0.388
     1  7  468.590  469.139    45.5011   0.20209E-01      7      7      7   47.812   0.442
     1  8  522.326  522.455    45.1089  -0.20358E-01      8      8      8   48.097   0.483
     1  9  579.258  579.057    44.8288  -0.26389E-01      9      9      9   47.951   0.487
     1 10  634.323  633.797    44.6157  -0.14281E-01     10     10     10   47.507   0.482
     1 11  679.637  679.216    44.5434  -0.84961E-02     11     11     11   47.007   0.467
     1 12  719.712  719.952    44.3555  -0.44980E-02     12     12     12   47.007   0.477
     1 13  769.948  770.033    44.1211   0.47188E-03     13     13     13   47.230   0.490
     1 14  824.228  824.006    43.9649   0.34902E-02     14     14     14   47.209   0.492
     1 15  878.175  877.440    43.8456   0.48489E-02     15     15     15   46.958   0.491
     1 16  926.977  926.378    43.8022   0.41547E-02     16     16     16   46.585   0.487
     1 17  970.384  970.641    43.7191   0.21563E-02     17     17     17   46.456   0.487
     1 18 1017.482 1017.637    43.5777   0.23448E-05     18     18     18   46.576   0.492
     1 19 1069.662 1069.315    43.4589  -0.17163E-02     19     19     19   46.653   0.495
     1 20 1122.808 1122.175    43.3924  -0.27859E-02     20     20     20   46.536   0.495
     1 21 1173.636 1172.927    43.3553  -0.27206E-02     21     21     21   46.300   0.494
     1 22 1220.658 1220.553    43.3470  -0.18477E-02     22     22     22   46.085   0.492
     1 23 1266.168 1266.456    43.2900  -0.76712E-03     23     23     23   46.081   0.494
     1 24 1315.674 1315.447    43.2294   0.44191E-03     24     24     24   46.171   0.496
     1 25 1367.461 1366.666    43.1963   0.12812E-02     25     25     25   46.184   0.496
     1 26 1419.936 1419.236    43.1924   0.14099E-02     26     26     26   46.070   0.496
     1 27 1470.109 1469.897    43.2203   0.11379E-02     27     27     27   45.865   0.496
     2  1   59.915   60.498    46.5327  -0.66459E-01      1      1      1   50.850   0.145
     2  2  113.245  113.847    46.6508  -0.92969E-02      2      2      2   50.666   0.137
     2  3  151.460  151.520    47.1156  -0.47678E-02      3      3      3   49.940   0.146
     2  4  193.134  193.241    46.1104  -0.37622E-02      4      4      4   49.666   0.148
     2  5  226.382  226.241    45.8674  -0.32509E-02      5      5      5   48.976   0.150
     2  6  262.149  261.969    45.4756  -0.24746E-02      6      6      6   48.295   0.148
     2  7  292.992  292.601    45.2827  -0.18076E-02      7      7      7   47.341   0.123
     2  8  314.587  314.583    45.1853  -0.14349E-02      8      8      8   46.864   0.106
     2  9  340.203  340.372    44.8158  -0.11148E-02      9      9      9   47.058   0.146
     2 10  372.080  372.061    44.5354  -0.85297E-03     10     10     10   47.095   0.156
     2 11  404.174  403.866    44.3332  -0.67399E-03     11     11     11   46.817   0.156
     2 12  434.681  434.209    44.2100  -0.55270E-03     12     12     12   46.312   0.151
     2 13  460.182  460.090    44.1541  -0.47700E-03     13     13     13   45.902   0.144
     2 14  485.079  485.310    43.9857  -0.41842E-03     14     14     14   45.909   0.152
     2 15  514.457  514.394    43.8060  -0.36339E-03     15     15     15   46.025   0.159
     2 16  545.829  545.575    43.6861  -0.31618E-03     16     16     16   45.929   0.161
     2 17  576.385  575.991    43.6005  -0.27779E-03     17     17     17   45.648   0.160
     2 18  604.705  604.413    43.5601  -0.24761E-03     18     18     18   45.296   0.157
     2 19  630.211  630.371    43.4997  -0.22419E-03     19     19     19   45.143   0.157
     2 20  657.691  657.794    43.3892  -0.20226E-03     20     20     20   45.206   0.160
     2 21  687.366  687.097    43.3112  -0.18201E-03     21     21     21   45.229   0.162
     2 22  717.936  717.535    43.2625  -0.16446E-03     22     22     22   45.114   0.163
     2 23  747.507  747.208    43.2535  -0.15010E-03     23     23     23   44.868   0.162
     2 24  775.167  775.153    43.2548  -0.13859E-03     24     24     24   44.640   0.161
     2 25  801.773  801.885    43.2403  -0.12889E-03     25     25     25   44.561   0.161
     2 26  829.940  829.828    43.1988  -0.11974E-03     26     26     26   44.617   0.163
     2 26  859.915  859.530    43.1903  -0.11103E-03     27     27     26   44.617   0.164
     2 27  890.314  889.909    43.1980  -0.10302E-03     28     28     27   44.510   0.164
     2 28  920.115  920.034    43.2337  -0.95836E-04     29     29     28   44.290   0.163
     2 29  947.759  947.927    43.2755  -0.89760E-04     30     30     29   44.094   0.163
     2 30  974.831  974.736    43.2805  -0.84317E-04     31     31     30   44.069   0.163
     2 30 1003.620 1003.284    43.2686  -0.79065E-04     32     32     30   44.153   0.164
     2 31 1034.474 1034.145    43.2798  -0.74045E-04     33     33     31   44.164   0.165
     2 31 1065.468 1065.257    43.3177  -0.69547E-04     34     34     31   44.019   0.165
     2 32 1095.061 1095.184    43.3781  -0.65694E-04     35     35     32   43.768   0.164
     2 33 1121.792 1121.888    43.4350  -0.62525E-04     36     36     33   43.613   0.163
     2 34 1149.250 1148.944    43.4150  -0.59502E-04     37     37     34   43.713   0.164
     2 34 1179.696 1179.317    43.4162  -0.56374E-04     38     38     34   43.828   0.165
     2 34 1211.594 1211.450    43.4418  -0.53315E-04     39     39     34   43.781   0.165
     2 35 1242.724 1242.813    43.5039  -0.50514E-04     40     40     35   43.529   0.165
     2 35 1270.318 1270.430    43.5928  -0.48190E-04     41     41     35   43.261   0.164
     2 36 1296.232 1295.991    43.5955  -0.46149E-04     42     42     36   43.297   0.165
     2 37 1325.929 1325.653    43.5648  -0.43976E-04     43     43     37   43.507   0.165
     2 37 1358.290 1358.087    43.5948  -0.41811E-04     44     44     37   43.547   0.166
     2 37 1390.484 1390.519    43.6492  -0.39849E-04     45     45     37   43.346   0.166
     2 39 1419.643 1419.861    43.7344  -0.38207E-04     46     46     39   42.994   0.165
     2 38 1444.538 1444.364    43.7968  -0.36892E-04     47     47     38   42.928   0.165
     2 39 1473.100 1472.772    43.7267  -0.35461E-04     48     48     39   43.186   0.166
