          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  10501 K
     model number =   31   age (yrs) =  4.31128E+08   l/l sun =  2.07364E-03
     number of points in model = 431   r/r sun =  1.38822E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0553        71.0112        0.2834
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  1  117.559  117.137    47.2424   0.49553E+00      1      1      1   52.455   0.477
     1  3  280.332  281.173    46.1667   0.34878E+00      3      3      3   50.295   0.472
     1  4  327.430  327.124    45.4905   0.76411E-01      4      4      4   49.411   0.461
     1  5  366.605  366.598    45.3492  -0.11033E-01      5      5      5   48.724   0.446
     1  6  419.741  419.586    44.9401  -0.24023E-01      6      6      6   48.216   0.454
     1  7  459.467  459.439    44.9302  -0.64424E-02      7      7      7   47.461   0.390
     1  8  491.472  491.678    44.5807   0.40983E-02      8      8      8   47.617   0.453
     1  9  540.034  540.193    44.3232   0.66407E-02      9      9      9   47.908   0.485
     1 10  593.351  593.382    44.1464   0.16752E-02     10     10     10   47.778   0.488
     1 11  642.895  642.655    44.1113  -0.56618E-03     11     11     11   47.284   0.479
     1 12  684.526  684.089    44.1245  -0.15922E-03     12     12     12   46.862   0.466
     1 13  723.768  723.869    44.0359   0.52197E-03     13     13     13   46.844   0.476
     1 14  770.283  770.570    43.9409   0.57058E-03     14     14     14   46.979   0.488
     1 15  819.631  819.618    43.9210  -0.29076E-04     15     15     15   46.954   0.491
     1 16  869.513  869.432    43.9187  -0.46707E-03     16     16     16   46.797   0.491
     1 17  917.525  917.199    43.9676  -0.46206E-03     17     17     17   46.515   0.488
     1 18  961.539  961.253    44.0302  -0.31562E-03     18     18     18   46.292   0.485
     1 19 1004.822 1004.983    44.0237  -0.20595E-03     19     19     19   46.316   0.489
     1 20 1053.106 1053.248    44.0130  -0.12870E-03     20     20     20   46.436   0.494
     1 21 1104.663 1104.668    44.0536  -0.50788E-04     21     21     21   46.411   0.495
     1 22 1156.024 1155.844    44.1208   0.21573E-04     22     22     22   46.204   0.494
     1 23 1203.092 1202.564    44.2168   0.45654E-04     23     23     23   45.932   0.491
     1 24 1246.639 1246.452    44.2594   0.35050E-04     24     24     24   45.866   0.492
     1 25 1294.026 1294.262    44.2564   0.16925E-04     25     25     25   45.987   0.495
     1 26 1345.470 1345.524    44.2914  -0.24324E-04     26     26     26   46.032   0.496
     1 27 1397.506 1397.353    44.3557  -0.71000E-04     27     27     27   45.911   0.496
     1 28 1447.022 1446.629    44.4371  -0.83255E-04     28     28     28   45.692   0.495
     1 29 1492.840 1492.381    44.5083  -0.89187E-04     29     29     29   45.549   0.494
     2  1   68.039   67.787    47.6280  -0.27198E-01      1      1      1   51.793   0.144
     2  2  117.170  117.526    46.4206  -0.73815E-02      2      2      2   51.563   0.154
     2  3  162.775  163.366    46.1562  -0.29240E-02      3      3      3   50.028   0.145
     2  4  190.783  190.711    45.4359  -0.19846E-02      4      4      4   49.465   0.142
     2  5  215.383  215.447    45.3491  -0.15405E-02      5      5      5   48.851   0.132
     2  6  245.968  246.008    44.8573  -0.11269E-02      6      6      6   48.661   0.149
     2  7  276.841  276.819    44.5473  -0.78337E-03      7      7      7   48.123   0.149
     2  8  305.047  304.932    44.4288  -0.56046E-03      8      8      8   47.288   0.128
     2  9  325.744  325.679    44.4830  -0.45032E-03      9      9      9   46.715   0.099
     2 10  348.141  348.294    44.1618  -0.36696E-03     10     10     10   46.924   0.144
     2 11  377.445  377.513    44.0442  -0.29073E-03     11     11     11   46.950   0.155
     2 12  406.729  406.672    43.9804  -0.23470E-03     12     12     12   46.696   0.155
     2 13  434.864  434.765    43.9767  -0.19363E-03     13     13     13   46.278   0.151
     2 14  460.004  459.795    43.9989  -0.16566E-03     14     14     14   45.916   0.146
     2 15  484.332  484.329    43.9820  -0.14475E-03     15     15     15   45.792   0.149
     2 16  510.568  510.751    43.9357  -0.12693E-03     16     16     16   45.836   0.156
     2 17  539.188  539.252    43.9356  -0.11116E-03     17     17     17   45.820   0.159
     2 18  568.645  568.602    43.9621  -0.97778E-04     18     18     18   45.655   0.160
     2 19  597.239  597.073    44.0257  -0.86979E-04     19     19     19   45.343   0.158
     2 20  622.972  622.800    44.1148  -0.78737E-04     20     20     20   45.064   0.155
     2 21  648.162  648.270    44.1258  -0.71745E-04     21     21     21   45.051   0.158
     2 22  676.415  676.562    44.1229  -0.64928E-04     22     22     22   45.142   0.161
     2 23  706.462  706.445    44.1641  -0.58693E-04     23     23     23   45.088   0.162
     2 24  736.224  736.162    44.2362  -0.53394E-04     24     24     24   44.859   0.162
     2 25  763.747  763.546    44.3308  -0.49129E-04     25     25     25   44.575   0.160
     2 26  789.397  789.289    44.3798  -0.45628E-04     26     26     26   44.471   0.160
     2 27  816.861  816.985    44.3850  -0.42315E-04     27     27     27   44.540   0.162
     2 28  846.399  846.513    44.4161  -0.39151E-04     28     28     28   44.560   0.163
     2 29  876.409  876.374    44.4762  -0.36301E-04     29     29     29   44.439   0.163
     2 30  905.452  905.310    44.5509  -0.33838E-04     30     30     30   44.217   0.163
     2 31  932.452  932.254    44.6224  -0.31757E-04     31     31     31   44.034   0.162
     2 32  959.029  959.019    44.6518  -0.29886E-04     32     32     32   44.021   0.163
     2 33  987.627  987.798    44.6689  -0.28050E-04     33     33     33   44.090   0.164
     2 33 1017.730 1017.795    44.7066  -0.26286E-04     34     34     33   44.072   0.164
     2 35 1047.736 1047.619    44.7690  -0.24690E-04     35     35     35   43.911   0.164
     2 36 1075.940 1075.755    44.8499  -0.23327E-04     36     36     36   43.691   0.163
     2 37 1102.380 1102.284    44.8992  -0.22153E-04     37     37     37   43.608   0.163
     2 37 1130.196 1130.266    44.9093  -0.21017E-04     38     38     37   43.678   0.164
     2 38 1160.047 1160.196    44.9355  -0.19900E-04     39     39     38   43.713   0.165
     2 39 1190.209 1190.208    44.9862  -0.18862E-04     40     40     39   43.616   0.165
     2 39 1219.253 1219.074    45.0596  -0.17937E-04     41     41     39   43.426   0.164
     2 40 1246.589 1246.431    45.1231  -0.17127E-04     42     42     40   43.289   0.164
     2 41 1273.863 1273.867    45.1441  -0.16370E-04     43     43     41   43.300   0.165
     2 42 1302.782 1302.883    45.1614  -0.15617E-04     44     44     42   43.359   0.165
     2 42 1332.808 1332.922    45.1974  -0.14890E-04     45     45     42   43.341   0.165
     2 43 1362.640 1362.562    45.2554  -0.14215E-04     46     46     43   43.209   0.165
     2 43 1391.018 1390.785    45.3284  -0.13616E-04     47     47     43   43.033   0.165
     2 44 1418.021 1417.928    45.3716  -0.13083E-04     48     48     44   42.971   0.165
     2 45 1446.058 1446.135    45.3810  -0.12564E-04     49     49     45   43.039   0.165
     2 45 1475.881 1475.981    45.4074  -0.12046E-04     50     50     45   43.077   0.166
