          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  11385 K
     model number =   30   age (yrs) =  3.54047E+08   l/l sun =  2.98128E-03
     number of points in model = 436   r/r sun =  1.41608E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0547        53.8657        0.2821
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  1   86.269   86.852    44.2665  -0.31279E+00      1      1      1   50.956   0.430
     1  2  121.043  120.734    45.7184  -0.38609E+00      2      2      2   51.173   0.477
     1  3  203.182  203.454    45.9570  -0.32358E+00      3      3      3   50.114   0.472
     1  4  231.451  231.836    46.2969  -0.35380E+00      4      4      4   50.280   0.485
     1  3  286.505  290.646    46.0908  -0.88795E+00      3      5      3   48.322   0.642
     1  6  324.792  324.361    45.6420   0.15250E-01      6      6      6   49.358   0.480
     1  7  363.529  363.231    45.2305  -0.17358E+00      7      7      7   48.773   0.482
     1  8  404.118  403.706    45.1840  -0.45414E-01      8      8      8   47.765   0.419
     1  9  427.130  427.309    44.9766   0.25503E-02      9      9      9   47.546   0.410
     1 10  457.368  457.187    44.6674   0.10567E-01     10     10     10   47.861   0.473
     1 11  496.377  496.126    44.3622   0.58604E-02     11     11     11   48.151   0.490
     1 12  537.130  536.733    44.1475   0.17154E-01     12     12     12   48.106   0.492
     1 13  576.241  575.837    43.9884   0.17540E-01     13     13     13   47.863   0.492
     1 14  616.126  616.010    43.8378   0.66639E-02     14     14     14   47.413   0.487
     1 15  649.042  649.194    43.8556   0.95491E-03     15     15     15   46.815   0.467
     1 16  675.436  675.269    43.7457  -0.70552E-03     16     16     16   46.783   0.473
     1 17  709.415  709.052    43.5121  -0.29893E-02     17     17     17   47.206   0.492
     1 18  749.400  749.215    43.3620  -0.58822E-02     18     18     18   47.451   0.496
     1 19  790.378  790.146    43.2511  -0.52363E-02     19     19     19   47.427   0.497
     1 20  830.843  830.675    43.1466  -0.29352E-02     20     20     20   47.206   0.496
     1 21  870.345  870.427    43.1049  -0.13188E-02     21     21     21   46.669   0.492
     1 22  899.661  899.685    43.2696  -0.22909E-03     22     22     22   46.091   0.478
     1 23  925.659  925.357    43.0454   0.71100E-03     23     23     23   46.400   0.491
     1 24  963.286  963.096    42.9143   0.16826E-02     24     24     24   46.909   0.497
     1 25 1004.268 1004.172    42.8489   0.20335E-02     25     25     25   47.114   0.498
     1 26 1046.102 1045.995    42.8192   0.17005E-02     26     26     26   47.042   0.498
     1 27 1087.422 1087.486    42.8156   0.96850E-03     27     27     27   46.692   0.498
     1 28 1125.329 1125.422    42.9014   0.25937E-03     28     28     28   45.976   0.492
     1 29 1148.752 1148.452    43.0832  -0.16845E-03     29     29     29   45.639   0.486
     1 30 1179.922 1179.687    42.8166  -0.64723E-03     30     30     30   46.291   0.497
     1 31 1220.972 1220.979    42.7927  -0.95584E-03     31     31     31   46.711   0.499
     1 32 1263.232 1263.262    42.8029  -0.10193E-02     32     32     32   46.789   0.499
     1 33 1305.737 1305.719    42.8196  -0.81222E-03     33     33     33   46.615   0.499
     1 34 1347.400 1347.504    42.8656  -0.38179E-03     34     34     34   46.094   0.498
     1 35 1379.541 1379.352    43.1469  -0.75151E-04     35     35     35   45.323   0.490
     1 36 1402.530 1402.257    42.9870   0.12691E-03     36     36     36   45.568   0.495
     1 36 1440.943 1440.898    42.9016   0.39192E-03     37     37     36   46.216   0.499
     1 37 1483.455 1483.548    42.9143   0.47018E-03     38     38     37   46.459   0.499
     2  1   50.640   50.965    44.5869  -0.34434E-01      1      1      1   50.868   0.103
     2  2   70.178   69.989    45.2958  -0.15076E-01      2      2      2   51.215   0.144
     2  3  118.190  118.361    46.5217  -0.48528E-02      3      3      3   50.200   0.142
     2  4  134.019  134.208    46.3482  -0.36659E-02      4      4      4   50.416   0.153
     2  5  165.957  166.108    45.8872  -0.21446E-02      5      5      5   50.017   0.156
     2  6  188.680  188.471    45.6251  -0.16962E-02      6      6      6   49.419   0.154
     2  7  211.077  211.050    45.2001  -0.13888E-02      7      7      7   49.256   0.158
     2  8  238.253  238.105    44.9178  -0.97110E-03      8      8      8   48.653   0.156
     2  9  259.645  259.411    44.6623  -0.71285E-03      9      9      9   48.087   0.152
     2 10  282.390  282.278    44.4530  -0.54352E-03     10     10     10   47.374   0.139
     2 11  299.492  299.592    44.4759  -0.45361E-03     11     11     11   46.697   0.101
     2 12  315.126  315.061    44.1863  -0.38489E-03     12     12     12   46.818   0.137
     2 13  335.832  335.632    43.9826  -0.31254E-03     13     13     13   47.075   0.157
     2 14  359.109  358.971    43.7799  -0.25608E-03     14     14     14   47.164   0.161
     2 15  382.473  382.283    43.6479  -0.21577E-03     15     15     15   46.987   0.162
     2 16  405.676  405.546    43.5118  -0.18386E-03     16     16     16   46.653   0.161
     2 17  427.894  427.969    43.4531  -0.16039E-03     17     17     17   46.036   0.153
     2 18  444.236  444.331    43.5442  -0.14676E-03     18     18     18   45.544   0.138
     2 19  460.594  460.427    43.3022  -0.13485E-03     19     19     19   45.832   0.155
     2 20  482.268  482.105    43.1436  -0.12084E-03     20     20     20   46.215   0.163
     2 21  505.957  505.901    43.0408  -0.10777E-03     21     21     21   46.332   0.164
     2 22  529.857  529.799    42.9703  -0.96481E-04     22     22     22   46.186   0.164
     2 23  553.309  553.312    42.9211  -0.86747E-04     23     23     23   45.800   0.163
     2 24  574.884  574.990    42.9727  -0.78881E-04     24     24     24   45.079   0.156
     2 25  588.575  588.529    43.1110  -0.74409E-04     25     25     25   44.753   0.149
     2 26  606.672  606.550    42.8525  -0.69090E-04     26     26     26   45.332   0.163
     2 27  629.976  629.961    42.8062  -0.63150E-04     27     27     27   45.694   0.165
     2 28  654.089  654.086    42.7872  -0.57902E-04     28     28     28   45.751   0.166
     2 29  678.478  678.446    42.7829  -0.53386E-04     29     29     29   45.557   0.165
     2 30  702.343  702.427    42.8162  -0.49584E-04     30     30     30   45.029   0.164
     2 31  721.503  721.587    43.0598  -0.46845E-04     31     31     31   44.221   0.155
     2 32  734.326  734.243    42.9565  -0.45146E-04     32     32     32   44.354   0.159
     2 33  755.910  755.856    42.8331  -0.42480E-04     33     33     33   45.012   0.165
     2 34  780.362  780.399    42.8358  -0.39675E-04     34     34     34   45.259   0.166
     2 34  805.093  805.134    42.8599  -0.37064E-04     35     35     34   45.197   0.166
     2 35  829.566  829.619    42.8951  -0.34678E-04     36     36     35   44.868   0.166
     2 36  852.594  852.708    42.9942  -0.32602E-04     37     37     36   44.160   0.163
     2 37  867.229  867.206    43.2552  -0.31380E-04     38     38     37   43.675   0.158
     2 37  884.396  884.361    42.9945  -0.30035E-04     39     39     37   44.243   0.164
     2 38  908.142  908.174    42.9884  -0.28329E-04     40     40     38   44.669   0.166
     2 39  932.818  932.925    43.0153  -0.26743E-04     41     41     39   44.747   0.166
     2 40  957.615  957.679    43.0516  -0.25305E-04     42     42     40   44.559   0.166
     2 40  981.498  981.572    43.1208  -0.24049E-04     43     43     40   44.065   0.165
     2 42 1000.802 1000.856    43.3252  -0.23109E-04     44     44     42   43.429   0.162
     2 41 1015.743 1015.755    43.2684  -0.22418E-04     45     45     41   43.520   0.163
     2 42 1037.252 1037.289    43.1850  -0.21472E-04     46     46     42   44.010   0.166
     2 42 1061.447 1061.515    43.2046  -0.20467E-04     47     47     42   44.197   0.166
     2 43 1085.736 1085.848    43.2446  -0.19513E-04     48     48     43   44.116   0.166
     2 43 1109.372 1109.439    43.2967  -0.18639E-04     49     49     43   43.832   0.166
     2 44 1131.087 1131.108    43.3971  -0.17883E-04     50     50     44   43.390   0.164
     2 44 1149.039 1149.047    43.4813  -0.17291E-04     51     51     44   43.161   0.164
     2 44 1168.172 1168.236    43.4242  -0.16695E-04     52     52     44   43.354   0.165
     2 45 1190.254 1190.297    43.4212  -0.16050E-04     53     53     45   43.565   0.166
     2 46 1213.353 1213.394    43.4471  -0.15420E-04     54     54     46   43.630   0.166
     2 46 1236.536 1236.591    43.4876  -0.14831E-04     55     55     46   43.553   0.166
     2 47 1259.147 1259.143    43.5315  -0.14291E-04     56     56     47   43.377   0.166
     2 46 1280.937 1280.909    43.5889  -0.13798E-04     57     57     46   43.140   0.165
     2 47 1301.029 1301.063    43.6611  -0.13366E-04     58     58     47   42.935   0.165
     2 47 1320.237 1320.290    43.6636  -0.12969E-04     59     59     47   42.960   0.165
     2 48 1341.087 1341.077    43.6595  -0.12556E-04     60     60     48   43.155   0.166
     2 48 1363.707 1363.675    43.6778  -0.12127E-04     61     61     48   43.328   0.166
     2 49 1387.397 1387.408    43.6903  -0.11700E-04     62     62     49   43.365   0.166
     2 48 1411.168 1411.177    43.7051  -0.11295E-04     63     63     48   43.215   0.166
     2 49 1433.905 1433.915    43.7886  -0.10928E-04     64     64     49   42.862   0.165
     2 48 1452.885 1452.909    43.9675  -0.10636E-04     65     65     48   42.514   0.165
     2 50 1470.311 1470.306    43.8501  -0.10380E-04     66     66     50   42.696   0.165
     2 50 1492.405 1492.390    43.8366  -0.10069E-04     67     67     50   43.092   0.166
