          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  10501 K
     model number =   30   age (yrs) =  3.98589E+08   l/l sun =  2.45153E-03
     number of points in model = 432   r/r sun =  1.50940E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0489        55.9006        0.2500
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  2   70.423   71.047    45.3170  -0.47408E+00      1      2      2   51.338   0.467
     1  2  145.515  147.031    46.6193  -0.59100E+00      2      2      2   50.563   0.473
     1  3  196.745  197.361    47.0937  -0.53560E+00      3      3      3   50.327   0.478
     1  4  239.375  239.850    46.6939  -0.36154E+00      4      4      4   50.239   0.484
     1  5  287.737  287.953    46.1995  -0.96298E-01      5      5      5   50.088   0.486
     1  6  330.452  330.335    45.8133   0.28885E-01      6      6      6   49.713   0.486
     1  7  373.998  373.978    45.5606   0.30371E-01      7      7      7   48.986   0.478
     1  8  412.707  412.588    45.3684   0.72948E-02      8      8      8   48.047   0.437
     1  9  437.371  437.401    45.3819  -0.13507E-03      9      9      9   47.566   0.393
     1 10  469.730  469.904    44.9656  -0.20962E-02     10     10     10   47.993   0.476
     1 11  509.823  509.879    44.7199  -0.87739E-03     11     11     11   48.186   0.490
     1 12  551.142  551.155    44.5274  -0.55934E-03     12     12     12   48.105   0.492
     1 13  592.022  591.837    44.3860  -0.17090E-02     13     13     13   47.800   0.490
     1 14  630.092  629.769    44.3249  -0.18317E-02     14     14     14   47.315   0.481
     1 15  662.411  662.279    44.3097  -0.11583E-02     15     15     15   46.950   0.470
     1 16  693.567  693.723    44.1810  -0.62747E-03     16     16     16   47.026   0.482
     1 17  730.882  730.911    44.0465  -0.14823E-03     17     17     17   47.258   0.492
     1 18  771.186  771.164    43.9752   0.14982E-03     18     18     18   47.306   0.494
     1 19  811.575  811.524    43.9293   0.21653E-03     19     19     19   47.184   0.494
     1 20  851.272  850.972    43.9027   0.32937E-03     20     20     20   46.924   0.493
     1 21  887.826  887.397    43.9262   0.32078E-03     21     21     21   46.590   0.489
     1 22  920.971  920.902    43.9211   0.20790E-03     22     22     22   46.458   0.488
     1 23  956.037  956.217    43.8744   0.68233E-04     23     23     23   46.560   0.492
     1 24  994.386  994.433    43.8442  -0.10630E-03     24     24     24   46.684   0.495
     1 25 1034.694 1034.572    43.8418  -0.23114E-03     25     25     25   46.690   0.496
     1 26 1074.760 1074.518    43.8634  -0.25902E-03     26     26     26   46.558   0.496
     1 26 1113.530 1113.132    43.8963  -0.27803E-03     27     27     26   46.349   0.495
     1 27 1150.155 1149.802    43.9492  -0.26057E-03     28     28     27   46.144   0.494
     1 27 1185.406 1185.409    43.9698  -0.19608E-03     29     29     27   46.096   0.494
     1 29 1222.653 1222.813    43.9719  -0.12226E-03     30     30     29   46.167   0.496
     1 29 1261.711 1261.665    43.9861  -0.30285E-04     31     31     29   46.221   0.497
     1 30 1301.740 1301.439    44.0125   0.43613E-04     32     32     30   46.199   0.497
     1 30 1341.477 1341.102    44.0568   0.62035E-04     33     33     30   46.087   0.497
     1 31 1380.084 1379.748    44.1032   0.75599E-04     34     34     31   45.944   0.496
     1 31 1417.598 1417.387    44.1489   0.60130E-04     35     35     31   45.830   0.496
     1 31 1454.766 1454.732    44.1784   0.23010E-04     36     36     31   45.798   0.496
     1 32 1492.969 1492.990    44.1997  -0.11903E-04     37     37     32   45.819   0.497
     2  2   84.543   85.250    47.0187  -0.43349E-02      2      2      2   50.991   0.140
     2  3  114.084  114.204    47.1676  -0.16614E-02      3      3      3   50.704   0.146
     2  4  138.714  138.850    46.6637  -0.20086E-02      4      4      4   50.400   0.152
     2  5  166.722  166.847    46.2196  -0.23335E-02      5      5      5   50.063   0.155
     2  6  191.541  191.499    45.8084  -0.20845E-02      6      6      6   49.730   0.157
     2  7  217.338  217.368    45.5252  -0.15716E-02      7      7      7   49.276   0.157
     2  8  242.166  242.233    45.2167  -0.11099E-02      8      8      8   48.816   0.157
     2  9  266.892  266.832    44.9902  -0.79730E-03      9      9      9   48.159   0.152
     2 10  289.012  288.837    44.8313  -0.61890E-03     10     10     10   47.382   0.133
     2 11  306.051  305.990    44.8130  -0.51984E-03     11     11     11   46.834   0.106
     2 12  323.262  323.377    44.5551  -0.44081E-03     12     12     12   46.982   0.141
     2 13  345.527  345.564    44.3612  -0.35942E-03     13     13     13   47.176   0.157
     2 14  369.134  369.133    44.2428  -0.29387E-03     14     14     14   47.107   0.160
     2 15  392.664  392.620    44.1412  -0.24583E-03     15     15     15   46.871   0.160
     2 16  415.642  415.447    44.0790  -0.21003E-03     16     16     16   46.470   0.156
     2 17  436.180  435.961    44.0848  -0.18471E-03     17     17     17   46.017   0.149
     2 18  454.523  454.564    44.0433  -0.16604E-03     18     18     18   45.862   0.149
     2 19  474.691  474.832    43.9488  -0.14874E-03     19     19     19   45.982   0.157
     2 20  497.163  497.177    43.8789  -0.13276E-03     20     20     20   46.082   0.161
     2 21  520.587  520.511    43.8501  -0.11886E-03     21     21     21   46.017   0.162
     2 22  543.696  543.593    43.8479  -0.10717E-03     22     22     22   45.808   0.162
     2 23  566.038  565.857    43.8652  -0.97403E-04     23     23     23   45.511   0.160
     2 24  586.662  586.510    43.9087  -0.89460E-04     24     24     24   45.232   0.158
     2 24  606.419  606.469    43.9002  -0.82692E-04     25     25     24   45.176   0.159
     2 25  627.775  627.876    43.8806  -0.76217E-04     26     26     25   45.251   0.162
     2 27  650.366  650.356    43.8835  -0.70149E-04     27     27     27   45.288   0.163
     2 27  673.643  673.536    43.9077  -0.64627E-04     28     28     27   45.220   0.163
     2 27  696.662  696.513    43.9514  -0.59829E-04     29     29     27   45.043   0.163
     2 28  718.823  718.644    43.9958  -0.55731E-04     30     30     28   44.831   0.162
     2 28  740.023  739.914    44.0399  -0.52238E-04     31     31     28   44.668   0.162
     2 29  761.021  761.061    44.0575  -0.49128E-04     32     32     29   44.633   0.162
     2 30  783.038  783.134    44.0728  -0.46162E-04     33     33     30   44.660   0.163
     2 31  805.759  805.751    44.1005  -0.43392E-04     34     34     31   44.654   0.164
     2 31  828.785  828.606    44.1357  -0.40834E-04     35     35     31   44.588   0.164
     2 32  851.600  851.365    44.1807  -0.38505E-04     36     36     32   44.464   0.164
     2 32  873.908  873.770    44.2237  -0.36412E-04     37     37     32   44.330   0.164
     2 33  895.829  895.828    44.2610  -0.34498E-04     38     38     33   44.225   0.164
     2 33  917.672  917.735    44.2931  -0.32731E-04     39     39     33   44.170   0.164
     2 34  939.863  939.892    44.3259  -0.31073E-04     40     40     34   44.147   0.164
     2 34  962.364  962.288    44.3462  -0.29514E-04     41     41     34   44.126   0.165
     2 34  985.077  984.873    44.3812  -0.28066E-04     42     42     34   44.092   0.165
     2 35 1007.879 1007.650    44.4295  -0.26723E-04     43     43     35   44.031   0.165
     2 35 1030.652 1030.569    44.4384  -0.25484E-04     44     44     35   43.945   0.165
     2 35 1053.227 1053.311    44.4952  -0.24352E-04     45     45     35   43.840   0.164
     2 36 1075.389 1075.477    44.5649  -0.23315E-04     46     46     36   43.742   0.165
     2 36 1097.272 1097.211    44.5260  -0.22359E-04     47     47     36   43.691   0.165
     2 37 1119.371 1119.193    44.6083  -0.21451E-04     48     48     37   43.698   0.165
     2 37 1142.068 1141.893    44.6549  -0.20572E-04     49     49     37   43.720   0.166
     2 37 1165.282 1165.152    44.5717  -0.19725E-04     50     48     37   43.705   0.165
     2 38 1188.623 1188.579    44.6889  -0.18920E-04     51     51     38   43.620   0.165
     2 38 1211.529 1211.609    44.7765  -0.18173E-04     50     52     38   43.474   0.166
     2 39 1233.441 1233.515    44.7276  -0.17498E-04     53     51     39   43.333   0.165
     2 38 1254.716 1254.602    44.8242  -0.16878E-04     52     54     38   43.301   0.165
     2 39 1276.696 1276.465    44.8155  -0.16273E-04     53     53     39   43.377   0.165
     2 39 1299.861 1299.699    44.8504  -0.15673E-04     56     54     39   43.450   0.166
     2 39 1323.690 1323.648    44.8489  -0.15093E-04     55     55     39   43.438   0.166
     2 39 1347.437 1347.459    44.8593  -0.14550E-04     56     56     39   43.312   0.165
     2 40 1370.214 1370.268    45.0018  -0.14059E-04     55     57     40   43.104   0.165
     2 40 1391.318 1391.296    44.9906  -0.13626E-04     58     56     40   42.953   0.165
     2 41 1412.124 1411.967    45.0307  -0.13220E-04     57     57     41   43.004   0.165
     2 40 1434.618 1434.437    45.0050  -0.12799E-04     58     58     40   43.158   0.166
     2 40 1458.494 1458.359    45.0681  -0.12371E-04     59     59     40   43.242   0.166
     2 41 1482.813 1482.796    45.0913  -0.11957E-04     60     60     41   43.189   0.166
