          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  11385 K
     model number =   30   age (yrs) =  3.68710E+08   l/l sun =  2.89825E-03
     number of points in model = 454   r/r sun =  1.39623E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0561        54.5750        0.2881
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  1   99.446   99.536    44.5899   0.51814E-01      1      3      1   51.436   0.419
     1  2  165.578  165.645    46.1027  -0.46547E-01      2      4      2   52.243   0.487
     1  3  183.101  182.575    45.6527  -0.47971E-01      3      5      3   50.820   0.466
     1  4  243.926  244.445    46.0922  -0.50987E-01      4     10      4   52.023   0.479
     1  5  298.013  298.752    45.7669  -0.13245E+00      5      9      5   52.439   0.491
     1  6  336.233  336.458    45.1637  -0.59572E-01      6     10      6   52.743   0.493
     1  7  396.713  396.987    45.0459   0.89291E-01      7     11      7   51.899   0.494
     1  8  435.206  434.578    44.9346   0.68171E-01      8     10      8   50.481   0.494
     1  9  451.681  451.907    44.6615   0.56358E-01      9     11      9   50.416   0.495
     1 10  494.462  494.431    46.3391  -0.71111E-03     10     12     10   46.789   0.331
     1 11  496.351  496.589    44.2490  -0.42541E-02     11     11     11   48.810   0.495
     1 12  544.751  545.271    43.9870  -0.63938E-01     12     14     12   52.037   0.497
     1 13  597.557  597.765    43.7483  -0.39429E-01     13     19     13   52.591   0.498
     1 14  644.453  644.685    43.5900  -0.44894E-01     14     20     14   52.275   0.498
     1 15  681.977  680.901    44.2989   0.36794E-02     15     19     15   50.848   0.497
     1 16  699.134  699.268    43.4634   0.35452E-01     16     20     16   51.677   0.498
     1 17  746.799  747.154    43.2388   0.36121E-01     17     19     17   52.475   0.499
     1 18  797.753  797.867    43.1228   0.48233E-03     18     20     18   49.784   0.499
     1 20  847.088  847.289    43.0050  -0.41887E-01     20     24     20   52.768   0.499
     1 21  896.386  896.460    42.9133  -0.70304E-03     21     25     21   52.700   0.499
     1 28 1097.654 1097.831    42.7290   0.21570E-01     28     30     28   52.267   0.499
     1 17 1106.134 1105.773    45.0076  -0.72041E-04     16     29     17   45.330   0.467
     1 28 1147.656 1147.490    42.7596   0.23700E-02     28     32     28   52.251   0.499
     1 29 1156.468 1155.332    43.8666   0.20590E-01     29     31     29   51.398   0.499
     1 35 1394.734 1393.342    44.4711  -0.98610E-02     36     38     35   50.177   0.499
     1 30 1400.541 1399.940    46.0195  -0.28253E-04     32     37     30   44.965   0.482
     2  2   58.584   58.701    44.0458  -0.29835E-01      1      4      2   50.944   0.091
     2  2   95.701   95.743    46.0789  -0.97937E-02      2      4      2   51.951   0.154
     2  3  106.937  106.627    44.8596  -0.80086E-02      3      5      3   50.432   0.134
     2  4  141.261  141.560    46.1751  -0.50157E-02      4      6      4   51.702   0.145
     2  5  172.247  172.680    45.7780  -0.42928E-02      5      7      5   52.293   0.158
     2  6  194.244  194.372    45.1714  -0.14975E-02      6     10      6   52.627   0.160
     2  7  229.246  229.416    45.0434   0.28573E-02      7     13      7   51.920   0.160
     2  8  251.690  251.373    44.9158   0.31397E-02      8     12      8   50.813   0.160
     2  9  261.044  261.174    44.6772   0.32973E-02      9     13      9   50.936   0.162
     2 10  286.662  286.807    44.2441   0.35755E-02     10     14     10   51.899   0.164
     2 11  314.601  314.902    43.9866   0.16434E-02     11     13     11   51.976   0.164
     2 12  345.084  345.204    43.7475  -0.34970E-04     12     16     12   50.982   0.164
     2 13  359.067  359.068    46.7887  -0.27424E-03     14     15     13   45.742   0.059
     2 14  372.162  372.297    43.5894  -0.42480E-03     14     16     14   50.423   0.165
     2 15  394.108  393.487    44.2818  -0.19124E-03     15     17     15   49.749   0.164
     2 16  403.745  403.820    43.4662   0.14543E-03     16     18     16   50.751   0.165
     2 17  431.227  431.432    43.2386   0.66669E-03     17     21     17   52.213   0.165
     2 18  460.642  460.708    43.1225   0.40170E-03     18     22     18   52.602   0.165
     2 19  489.123  489.239    43.0048   0.58188E-03     19     25     19   52.363   0.166
     2 20  517.586  517.630    42.9127  -0.15831E-03     20     24     20   51.118   0.166
     2 21  532.032  531.379    44.2285  -0.23895E-03     21     23     21   48.764   0.165
     2 22  540.935  540.947    47.3704  -0.91268E-04     22     22     22   44.610   0.120
     2 23  547.270  547.360    42.8444   0.68920E-04     23     23     23   50.208   0.166
     2 24  575.947  576.008    42.7721   0.10625E-02     24     26     24   52.579   0.166
     2 25  604.681  604.723    42.7549   0.25922E-02     25     27     25   53.256   0.166
     2 26  633.773  633.875    42.7290   0.20188E-02     26     32     26   53.238   0.166
     2 27  662.655  662.564    42.7568  -0.52205E-04     27     33     27   51.716   0.166
     2 28  667.917  667.253    43.8979  -0.29735E-03     28     32     28   50.593   0.166
     2 29  692.520  692.606    42.7328  -0.84966E-03     29     33     29   52.684   0.166
     2 30  718.862  718.850    44.4069  -0.47862E-04     29     32     30   43.868   0.142
     2 31  721.773  721.810    42.7490   0.15724E-03     31     31     31   51.464   0.166
     2 32  751.313  751.331    42.7683   0.20676E-02     32     36     32   53.700   0.166
     2 32  781.161  781.218    42.7909   0.94194E-03     33     37     32   53.800   0.166
     2 34  805.456  804.649    44.4497  -0.11496E-02     34     38     34   51.186   0.166
     2 34  811.051  811.048    42.8379  -0.17253E-02     35     39     34   52.776   0.166
     2 35  840.752  840.828    42.8590  -0.40440E-02     36     40     35   54.173   0.166
     2 36  870.694  870.691    42.8924  -0.10065E-02     37     41     36   53.236   0.166
     2 37  877.122  877.105    40.8174  -0.30764E-04     37     42     37   43.466   0.155
     2 37  900.865  900.922    42.9352   0.25188E-02     39     41     37   54.357   0.166
     2 37  930.918  930.977    42.9772   0.21102E-02     40     44     37   54.245   0.166
     2 38  948.644  947.721    45.5335  -0.54280E-03     41     43     38   51.286   0.166
     2 39  961.046  961.041    43.0191  -0.18923E-02     42     44     39   53.777   0.166
     2 39  980.957  980.848    39.7801  -0.24312E-04     42     45     39   43.270   0.160
     2 39  991.303  991.384    43.0588   0.31910E-02     44     46     39   54.636   0.166
     2 37 1021.638 1021.658    43.1062   0.20888E-01     41     47     37   56.361   0.166
     2 37 1051.915 1051.967    43.1514   0.35556E-01     42     48     37   56.811   0.166
     2 40 1082.163 1082.208    43.1916   0.67100E-02     45     49     40   55.885   0.166
     2 44 1093.394 1092.428    46.1755  -0.39553E-02     48     48     44   52.703   0.167
     2 43 1112.649 1112.671    43.2379  -0.68847E-02     49     51     43   55.395   0.166
     2 45 1121.899 1119.260    38.3571  -0.18281E-04     50     51     45   42.725   0.158
     2 40 1143.106 1143.187    43.2847   0.37392E-01     47     49     40   56.916   0.167
