          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  11385 K
     model number =   30   age (yrs) =  3.47358E+08   l/l sun =  3.18985E-03
     number of points in model = 437   r/r sun =  1.46478E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0521        51.2253        0.2681
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  2   62.276   63.218    43.5850  -0.52824E+00      1      2      2   51.160   0.464
     1  2  144.952  146.039    46.2565  -0.56236E+00      2      2      2   50.464   0.471
     1  3  172.122  172.383    46.9942  -0.50780E+00      3      3      3   50.804   0.480
     1  4  227.087  227.516    46.3580  -0.25294E+00      4      4      4   50.308   0.482
     1  5  270.282  270.377    46.1301  -0.31473E-01      5      5      5   50.316   0.486
     1  6  310.832  310.758    45.7428   0.27488E-01      6      6      6   49.842   0.487
     1  7  347.489  347.281    45.5506   0.15055E-01      7      7      7   49.175   0.483
     1  8  388.632  388.475    45.3453   0.27275E-02      8      8      8   48.114   0.443
     1  9  411.251  411.366    45.2766   0.33673E-03      9      9      9   47.583   0.390
     1 10  438.046  438.180    44.8954  -0.64159E-03     10     10     10   47.971   0.472
     1 11  476.337  476.262    44.6066  -0.13331E-02     11     11     11   48.272   0.490
     1 12  514.704  514.599    44.4002  -0.23125E-02     12     12     12   48.196   0.492
     1 13  553.185  552.903    44.1820  -0.24107E-02     13     13     13   47.963   0.492
     1 14  589.426  589.053    44.0752  -0.14435E-02     14     14     14   47.498   0.486
     1 15  621.675  621.587    44.0133  -0.86055E-03     15     15     15   47.033   0.473
     1 16  649.200  649.401    43.9069  -0.51917E-03     16     16     16   46.952   0.476
     1 17  682.272  682.189    43.7050   0.40515E-04     17     17     17   47.203   0.490
     1 18  718.175  717.880    43.5689   0.38290E-03     18     18     18   47.340   0.494
     1 19  756.196  755.942    43.4468   0.45104E-03     19     19     19   47.322   0.495
     1 20  793.211  792.916    43.3487   0.48328E-03     20     20     20   47.146   0.495
     1 21  829.466  829.153    43.2637   0.30620E-03     21     21     21   46.860   0.493
     1 21  862.375  862.330    43.2390   0.10595E-03     22     22     21   46.519   0.488
     1 22  892.320  892.412    43.1800  -0.41269E-04     23     23     22   46.414   0.488
     1 24  923.986  923.803    43.0708  -0.21422E-03     24     24     24   46.574   0.493
     1 24  959.414  959.050    42.9766  -0.34715E-03     25     25     24   46.759   0.496
     1 24  996.381  996.051    42.9134  -0.36246E-03     26     26     24   46.811   0.497
     1 25 1033.683 1033.402    42.8646  -0.34305E-03     27     27     25   46.733   0.497
     1 26 1070.634 1070.404    42.8465  -0.26624E-03     28     28     26   46.496   0.496
     1 26 1105.047 1105.055    42.8731  -0.15004E-03     29     29     26   46.138   0.494
     1 27 1134.912 1134.906    42.9104  -0.60805E-04     30     30     27   45.924   0.492
     1 28 1165.027 1164.709    42.8374   0.23445E-04     31     31     28   46.109   0.495
     1 28 1200.465 1200.035    42.7861   0.98262E-04     32     32     28   46.386   0.498
     1 28 1238.071 1237.793    42.7706   0.11619E-03     33     33     28   46.511   0.498
     1 28 1276.728 1276.605    42.7712   0.10981E-03     34     34     28   46.465   0.498
     1 30 1314.853 1314.730    42.8025   0.65537E-04     35     35     30   46.214   0.498
     1 30 1350.384 1350.341    42.8632   0.11034E-05     36     36     30   45.776   0.496
     1 31 1378.669 1378.437    42.9612  -0.43875E-04     37     37     31   45.505   0.493
     1 31 1408.345 1407.994    42.8756  -0.89907E-04     38     38     31   45.814   0.497
     1 32 1444.888 1444.587    42.8195  -0.12647E-03     39     39     32   46.170   0.499
     1 32 1483.995 1483.823    42.8250  -0.13171E-03     40     40     32   46.317   0.499
     2  2   84.298   84.664    46.4644  -0.13701E-02      2      2      2   50.834   0.138
     2  3   99.653   99.701    46.7400  -0.12011E-02      3      3      3   51.091   0.147
     2  4  131.740  131.910    47.1030  -0.22182E-02      4      4      4   50.326   0.150
     2  5  156.515  156.585    46.2064  -0.24705E-02      5      5      5   50.217   0.155
     2  6  180.076  180.048    45.7246  -0.20663E-02      6      6      6   49.853   0.157
     2  7  201.696  201.621    45.5108  -0.15439E-02      7      7      7   49.421   0.158
     2  8  227.613  227.645    45.1766  -0.10535E-02      8      8      8   48.925   0.158
     2  9  249.090  249.020    44.8869  -0.78934E-03      9      9      9   48.356   0.155
     2 10  271.140  270.948    44.6956  -0.60738E-03     10     10     10   47.556   0.141
     2 11  287.677  287.628    44.6754  -0.50612E-03     11     11     11   46.858   0.106
     2 12  302.677  302.789    44.4400  -0.43129E-03     12     12     12   46.898   0.134
     2 13  322.593  322.550    44.1615  -0.35253E-03     13     13     13   47.185   0.156
     2 14  344.403  344.286    44.0128  -0.28957E-03     14     14     14   47.169   0.160
     2 15  366.370  366.259    43.8492  -0.24223E-03     15     15     15   47.009   0.161
     2 16  388.216  388.009    43.7322  -0.20577E-03     16     16     16   46.654   0.159
     2 17  408.330  408.131    43.6378  -0.18012E-03     17     17     17   46.222   0.154
     2 18  426.298  426.336    43.6173  -0.16154E-03     18     18     18   45.843   0.147
     2 19  443.417  443.517    43.4739  -0.14656E-03     19     19     19   45.861   0.153
     2 20  462.970  462.895    43.3400  -0.13213E-03     20     20     20   46.014   0.160
     2 21  484.005  483.796    43.2173  -0.11882E-03     21     21     21   46.095   0.162
     2 22  505.581  505.383    43.1334  -0.10703E-03     22     22     22   46.017   0.163
     2 22  526.920  526.768    43.0570  -0.96998E-04     23     23     22   45.825   0.163
     2 22  547.765  547.669    43.0145  -0.88326E-04     24     24     22   45.499   0.161
     2 24  566.656  566.715    43.0131  -0.81339E-04     25     25     24   45.145   0.158
     2 25  583.764  583.796    42.9804  -0.75715E-04     26     26     25   45.039   0.158
     2 25  602.176  602.017    42.8905  -0.70288E-04     27     27     25   45.215   0.162
     2 26  622.872  622.647    42.8316  -0.64888E-04     28     28     26   45.386   0.164
     2 26  644.492  644.346    42.8054  -0.59989E-04     29     29     26   45.411   0.165
     2 26  666.407  666.318    42.7856  -0.55636E-04     30     30     26   45.293   0.165
     2 27  687.982  687.902    42.7952  -0.51877E-04     31     31     27   44.990   0.164
     2 28  707.657  707.698    42.8499  -0.48826E-04     32     32     28   44.566   0.161
     2 28  724.115  724.099    42.9058  -0.46483E-04     33     33     28   44.374   0.160
     2 29  741.950  741.804    42.8153  -0.44136E-04     34     34     29   44.644   0.163
     2 29  763.082  762.897    42.7965  -0.41568E-04     35     35     29   44.909   0.165
     2 30  785.351  785.226    42.8017  -0.39057E-04     36     36     30   44.995   0.166
     2 30  808.018  807.977    42.8061  -0.36706E-04     37     37     30   44.879   0.166
     2 31  830.124  830.114    42.8234  -0.34577E-04     38     38     31   44.548   0.165
     2 31  850.082  850.141    42.9660  -0.32796E-04     39     39     31   44.019   0.162
     2 31  865.236  865.159    43.0000  -0.31535E-04     40     40     31   43.857   0.161
     2 32  883.529  883.407    42.9118  -0.30108E-04     41     41     32   44.273   0.164
     2 33  905.435  905.313    42.9599  -0.28539E-04     42     42     33   44.588   0.166
     2 33  928.434  928.368    42.9218  -0.27045E-04     43     43     33   44.662   0.167
     2 33  951.505  951.538    42.8695  -0.25678E-04     44     42     33   44.508   0.166
     2 33  974.008  974.060    42.9989  -0.24465E-04     45     45     33   44.103   0.164
     2 34  993.081  993.125    43.2059  -0.23510E-04     44     46     34   43.487   0.163
     2 35 1007.217 1007.092    43.1396  -0.22838E-04     47     45     35   43.507   0.162
     2 35 1026.919 1026.864    43.0969  -0.21948E-04     46     48     35   44.039   0.166
     2 35 1049.725 1049.705    43.0731  -0.20972E-04     47     47     35   44.326   0.166
     2 35 1073.121 1073.101    43.1427  -0.20025E-04     48     48     35   44.344   0.166
     2 36 1096.440 1096.491    43.1719  -0.19134E-04     49     49     36   44.131   0.167
     2 37 1118.833 1118.932    43.1680  -0.18324E-04     50     48     37   43.614   0.165
     2 36 1135.867 1135.877    43.4470  -0.17740E-04     49     51     36   43.035   0.163
     2 37 1150.540 1150.433    43.2890  -0.17260E-04     52     50     37   43.320   0.165
     2 38 1171.926 1171.920    43.2640  -0.16595E-04     51     51     38   43.853   0.166
     2 38 1195.237 1195.280    43.2458  -0.15923E-04     52     52     38   44.058   0.167
     2 39 1218.764 1218.782    43.2763  -0.15292E-04     53     53     39   44.012   0.166
     2 39 1242.110 1242.170    43.3769  -0.14709E-04     52     54     39   43.713   0.166
     2 39 1263.628 1263.745    43.4585  -0.14206E-04     53     53     39   43.097   0.165
     2 39 1278.515 1278.479    43.6420  -0.13873E-04     54     54     39   42.725   0.164
     2 40 1295.455 1295.408    43.4382  -0.13509E-04     55     55     40   43.220   0.165
     2 40 1317.903 1317.908    43.4840  -0.13046E-04     54     56     40   43.646   0.166
     2 41 1341.351 1341.425    43.4947  -0.12582E-04     55     57     41   43.764   0.167
     2 41 1364.906 1364.981    43.5153  -0.12136E-04     56     56     41   43.641   0.166
     2 42 1387.866 1387.938    43.5976  -0.11721E-04     57     57     42   43.253   0.166
     2 41 1407.705 1407.767    43.6976  -0.11377E-04     58     56     41   42.632   0.165
     2 42 1421.973 1421.936    43.7750  -0.11139E-04     57     59     42   42.571   0.165
     2 42 1441.413 1441.431    43.6403  -0.10827E-04     58     58     42   43.099   0.166
     2 43 1464.236 1464.263    43.6780  -0.10479E-04     59     59     43   43.396   0.166
     2 45 1487.690 1487.770    43.6712  -0.10142E-04     60     60     45   43.428   0.167
