          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  10501 K
     model number =   31   age (yrs) =  4.42555E+08   l/l sun =  2.00843E-03
     number of points in model = 430   r/r sun =  1.36622E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0569        73.7218        0.2903
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  1  149.810  149.800    46.5968  -0.42493E-01      1      1      1   51.399   0.464
     1  2  187.285  186.951    46.2824  -0.49609E-01      2      2      2   51.431   0.486
     1  3  290.441  290.483    46.3020  -0.13274E-01      3      3      3   49.725   0.459
     1  4  337.305  338.078    45.2066   0.25111E-01      4      4      4   49.602   0.479
     1  5  382.946  382.342    45.2076   0.42590E-02      5      5      5   48.709   0.456
     1  6  437.323  437.408    44.8812  -0.97454E-02      6      6      6   47.901   0.428
     1  7  471.550  471.798    44.7114  -0.42065E-02      7      7      7   47.460   0.402
     1  8  508.304  508.281    44.4458   0.12533E-02      8      8      8   47.619   0.461
     1  9  559.880  560.262    44.2003   0.96637E-03      9      9      9   47.835   0.486
     1 10  613.651  613.543    44.1076   0.44676E-03     10     10     10   47.583   0.485
     1 11  662.596  662.273    43.9951   0.12023E-02     11     11     11   47.240   0.480
     1 12  706.579  706.330    44.1102   0.40478E-03     12     12     12   46.783   0.466
     1 13  748.803  749.049    43.9767  -0.25649E-03     13     13     13   46.801   0.478
     1 14  795.355  795.477    43.9061   0.12530E-03     14     14     14   46.924   0.488
     1 15  848.103  848.170    43.8989   0.13135E-03     15     15     15   46.922   0.491
     1 16  900.400  900.239    43.9160  -0.47745E-03     16     16     16   46.725   0.491
     1 17  949.850  949.425    43.9910  -0.42191E-03     17     17     17   46.395   0.487
     1 18  993.629  993.557    44.0561  -0.20309E-03     18     18     18   46.213   0.485
     1 19 1039.828 1039.977    44.0324  -0.20759E-03     19     19     19   46.318   0.491
     1 20 1091.815 1091.931    44.0437  -0.14518E-03     20     20     20   46.410   0.494
     1 21 1145.763 1145.730    44.1050   0.31972E-04     21     21     21   46.308   0.495
     1 22 1197.647 1197.150    44.1845   0.43925E-04     22     22     22   46.064   0.493
     1 23 1245.008 1244.666    44.2726   0.25578E-04     23     23     23   45.850   0.491
     1 24 1291.407 1291.522    44.2957   0.30654E-04     24     24     24   45.853   0.493
     1 25 1341.910 1341.970    44.3165  -0.27969E-05     25     25     25   45.946   0.495
     1 26 1395.617 1395.633    44.3569  -0.52066E-04     26     26     26   45.952   0.496
     1 27 1449.097 1448.809    44.4232  -0.79562E-04     27     27     27   45.807   0.496
     2  1   86.869   86.865    47.0765  -0.14957E-01      1      1      1   51.185   0.133
     2  2  108.319  108.119    46.5433  -0.89937E-02      2      2      2   51.259   0.154
     2  3  169.243  169.344    46.2472  -0.30194E-02      3      3      3   49.710   0.136
     2  4  195.701  196.173    45.1867  -0.19803E-02      4      4      4   49.670   0.152
     2  5  224.010  223.749    45.1727  -0.13729E-02      5      5      5   48.937   0.142
     2  6  257.990  258.330    44.6935  -0.95780E-03      6      6      6   48.507   0.148
     2  7  286.047  285.850    44.4206  -0.70288E-03      7      7      7   47.934   0.144
     2  8  314.808  314.693    44.3526  -0.51515E-03      8      8      8   47.121   0.119
     2  9  335.251  335.356    44.3351  -0.42358E-03      9      9      9   46.727   0.109
     2 10  361.102  361.188    44.0935  -0.33796E-03     10     10     10   46.848   0.145
     2 11  389.104  389.146    43.9603  -0.26867E-03     11     11     11   46.879   0.155
     2 12  420.852  420.853    43.9550  -0.21412E-03     12     12     12   46.598   0.155
     2 13  449.306  449.135    43.9130  -0.17950E-03     13     13     13   46.229   0.152
     2 14  475.686  475.506    43.9983  -0.15378E-03     14     14     14   45.819   0.144
     2 15  500.385  500.525    43.9702  -0.13455E-03     15     15     15   45.737   0.150
     2 16  528.126  528.247    43.9280  -0.11783E-03     16     16     16   45.821   0.157
     2 17  558.590  558.626    43.9380  -0.10292E-03     17     17     17   45.791   0.160
     2 18  589.444  589.357    43.9923  -0.90294E-04     18     18     18   45.556   0.159
     2 19  618.350  618.114    44.0817  -0.80643E-04     19     19     19   45.203   0.156
     2 20  644.172  644.161    44.1543  -0.73284E-04     20     20     20   45.002   0.155
     2 21  671.469  671.603    44.1491  -0.66437E-04     21     21     21   45.054   0.159
     2 22  701.590  701.629    44.1696  -0.59966E-04     22     22     22   45.095   0.162
     2 23  732.681  732.716    44.2264  -0.54275E-04     23     23     23   44.978   0.162
     2 24  762.859  762.665    44.3066  -0.49485E-04     24     24     24   44.734   0.161
     2 25  791.017  790.820    44.3982  -0.45601E-04     25     25     25   44.490   0.160
     2 26  817.978  818.068    44.4299  -0.42332E-04     26     26     26   44.439   0.161
     2 27  846.972  847.077    44.4448  -0.39217E-04     27     27     27   44.508   0.163
     2 28  878.159  878.200    44.4857  -0.36251E-04     28     28     28   44.498   0.164
     2 29  909.343  909.251    44.5471  -0.33613E-04     29     29     29   44.333   0.163
     2 30  938.632  938.366    44.6398  -0.31391E-04     30     30     30   44.086   0.162
     2 31  966.011  965.971    44.6993  -0.29502E-04     31     31     31   43.971   0.162
     2 32  994.582  994.733    44.7094  -0.27697E-04     32     32     32   44.023   0.163
     2 33 1025.210 1025.246    44.7405  -0.25939E-04     33     33     33   44.050   0.164
     2 34 1056.395 1056.373    44.7933  -0.24318E-04     34     34     34   43.957   0.164
     2 35 1086.603 1086.424    44.8646  -0.22889E-04     35     35     35   43.771   0.164
     2 36 1115.125 1114.947    44.9397  -0.21659E-04     36     36     36   43.608   0.163
     2 37 1143.229 1143.324    44.9693  -0.20551E-04     37     37     37   43.593   0.164
     2 38 1172.971 1173.095    44.9835  -0.19471E-04     38     38     38   43.653   0.165
     2 39 1204.141 1204.135    45.0256  -0.18432E-04     39     39     39   43.630   0.165
     2 40 1235.145 1235.048    45.0899  -0.17482E-04     40     40     40   43.483   0.165
     2 41 1264.372 1264.160    45.1630  -0.16649E-04     41     41     41   43.306   0.164
     2 42 1292.465 1292.420    45.2037  -0.15901E-04     42     42     42   43.250   0.164
     2 43 1321.818 1321.977    45.2197  -0.15171E-04     43     43     43   43.297   0.165
     2 44 1352.560 1352.622    45.2541  -0.14457E-04     44     44     44   43.305   0.165
     2 45 1383.547 1383.455    45.3082  -0.13786E-04     45     45     45   43.216   0.165
     2 46 1413.612 1413.440    45.3707  -0.13182E-04     46     46     46   43.068   0.165
     2 47 1442.298 1442.165    45.4277  -0.12643E-04     47     47     47   42.962   0.165
     2 48 1471.048 1471.121    45.4586  -0.12136E-04     48     48     48   42.968   0.165
