          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  11385 K
     model number =   30   age (yrs) =  3.79045E+08   l/l sun =  2.65753E-03
     number of points in model = 436   r/r sun =  1.33699E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0596        65.1235        0.3075
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  1  132.097  132.192    46.2653  -0.10378E+00      1      1      1   51.589   0.469
     1  2  168.010  167.440    46.3033  -0.27290E+00      2      2      2   51.052   0.479
     1  3  269.045  269.574    45.9349  -0.23297E-01      3      3      3   49.878   0.466
     1  4  298.345  298.309    45.4040   0.89160E-02      4      4      4   49.685   0.474
     1  5  355.620  355.662    45.1946   0.79060E-02      5      5      5   48.766   0.458
     1  6  396.239  396.452    44.8060  -0.72619E-02      6      6      6   48.091   0.436
     1  7  431.359  431.156    44.7440  -0.60443E-02      7      7      7   47.494   0.390
     1  8  464.311  464.672    44.3289   0.81306E-03      8      8      8   47.720   0.462
     1  9  511.842  511.931    44.0559   0.38482E-02      9      9      9   47.863   0.483
     1 10  558.692  558.671    43.7931   0.42870E-03     10     10     10   47.739   0.486
     1 11  605.272  605.097    43.6976   0.79953E-04     11     11     11   47.293   0.479
     1 12  645.447  645.088    43.5957   0.75298E-03     12     12     12   46.908   0.468
     1 13  681.561  681.671    43.4605   0.18183E-03     13     13     13   46.853   0.476
     1 14  724.500  724.785    43.2800  -0.48749E-03     14     14     14   47.003   0.488
     1 15  770.473  770.439    43.1366  -0.76551E-04     15     15     15   47.023   0.492
     1 16  816.735  816.645    43.0391   0.46385E-05     16     16     16   46.867   0.491
     1 17  861.240  860.925    43.0075  -0.41427E-03     17     17     17   46.551   0.488
     1 18  900.584  900.326    42.9890  -0.41132E-03     18     18     18   46.322   0.485
     1 19  939.547  939.676    42.9142  -0.15278E-03     19     19     19   46.362   0.490
     1 20  983.544  983.629    42.8356  -0.66624E-04     20     20     20   46.498   0.494
     1 21 1030.198 1030.225    42.8177  -0.10871E-03     21     21     21   46.472   0.495
     1 22 1076.421 1076.217    42.8307  -0.21259E-05     22     22     22   46.283   0.494
     1 23 1119.596 1119.105    42.8767   0.71116E-04     23     23     23   46.026   0.492
     1 24 1159.598 1159.443    42.9010   0.35055E-04     24     24     24   45.916   0.492
     1 25 1201.604 1201.727    42.8830   0.10442E-05     25     25     25   45.992   0.494
     1 26 1247.056 1247.072    42.8827  -0.88574E-05     26     26     26   46.065   0.496
     1 27 1294.014 1293.988    42.9068  -0.53880E-04     27     27     27   46.017   0.496
     1 28 1340.162 1339.822    42.9568  -0.86832E-04     28     28     28   45.840   0.496
     1 29 1383.415 1382.968    43.0281  -0.88153E-04     29     29     29   45.632   0.494
     1 30 1424.430 1424.312    43.0559  -0.84699E-04     30     30     30   45.589   0.495
     1 31 1468.078 1468.102    43.0523  -0.67372E-04     31     31     31   45.691   0.497
     2  1   76.536   76.592    46.6578  -0.16721E-01      1      1      1   51.421   0.137
     2  2   97.308   96.971    46.7006  -0.95309E-02      2      2      2   51.100   0.147
     2  3  156.457  156.842    45.9082  -0.30576E-02      3      3      3   49.900   0.142
     2  4  173.370  173.341    45.4214  -0.22844E-02      4      4      4   49.683   0.146
     2  5  207.793  207.990    45.1162  -0.13555E-02      5      5      5   49.054   0.146
     2  6  233.344  233.491    44.6891  -0.10026E-02      6      6      6   48.609   0.147
     2  7  261.864  261.784    44.3341  -0.72629E-03      7      7      7   48.055   0.146
     2  8  287.477  287.390    44.2276  -0.53735E-03      8      8      8   47.210   0.119
     2  9  307.437  307.367    44.0904  -0.43208E-03      9      9      9   46.793   0.108
     2 10  328.531  328.704    43.8028  -0.35318E-03     10     10     10   46.906   0.143
     2 11  355.864  355.931    43.6128  -0.27872E-03     11     11     11   46.921   0.154
     2 12  382.922  382.843    43.4240  -0.22364E-03     12     12     12   46.732   0.156
     2 13  409.463  409.389    43.3369  -0.18534E-03     13     13     13   46.325   0.152
     2 14  433.285  433.118    43.2733  -0.15979E-03     14     14     14   45.932   0.145
     2 15  455.088  455.095    43.1739  -0.14046E-03     15     15     15   45.799   0.148
     2 16  478.946  479.100    43.0355  -0.12313E-03     16     16     16   45.883   0.157
     2 17  505.561  505.601    42.9345  -0.10806E-03     17     17     17   45.893   0.160
     2 18  532.346  532.305    42.8781  -0.95663E-04     18     18     18   45.724   0.160
     2 19  558.399  558.232    42.8748  -0.85264E-04     19     19     19   45.402   0.158
     2 20  581.660  581.497    42.9071  -0.77373E-04     20     20     20   45.116   0.155
     2 21  604.439  604.531    42.8702  -0.70754E-04     21     21     21   45.094   0.158
     2 22  629.715  629.799    42.8261  -0.64299E-04     22     22     22   45.177   0.161
     2 23  656.563  656.576    42.8230  -0.58307E-04     23     23     23   45.147   0.162
     2 24  683.420  683.390    42.8552  -0.53182E-04     24     24     24   44.965   0.162
     2 25  709.086  708.868    42.9089  -0.48926E-04     25     25     25   44.705   0.161
     2 26  732.955  732.835    42.9574  -0.45415E-04     26     26     26   44.525   0.160
     2 27  756.939  757.035    42.9541  -0.42287E-04     27     27     27   44.537   0.162
     2 28  782.909  782.984    42.9555  -0.39280E-04     28     28     28   44.601   0.163
     2 29  810.197  810.235    42.9827  -0.36459E-04     29     29     29   44.559   0.164
     2 30  837.259  837.136    43.0346  -0.33960E-04     30     30     30   44.376   0.163
     2 31  862.685  862.468    43.1113  -0.31837E-04     31     31     31   44.139   0.162
     2 32  886.613  886.590    43.1518  -0.30008E-04     32     32     32   44.044   0.162
     2 33  911.723  911.805    43.1512  -0.28251E-04     33     33     33   44.107   0.164
     2 34  938.605  938.666    43.1739  -0.26532E-04     34     34     34   44.137   0.164
     2 35  965.956  965.983    43.2200  -0.24936E-04     35     35     35   44.047   0.164
     2 36  992.562  992.394    43.2838  -0.23524E-04     36     36     36   43.863   0.164
     2 37 1017.728 1017.558    43.3467  -0.22301E-04     37     37     37   43.696   0.163
     2 38 1042.303 1042.336    43.3739  -0.21201E-04     38     38     38   43.666   0.164
     2 39 1068.132 1068.223    43.3884  -0.20137E-04     39     39     39   43.722   0.165
     2 40 1095.351 1095.436    43.4193  -0.19105E-04     40     40     40   43.728   0.165
     2 41 1122.742 1122.703    43.4677  -0.18145E-04     41     41     41   43.618   0.165
     2 42 1149.002 1148.796    43.5369  -0.17291E-04     42     42     42   43.434   0.164
     2 43 1173.810 1173.714    43.5920  -0.16537E-04     43     43     43   43.323   0.164
     2 44 1199.004 1199.082    43.6068  -0.15818E-04     44     44     44   43.354   0.165
     2 45 1225.735 1225.819    43.6268  -0.15103E-04     45     45     45   43.399   0.165
     2 46 1253.104 1253.162    43.6663  -0.14421E-04     46     46     46   43.354   0.165
     2 47 1279.991 1279.880    43.7232  -0.13794E-04     47     47     47   43.221   0.165
     2 48 1305.781 1305.583    43.7851  -0.13232E-04     48     48     48   43.079   0.165
     2 48 1330.886 1330.857    43.8222  -0.12720E-04     49     49     48   43.031   0.165
     2 50 1356.691 1356.779    43.8407  -0.12225E-04     50     50     50   43.070   0.165
     2 51 1383.680 1383.764    43.8695  -0.11739E-04     51     51     51   43.091   0.166
     2 52 1411.067 1411.078    43.9142  -0.11277E-04     52     52     52   43.023   0.166
     2 52 1437.698 1437.525    43.9749  -0.10852E-04     53     53     52   42.881   0.165
     2 53 1463.064 1462.902    44.0300  -0.10469E-04     54     54     53   42.775   0.165
     2 54 1488.397 1488.431    44.0547  -0.10106E-04     55     55     54   42.783   0.165
