          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  11385 K
     model number =   30   age (yrs) =  3.50457E+08   l/l sun =  3.15603E-03
     number of points in model = 437   r/r sun =  1.45700E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0526        51.9408        0.2703
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  2   62.384   63.324    43.4694  -0.52461E+00      1      2      2   51.159   0.464
     1  2  147.073  148.216    45.9163  -0.56122E+00      2      2      2   50.388   0.472
     1  3  187.167  187.592    46.6380  -0.46192E+00      3      3      3   50.885   0.478
     1  4  227.384  227.766    46.2049  -0.25474E+00      4      4      4   50.369   0.483
     1  5  267.528  267.350    46.1633  -0.46347E-01      5      5      5   50.285   0.486
     1  6  317.851  317.792    45.9145   0.25354E-01      6      6      6   49.640   0.485
     1  7  356.515  356.566    45.3244   0.13361E-01      7      7      7   49.113   0.483
     1  8  391.496  391.276    45.2150   0.24926E-02      8      8      8   48.082   0.442
     1  9  414.152  414.174    45.2959   0.18693E-03      9      9      9   47.554   0.387
     1 10  444.185  444.251    44.9123  -0.24723E-03     10     10     10   47.993   0.475
     1 11  484.659  484.694    44.5208  -0.19031E-02     11     11     11   48.280   0.491
     1 12  521.526  521.385    44.2978  -0.25059E-02     12     12     12   48.186   0.492
     1 13  560.825  560.458    44.1490  -0.19233E-02     13     13     13   47.889   0.491
     1 14  597.499  597.186    44.0406  -0.14271E-02     14     14     14   47.404   0.484
     1 15  629.109  629.113    43.9764  -0.81103E-03     15     15     15   46.965   0.471
     1 16  656.861  657.013    43.8258  -0.38700E-03     16     16     16   46.983   0.479
     1 17  691.334  691.165    43.6554   0.20563E-05     17     17     17   47.226   0.491
     1 18  728.303  728.070    43.5150   0.43360E-03     18     18     18   47.345   0.495
     1 19  766.919  766.684    43.4011   0.51154E-03     19     19     19   47.283   0.495
     1 20  804.196  803.820    43.2985   0.38779E-03     20     20     20   47.083   0.494
     1 21  840.392  840.105    43.2322   0.27645E-03     21     21     21   46.761   0.492
     1 21  872.628  872.681    43.2119   0.85401E-04     22     22     21   46.454   0.488
     1 22  903.011  903.057    43.1363  -0.88035E-04     23     23     22   46.429   0.490
     1 23  936.165  935.901    43.0236  -0.22424E-03     24     24     23   46.619   0.494
     1 24  972.655  972.322    42.9423  -0.35446E-03     25     25     24   46.768   0.497
     1 24 1010.245 1009.920    42.8868  -0.36863E-03     26     26     24   46.780   0.497
     1 25 1047.952 1047.600    42.8469  -0.30869E-03     27     27     25   46.659   0.497
     1 25 1084.884 1084.724    42.8452  -0.23959E-03     28     28     25   46.379   0.496
     1 26 1118.484 1118.579    42.8824  -0.12717E-03     29     29     26   46.038   0.493
     1 27 1148.163 1148.048    42.8923  -0.36240E-04     30     30     27   45.939   0.493
     1 28 1180.397 1179.971    42.8143   0.37685E-04     31     31     28   46.184   0.496
     1 28 1217.223 1216.848    42.7847   0.11002E-03     32     32     28   46.409   0.498
     1 28 1255.631 1255.417    42.7726   0.11762E-03     33     33     28   46.483   0.498
     1 28 1294.755 1294.545    42.7856   0.90789E-04     34     34     28   46.372   0.498
     1 29 1332.758 1332.654    42.8269   0.49874E-04     35     35     29   46.064   0.497
     1 29 1366.823 1366.818    42.9108  -0.14343E-04     36     36     29   45.627   0.494
     1 30 1394.486 1394.163    42.9442  -0.57448E-04     37     37     30   45.556   0.494
     1 30 1427.412 1427.001    42.8726  -0.98734E-04     38     38     30   45.927   0.498
     1 32 1465.545 1465.289    42.8289  -0.13473E-03     39     39     32   46.207   0.499
     2  2   85.574   85.929    46.2566  -0.13343E-02      2      2      2   50.758   0.140
     2  3  108.331  108.507    46.6148  -0.14184E-02      3      3      3   51.132   0.146
     2  4  131.833  131.983    46.4572  -0.22189E-02      4      4      4   50.394   0.151
     2  5  154.965  154.875    46.2728  -0.24546E-02      5      5      5   50.188   0.155
     2  6  184.330  184.326    45.8908  -0.19552E-02      6      6      6   49.684   0.156
     2  7  206.820  206.893    45.2852  -0.14474E-02      7      7      7   49.445   0.158
     2  8  229.364  229.317    45.0776  -0.10324E-02      8      8      8   48.907   0.157
     2  9  252.596  252.449    44.9160  -0.75594E-03      9      9      9   48.247   0.154
     2 10  275.514  275.370    44.6576  -0.58171E-03     10     10     10   47.405   0.136
     2 11  290.872  290.881    44.5666  -0.49115E-03     11     11     11   46.826   0.106
     2 12  306.027  306.099    44.3453  -0.41830E-03     12     12     12   46.933   0.138
     2 13  327.067  326.988    44.1244  -0.34023E-03     13     13     13   47.187   0.157
     2 14  349.427  349.351    43.9631  -0.27841E-03     14     14     14   47.147   0.160
     2 15  371.705  371.589    43.7819  -0.23310E-03     15     15     15   46.965   0.161
     2 16  393.452  393.194    43.6869  -0.19932E-03     16     16     16   46.572   0.158
     2 17  413.658  413.496    43.6043  -0.17456E-03     17     17     17   46.123   0.152
     2 18  431.177  431.276    43.5784  -0.15730E-03     18     18     18   45.805   0.147
     2 19  449.046  449.118    43.4157  -0.14242E-03     19     19     19   45.892   0.155
     2 20  469.208  469.076    43.2835  -0.12805E-03     20     20     20   46.039   0.161
     2 20  490.784  490.590    43.1722  -0.11508E-03     21     21     20   46.083   0.163
     2 22  512.612  512.430    43.0953  -0.10374E-03     22     22     22   45.969   0.163
     2 22  534.181  534.001    43.0237  -0.93954E-04     23     23     22   45.742   0.162
     2 22  554.853  554.789    42.9952  -0.85756E-04     24     24     22   45.390   0.160
     2 23  573.340  573.441    42.9981  -0.79204E-04     25     25     23   45.082   0.157
     2 24  590.813  590.789    42.9431  -0.73678E-04     26     26     24   45.070   0.159
     2 25  610.194  609.985    42.8613  -0.68234E-04     27     27     25   45.261   0.163
     2 26  631.564  631.376    42.8177  -0.62917E-04     28     28     26   45.387   0.164
     2 26  653.532  653.403    42.7960  -0.58180E-04     29     29     26   45.367   0.165
     2 26  675.702  675.557    42.7839  -0.54011E-04     30     30     26   45.198   0.164
     2 26  697.097  697.052    42.8092  -0.50446E-04     31     31     26   44.850   0.163
     2 28  716.105  716.197    42.8788  -0.47619E-04     32     32     28   44.461   0.160
     2 28  732.648  732.575    42.8831  -0.45351E-04     33     33     28   44.425   0.161
     2 28  752.050  751.844    42.8096  -0.42889E-04     34     34     28   44.725   0.164
     2 29  773.904  773.734    42.8067  -0.40345E-04     35     35     29   44.924   0.165
     2 30  796.650  796.559    42.8161  -0.37881E-04     36     36     30   44.946   0.166
     2 30  819.445  819.369    42.8251  -0.35607E-04     37     37     30   44.760   0.165
     2 30  841.390  841.409    42.8607  -0.33586E-04     38     38     30   44.359   0.164
     2 31  859.916  859.988    43.0430  -0.31996E-04     39     39     31   43.882   0.161
     2 31  875.567  875.440    42.9456  -0.30743E-04     40     40     31   43.971   0.162
     2 32  895.839  895.659    42.9363  -0.29232E-04     41     41     32   44.385   0.165
     2 32  918.553  918.446    42.9883  -0.27680E-04     42     42     32   44.606   0.166
     2 32  941.966  941.960    42.9347  -0.26239E-04     43     43     32   44.593   0.167
     2 33  965.153  965.148    42.9059  -0.24935E-04     44     42     33   44.355   0.165
     2 33  987.206  987.250    43.0934  -0.23797E-04     45     45     33   43.840   0.164
     2 34 1003.831 1003.835    43.2436  -0.22997E-04     46     46     34   43.386   0.162
     2 34 1019.908 1019.803    43.1267  -0.22259E-04     45     45     34   43.712   0.164
     2 34 1041.637 1041.555    43.1005  -0.21314E-04     46     48     34   44.164   0.166
     2 35 1065.152 1065.105    43.1148  -0.20349E-04     47     47     35   44.330   0.166
     2 35 1088.861 1088.894    43.1954  -0.19424E-04     46     48     35   44.252   0.166
     2 36 1112.273 1112.320    43.1944  -0.18565E-04     49     49     36   43.922   0.166
     2 36 1133.346 1133.414    43.2871  -0.17834E-04     50     48     36   43.285   0.164
     2 37 1147.785 1147.709    43.4551  -0.17357E-04     49     51     37   43.048   0.163
     2 37 1166.075 1166.034    43.2866  -0.16781E-04     52     50     37   43.587   0.166
     2 38 1189.061 1189.050    43.2919  -0.16101E-04     51     51     38   43.964   0.167
     2 38 1212.850 1212.835    43.2685  -0.15447E-04     52     50     38   44.043   0.166
     2 38 1236.731 1236.794    43.3476  -0.14841E-04     53     53     38   43.882   0.166
     2 38 1259.875 1259.981    43.4303  -0.14290E-04     52     54     38   43.429   0.166
     2 38 1278.732 1278.765    43.6177  -0.13867E-04     53     53     38   42.785   0.164
     2 39 1292.851 1292.748    43.5431  -0.13563E-04     54     54     39   42.904   0.165
     2 40 1313.783 1313.780    43.4711  -0.13128E-04     55     55     40   43.476   0.166
     2 40 1337.291 1337.336    43.5235  -0.12662E-04     54     56     40   43.731   0.166
     2 40 1361.212 1361.243    43.5213  -0.12208E-04     55     55     40   43.721   0.166
     2 40 1384.971 1385.052    43.5960  -0.11775E-04     56     56     40   43.459   0.166
     2 40 1407.176 1407.295    43.6655  -0.11390E-04     57     57     40   42.899   0.166
     2 42 1423.268 1423.239    43.8450  -0.11121E-04     58     56     42   42.464   0.164
     2 43 1439.796 1439.742    43.6974  -0.10855E-04     57     59     43   42.868   0.166
     2 43 1462.178 1462.200    43.6958  -0.10512E-04     58     58     43   43.310   0.166
     2 43 1485.903 1485.988    43.7148  -0.10167E-04     59     59     43   43.451   0.167
