          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  10501 K
     model number =   31   age (yrs) =  3.95202E+08   l/l sun =  2.56924E-03
     number of points in model = 431   r/r sun =  1.54523E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0474        57.0111        0.2413
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  2   64.419   64.853    44.9429  -0.36947E+00      1      2      2   51.127   0.450
     1  2  156.376  156.338    45.5791  -0.52090E+00      2      2      2   50.284   0.467
     1  3  196.515  196.707    46.6924  -0.61163E+00      3      3      3   50.498   0.477
     1  4  241.741  240.954    46.5498  -0.33651E-01      4      4      4   50.449   0.480
     1  5  283.857  282.700    46.3009  -0.47126E+00      5      5      5   49.682   0.486
     1  6  337.592  336.287    45.9927  -0.29323E+00      6      6      6   49.353   0.487
     1  7  376.362  375.631    45.4745  -0.16491E+00      7      7      7   49.140   0.487
     1  8  418.464  417.924    45.3295  -0.51476E-01      8      8      8   48.331   0.470
     1  9  446.995  447.119    45.6709  -0.36955E-02      9      9      9   47.367   0.353
     1 10  471.009  470.297    45.1441   0.19623E-01     10     10     10   47.873   0.467
     1 11  513.761  513.412    44.7113   0.40393E-01     11     11     11   48.572   0.494
     1 12  556.084  555.772    44.5475   0.38888E-01     12     12     12   48.612   0.496
     1 13  600.249  600.040    44.3880   0.24670E-01     13     13     13   48.440   0.496
     1 14  645.116  645.179    44.2560   0.10998E-01     14     14     14   47.895   0.494
     1 15  682.999  683.247    44.3808   0.11426E-02     15     15     15   46.750   0.460
     1 16  699.823  699.548    44.3598  -0.22015E-02     16     16     16   46.689   0.462
     1 17  738.299  738.138    44.0280  -0.70299E-02     17     17     17   47.665   0.496
     1 18  783.105  783.170    43.9530  -0.90353E-02     18     18     18   47.956   0.498
     1 18  828.084  828.320    43.8853  -0.76085E-02     19     19     18   47.912   0.498
     1 20  873.244  873.400    43.8390  -0.42698E-02     20     20     20   47.564   0.498
     1 20  916.173  916.408    43.8772  -0.13173E-02     21     21     20   46.711   0.492
     1 21  940.812  940.643    44.2868   0.12631E-03     22     22     21   45.979   0.468
     1 22  969.127  969.247    43.8247   0.13912E-02     23     23     22   46.724   0.495
     1 23 1012.952 1013.136    43.7905   0.22727E-02     24     24     23   47.213   0.498
     1 23 1057.456 1057.722    43.7969   0.22026E-02     25     25     23   47.257   0.499
     1 23 1102.128 1102.419    43.8114   0.14288E-02     26     26     23   47.030   0.498
     1 24 1144.469 1144.593    43.8668   0.51923E-03     27     27     24   46.526   0.497
     1 25 1180.448 1180.298    44.0346  -0.76694E-04     28     28     25   45.865   0.489
     1 25 1207.175 1207.127    44.0393  -0.39570E-03     29     29     25   45.804   0.489
     1 26 1243.467 1243.652    43.9438  -0.58845E-03     30     30     26   46.227   0.496
     1 27 1284.493 1284.496    43.9491  -0.51894E-03     31     31     27   46.471   0.498
     1 27 1326.924 1326.809    43.9742  -0.30664E-03     32     32     27   46.529   0.498
     1 27 1369.506 1369.468    43.9966  -0.21168E-04     33     33     27   46.444   0.498
     1 27 1412.405 1412.360    44.0539   0.13399E-03     34     34     27   46.155   0.498
     1 29 1451.455 1451.312    44.2034   0.14155E-03     35     35     29   45.582   0.494
     1 29 1478.504 1478.196    44.3120   0.86936E-04     36     36     29   45.370   0.491
     2  2   91.156   91.051    46.3719  -0.81828E-02      2      2      2   50.528   0.135
     2  3  113.785  113.856    46.6555  -0.59171E-02      3      3      3   50.977   0.143
     2  4  140.283  139.852    46.7029  -0.44334E-02      4      4      4   50.196   0.148
     2  5  164.485  163.931    46.3912  -0.34516E-02      5      5      5   50.032   0.153
     2  6  195.691  195.150    45.9900  -0.24084E-02      6      6      6   49.635   0.156
     2  7  218.030  217.728    45.4557  -0.18196E-02      7      7      7   49.490   0.159
     2  8  243.322  243.007    45.2726  -0.12742E-02      8      8      8   49.075   0.159
     2  9  269.028  268.776    45.0965  -0.87971E-03      9      9      9   48.524   0.159
     2 10  295.113  295.088    44.7434  -0.62146E-03     10     10     10   47.817   0.154
     2 11  314.576  314.701    44.9033  -0.48547E-03     11     11     11   46.601   0.088
     2 12  325.030  324.803    44.6964  -0.42832E-03     12     12     12   46.698   0.121
     2 13  347.700  347.552    44.3918  -0.33533E-03     13     13     13   47.482   0.161
     2 14  373.643  373.645    44.2372  -0.26518E-03     14     16     14   47.663   0.164
     2 15  399.080  399.131    44.1205  -0.22157E-03     15     15     15   47.522   0.164
     2 16  424.984  424.996    44.0246  -0.19186E-03     16     16     16   47.115   0.164
     2 17  449.989  450.134    44.0153  -0.17016E-03     17     17     17   46.171   0.156
     2 18  463.624  463.618    44.4634  -0.16017E-03     18     18     18   45.355   0.120
     2 19  479.789  479.855    43.9161  -0.14924E-03     19     19     19   46.163   0.160
     2 20  505.256  505.314    43.8346  -0.13310E-03     20     20     20   46.659   0.165
     2 21  531.272  531.387    43.8124  -0.11803E-03     21     23     21   46.670   0.165
     2 21  557.287  557.475    43.7884  -0.10437E-03     22     22     21   46.419   0.165
     2 21  582.846  583.013    43.8102  -0.92530E-04     23     23     21   45.811   0.163
     2 23  603.783  603.867    44.0439  -0.84223E-04     24     24     23   44.851   0.150
     2 23  616.284  616.311    43.9859  -0.79831E-04     25     25     23   44.857   0.153
     2 23  638.636  638.783    43.8216  -0.72993E-04     26     26     23   45.500   0.164
     2 24  663.627  663.732    43.8393  -0.66702E-04     27     27     24   45.665   0.165
     2 24  688.773  688.890    43.8687  -0.61424E-04     28     30     24   45.571   0.165
     2 25  713.412  713.520    43.9209  -0.57025E-04     29     29     25   45.276   0.165
     2 26  736.797  736.776    43.9737  -0.53297E-04     30     30     26   44.842   0.163
     2 27  757.203  757.167    44.1045  -0.50281E-04     31     31     27   44.350   0.158
     2 26  774.215  774.255    44.1259  -0.47912E-04     32     32     26   44.308   0.159
     2 27  794.749  794.766    44.0391  -0.45198E-04     33     33     27   44.681   0.164
     2 28  818.846  818.817    44.0363  -0.42242E-04     34     34     28   44.978   0.165
     2 28  844.104  844.039    44.0951  -0.39437E-04     35     35     28   45.058   0.165
     2 28  870.005  870.007    44.1410  -0.36862E-04     36     36     28   44.919   0.166
     2 28  895.479  895.528    44.1551  -0.34651E-04     37     37     28   44.446   0.165
     2 28  915.861  915.885    44.4317  -0.33067E-04     38     38     28   43.689   0.158
     2 30  929.657  929.581    44.3267  -0.32073E-04     39     39     30   43.882   0.163
     2 30  953.344  953.363    44.1519  -0.30485E-04     40     38     30   44.572   0.165
     2 30  979.615  979.680    44.2574  -0.28834E-04     41     41     30   44.831   0.165
     2 30 1006.390 1006.407    44.3613  -0.27245E-04     40     44     30   44.788   0.166
     2 31 1032.913 1032.970    44.3869  -0.25743E-04     41     43     31   44.432   0.166
     2 32 1057.440 1057.552    44.4823  -0.24421E-04     44     42     32   43.629   0.164
     2 31 1071.295 1071.286    44.7412  -0.23713E-04     43     45     31   43.221   0.160
     2 32 1090.849 1090.879    44.4770  -0.22767E-04     44     44     32   43.940   0.165
     2 33 1116.690 1116.730    44.5235  -0.21619E-04     45     45     33   44.356   0.166
     2 33 1143.337 1143.438    44.5039  -0.20564E-04     46     46     33   44.408   0.167
     2 33 1169.597 1169.684    44.5308  -0.19628E-04     47     47     33   44.191   0.166
     2 34 1195.024 1195.065    44.6441  -0.18804E-04     46     46     34   43.677   0.166
     2 34 1215.213 1215.215    44.8488  -0.18191E-04     47     47     34   42.991   0.162
     2 35 1230.434 1230.477    44.7936  -0.17746E-04     48     48     35   43.128   0.164
     2 35 1253.278 1253.345    44.6600  -0.17100E-04     49     47     35   43.677   0.166
     2 35 1278.769 1278.781    44.7327  -0.16405E-04     50     48     35   43.908   0.166
     2 35 1304.500 1304.522    44.7711  -0.15730E-04     49     51     35   43.904   0.166
     2 35 1330.274 1330.326    44.7895  -0.15091E-04     50     52     35   43.686   0.166
     2 36 1354.844 1354.853    44.8967  -0.14516E-04     49     51     36   43.196   0.166
     2 36 1373.935 1373.913    45.0734  -0.14095E-04     52     50     36   42.644   0.163
     2 37 1390.080 1390.058    44.9908  -0.13756E-04     51     53     37   42.924   0.165
     2 38 1413.749 1413.773    44.9084  -0.13285E-04     52     52     38   43.477   0.166
     2 37 1439.664 1439.684    44.9547  -0.12802E-04     53     53     37   43.724   0.166
     2 38 1466.137 1466.127    44.9745  -0.12335E-04     54     54     38   43.701   0.167
     2 38 1492.450 1492.479    44.9776  -0.11892E-04     55     55     38   43.408   0.166
