          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  10501 K
     model number =   31   age (yrs) =  3.94911E+08   l/l sun =  2.53340E-03
     number of points in model = 431   r/r sun =  1.53443E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0478        55.6629        0.2439
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  2   64.104   64.909    44.9733  -0.47971E+00      1      2      2   51.080   0.459
     1  2  152.696  153.388    46.2598  -0.53750E+00      2      2      2   50.393   0.469
     1  3  182.434  182.600    46.8474  -0.49687E+00      3      3      3   50.791   0.479
     1  4  240.174  240.063    46.6492  -0.24354E+00      4      4      4   50.241   0.480
     1  5  285.455  285.224    46.2622   0.22482E-01      5      5      5   50.320   0.485
     1  6  329.343  328.918    45.8272   0.90776E-01      6      6      6   49.876   0.487
     1  7  366.678  366.063    45.6555   0.58086E-01      7      7      7   49.295   0.484
     1  8  412.574  412.281    45.4209   0.19258E-01      8      8      8   48.369   0.465
     1  9  441.571  441.746    45.3837   0.38094E-02      9      9      9   47.551   0.391
     1 10  464.886  464.700    45.1357  -0.42995E-02     10     10     10   47.671   0.446
     1 11  502.601  502.143    44.8016  -0.11667E-01     11     11     11   48.196   0.489
     1 12  543.689  543.334    44.6246  -0.14850E-01     12     12     12   48.291   0.493
     1 13  584.927  584.613    44.4242  -0.13307E-01     13     13     13   48.228   0.495
     1 14  626.589  626.368    44.3095  -0.77879E-02     14     14     14   47.896   0.493
     1 15  666.186  666.274    44.2468  -0.31536E-02     15     15     15   47.267   0.485
     1 16  694.759  694.841    44.4353  -0.35037E-03     16     16     16   46.628   0.454
     1 17  720.875  720.524    44.1315   0.20554E-02     17     17     17   47.054   0.486
     1 18  760.375  760.093    43.9987   0.41083E-02     18     18     18   47.581   0.496
     1 19  802.765  802.736    43.9308   0.43644E-02     19     21     19   47.748   0.498
     1 20  845.961  845.998    43.8734   0.38517E-02     20     20     20   47.662   0.498
     1 20  888.689  888.670    43.8481   0.21494E-02     21     21     20   47.287   0.497
     1 21  928.445  928.585    43.9105   0.46806E-03     22     22     21   46.477   0.489
     1 21  950.964  950.773    44.1504  -0.31166E-03     23     23     21   46.041   0.475
     1 22  982.623  982.574    43.8291  -0.12648E-02     24     24     22   46.792   0.496
     1 23 1024.822 1024.813    43.8026  -0.19551E-02     25     25     23   47.234   0.498
     1 24 1068.857 1068.957    43.8017  -0.18602E-02     26     26     24   47.323   0.499
     1 25 1112.672 1112.822    43.8227  -0.14582E-02     27     27     25   47.132   0.499
     1 25 1155.762 1155.871    43.8592  -0.75820E-03     28     28     25   46.630   0.497
     1 25 1191.290 1191.243    44.1219  -0.13484E-03     29     29     25   45.737   0.487
     1 26 1212.951 1212.797    44.0434   0.16950E-03     30     30     26   45.835   0.490
     1 27 1251.344 1251.480    43.9248   0.58130E-03     31     31     27   46.550   0.498
     1 27 1295.116 1295.184    43.9426   0.77627E-03     32     32     27   46.817   0.499
     1 27 1339.110 1339.229    43.9758   0.65054E-03     33     33     27   46.772   0.499
     1 28 1382.721 1382.960    44.0115   0.42347E-03     34     34     28   46.482   0.499
     1 29 1423.655 1423.736    44.1272   0.12006E-03     35     35     29   45.880   0.496
     1 29 1453.541 1453.218    44.3240  -0.80922E-04     36     36     29   45.386   0.491
     1 29 1482.950 1482.862    44.1783  -0.22190E-03     37     37     29   45.720   0.496
     2  2   88.897   89.101    46.3796  -0.45786E-02      2      2      2   50.684   0.136
     2  3  105.633  105.663    46.8261  -0.37081E-02      3      3      3   51.030   0.146
     2  4  139.398  139.299    47.0616  -0.32402E-02      4      4      4   50.213   0.149
     2  5  165.337  165.225    46.2940  -0.28684E-02      5      5      5   50.128   0.154
     2  6  190.815  190.573    45.8227  -0.22626E-02      6      6      6   49.774   0.156
     2  7  212.719  212.355    45.6382  -0.17318E-02      7      7      7   49.393   0.157
     2  8  240.457  240.255    45.3261  -0.11986E-02      8      8      8   48.969   0.158
     2  9  263.176  262.921    45.0546  -0.88928E-03      9      9      9   48.492   0.157
     2 10  287.371  287.126    44.8319  -0.66069E-03     10     10     10   47.860   0.152
     2 11  308.363  308.368    44.7890  -0.51960E-03     11     11     11   46.954   0.122
     2 12  322.478  322.481    44.7880  -0.44524E-03     12     12     12   46.597   0.105
     2 13  340.416  340.165    44.4443  -0.37000E-03     13     13     13   47.072   0.153
     2 14  363.793  363.572    44.2960  -0.29929E-03     14     14     14   47.337   0.161
     2 15  387.838  387.731    44.1803  -0.24792E-03     15     15     15   47.328   0.163
     2 16  412.450  412.350    44.0746  -0.20948E-03     16     16     16   47.114   0.163
     2 17  436.567  436.501    44.0104  -0.18263E-03     17     17     17   46.624   0.161
     2 18  458.233  458.358    44.0897  -0.16355E-03     18     18     18   45.750   0.145
     2 19  470.839  470.774    44.1738  -0.15386E-03     19     19     19   45.507   0.138
     2 20  490.474  490.398    43.8932  -0.14047E-03     20     20     20   46.201   0.162
     2 20  514.776  514.688    43.8396  -0.12569E-03     21     21     20   46.523   0.165
     2 21  539.723  539.730    43.8076  -0.11209E-03     22     22     21   46.543   0.165
     2 21  564.971  565.041    43.8017  -0.10007E-03     23     23     21   46.297   0.165
     2 23  589.545  589.614    43.8194  -0.89639E-04     24     24     23   45.732   0.163
     2 23  609.664  609.751    44.0852  -0.82145E-04     25     25     23   44.779   0.148
     2 23  621.697  621.645    43.9521  -0.78138E-04     26     26     23   44.929   0.156
     2 25  644.157  644.183    43.8340  -0.71475E-04     27     27     25   45.642   0.165
     2 25  669.256  669.278    43.8408  -0.65202E-04     28     28     25   45.882   0.166
     2 25  694.866  694.968    43.8764  -0.59931E-04     29     29     25   45.807   0.166
     2 26  720.157  720.302    43.9139  -0.55499E-04     30     30     26   45.478   0.165
     2 26  744.344  744.427    43.9956  -0.51827E-04     31     31     26   44.783   0.163
     2 27  760.735  760.694    44.2759  -0.49561E-04     32     32     27   44.151   0.154
     2 27  776.886  776.896    44.0499  -0.47450E-04     33     33     27   44.592   0.163
     2 28  800.750  800.872    44.0120  -0.44531E-04     34     34     28   45.064   0.165
     2 28  825.976  826.070    44.0526  -0.41640E-04     35     35     28   45.155   0.165
     2 28  851.068  851.123    44.1282  -0.38950E-04     36     38     28   45.005   0.165
     2 29  875.657  875.735    44.1901  -0.36529E-04     37     37     29   44.627   0.165
     2 29  897.566  897.591    44.2334  -0.34537E-04     38     38     29   44.070   0.162
     2 30  914.701  914.689    44.4098  -0.33100E-04     39     39     30   43.826   0.161
     2 30  934.018  934.048    44.2537  -0.31604E-04     40     40     30   44.133   0.165
     2 31  957.300  957.361    44.2166  -0.29955E-04     41     41     31   44.396   0.164
     2 31  981.448  981.494    44.3558  -0.28417E-04     40     42     31   44.470   0.165
     2 32 1005.806 1005.774    44.3969  -0.27000E-04     41     43     32   44.378   0.166
     2 32 1029.693 1029.651    44.3691  -0.25717E-04     44     42     32   44.142   0.166
     2 32 1052.443 1052.471    44.4815  -0.24578E-04     43     43     32   43.747   0.164
     2 33 1071.465 1071.529    44.5742  -0.23672E-04     44     44     33   43.444   0.162
     2 33 1089.862 1089.855    44.5830  -0.22836E-04     45     45     33   43.616   0.164
     2 34 1112.289 1112.227    44.4899  -0.21866E-04     46     46     34   43.972   0.166
     2 34 1136.761 1136.742    44.4869  -0.20870E-04     47     45     34   44.150   0.166
     2 34 1161.809 1161.831    44.5776  -0.19924E-04     46     48     34   44.134   0.166
     2 34 1186.865 1186.869    44.6035  -0.19048E-04     47     49     34   43.882   0.166
     2 35 1210.223 1210.250    44.7216  -0.18291E-04     48     48     35   43.357   0.164
     2 35 1227.406 1227.410    44.8801  -0.17770E-04     49     49     35   42.984   0.163
     2 36 1245.532 1245.528    44.7367  -0.17245E-04     50     50     36   43.398   0.165
     2 36 1269.501 1269.492    44.7430  -0.16589E-04     49     51     36   43.830   0.166
     2 36 1294.979 1294.968    44.7382  -0.15929E-04     50     50     36   43.978   0.166
     2 36 1320.703 1320.755    44.8233  -0.15292E-04     49     53     36   43.871   0.166
     2 36 1345.903 1345.973    44.8484  -0.14698E-04     52     52     36   43.497   0.166
     2 37 1367.863 1367.876    44.9954  -0.14204E-04     53     51     37   42.827   0.164
     2 37 1382.716 1382.658    45.0470  -0.13881E-04     52     54     37   42.739   0.164
     2 38 1403.674 1403.678    44.9395  -0.13446E-04     53     53     38   43.319   0.166
     2 38 1428.765 1428.823    44.9437  -0.12954E-04     54     54     38   43.648   0.167
     2 39 1454.423 1454.458    44.9434  -0.12484E-04     55     53     39   43.684   0.166
     2 39 1480.015 1480.037    45.0178  -0.12047E-04     54     56     39   43.485   0.166
