          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  10343 K
     model number =   28   age (yrs) =  3.31682E+08   l/l sun =  3.08738E-03
     number of points in model = 423   r/r sun =  1.74604E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0317        91.8911        0.1659
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  1  170.949  170.803    46.6717  -0.60356E-02      1      1      1   51.732   0.483
     1  2  295.013  295.933    46.0206   0.10069E+00      2      2      2   49.939   0.461
     1  3  341.236  339.474    45.9180  -0.12207E-01      3      3      3   48.999   0.426
     1  4  425.634  426.542    45.0876  -0.36208E-01      4      4      4   48.467   0.462
     1  5  473.384  472.482    45.2254  -0.14957E-01      5      5      5   47.482   0.373
     1  6  519.717  520.375    44.7459   0.27479E-02      6      6      6   47.634   0.454
     1  7  588.824  588.761    44.2898   0.81322E-02      7      7      7   47.739   0.480
     1  8  650.774  650.347    44.1083   0.16900E-02      8      8      8   47.399   0.478
     1  9  713.677  713.086    43.9743  -0.86686E-03      9      9      9   46.936   0.468
     1 10  762.233  762.283    43.8535   0.47795E-03     10     10     10   46.765   0.470
     1 11  821.907  822.161    43.6256   0.14177E-02     11     11     11   46.918   0.486
     1 12  887.937  888.052    43.4796  -0.15623E-03     12     12     12   46.859   0.489
     1 13  951.551  950.867    43.4163  -0.13597E-02     13     13     13   46.564   0.487
     1 14 1008.612 1008.030    43.3873  -0.10033E-02     14     14     14   46.290   0.484
     1 15 1062.859 1062.999    43.3234  -0.33503E-03     15     15     15   46.256   0.487
     1 16 1124.197 1124.586    43.2184  -0.73614E-04     16     16     16   46.376   0.493
     1 17 1190.521 1190.354    43.1896  -0.10487E-03     17     17     17   46.300   0.494
     1 18 1253.929 1253.077    43.2392  -0.35154E-04     18     18     18   46.003   0.491
     1 19 1309.192 1308.758    43.2905   0.44561E-04     19     19     19   45.816   0.490
     1 20 1367.415 1367.633    43.2482   0.52724E-04     20     20     20   45.907   0.494
     1 21 1432.848 1433.106    43.2489  -0.39633E-04     21     21     21   45.953   0.495
     2  1   98.881   98.791    46.7567  -0.31104E-01      1      1      1   51.435   0.150
     2  2  171.590  172.250    46.0254  -0.78870E-02      2      2      2   49.830   0.138
     2  3  201.286  200.406    45.9515  -0.53297E-02      3      3      3   48.929   0.111
     2  4  248.457  249.155    45.0132  -0.31541E-02      4      4      4   48.831   0.149
     2  5  289.393  288.967    44.7869  -0.20238E-02      5      5      5   47.849   0.135
     2  6  323.453  323.187    44.6566  -0.14064E-02      6      6      6   46.965   0.098
     2  7  350.260  350.311    44.2835  -0.10862E-02      7      7      7   46.856   0.126
     2  8  384.462  384.629    44.0751  -0.82498E-03      8      8      8   46.827   0.146
     2  9  423.673  423.724    43.7990  -0.63258E-03      9      9      9   46.701   0.153
     2 10  461.040  460.583    43.7100  -0.49839E-03     10     10     10   46.203   0.148
     2 11  492.597  492.314    43.6629  -0.41390E-03     11     11     11   45.816   0.142
     2 12  524.046  524.276    43.4905  -0.35309E-03     12     12     12   45.804   0.151
     2 13  560.489  560.670    43.3580  -0.30160E-03     13     13     13   45.807   0.157
     2 14  597.861  597.752    43.2811  -0.25916E-03     14     14     14   45.636   0.158
     2 15  634.448  634.021    43.2739  -0.22437E-03     15     15     15   45.287   0.156
     2 16  666.214  666.095    43.2998  -0.19956E-03     16     16     16   45.025   0.154
     2 17  698.900  699.073    43.2198  -0.17840E-03     17     17     17   45.075   0.159
     2 18  736.551  736.715    43.1853  -0.15793E-03     18     18     18   45.096   0.161
     2 19  774.877  774.700    43.2247  -0.14040E-03     19     19     19   44.872   0.161
     2 20  810.000  809.534    43.3062  -0.12683E-03     20     20     20   44.560   0.159
     2 21  842.485  842.453    43.3264  -0.11610E-03     21     21     21   44.459   0.160
     2 22  878.028  878.237    43.3108  -0.10607E-03     22     22     22   44.519   0.162
     2 23  916.382  916.534    43.3405  -0.96749E-04     23     23     23   44.470   0.163
     2 24  954.319  953.968    43.4089  -0.88662E-04     24     24     24   44.250   0.162
     2 25  989.186  988.785    43.4968  -0.82065E-04     25     25     25   44.016   0.161
     2 26 1022.817 1022.977    43.5107  -0.76355E-04     26     26     26   43.996   0.162
     2 27 1059.978 1060.180    43.5130  -0.70664E-04     27     27     27   44.060   0.164
     2 28 1099.220 1099.217    43.5609  -0.65286E-04     28     28     28   43.962   0.164
     2 29 1136.376 1135.923    43.6520  -0.60765E-04     29     29     29   43.714   0.163
     2 30 1170.220 1170.015    43.7138  -0.57080E-04     30     30     30   43.584   0.163
     2 31 1205.865 1206.134    43.7094  -0.53581E-04     31     31     31   43.646   0.164
     2 32 1244.501 1244.631    43.7416  -0.50172E-04     32     32     32   43.644   0.164
     2 33 1283.059 1282.910    43.8078  -0.47102E-04     33     33     33   43.484   0.164
     2 34 1318.967 1318.530    43.8888  -0.44478E-04     34     34     34   43.291   0.164
     2 35 1353.512 1353.524    43.9222  -0.42137E-04     35     35     35   43.254   0.164
     2 36 1390.566 1390.874    43.9288  -0.39815E-04     36     36     36   43.316   0.165
     2 37 1429.688 1429.707    43.9713  -0.37554E-04     37     37     37   43.266   0.165
     2 38 1467.664 1467.343    44.0500  -0.35537E-04     38     38     38   43.073   0.165
