          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  10501 K
     model number =   37   age (yrs) =  4.10215E+08   l/l sun =  2.82167E-03
     number of points in model = 448   r/r sun =  1.61937E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0445        69.4383        0.2250
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  2  137.047  133.759    45.0373  -0.15698E+00      1      4      2   50.194   0.348
     1  2  206.229  204.016    46.8334  -0.98999E-01      2      4      2   50.420   0.452
     1  3  247.656  246.048    46.5687  -0.74489E-01      3      7      3   49.883   0.458
     1  4  278.904  282.355    46.3396  -0.58224E-01      4      6      4   50.059   0.479
     1  5  338.250  340.419    46.0516  -0.31302E-01      5      7      5   50.642   0.487
     1  6  409.223  410.330    45.3852  -0.57268E-02      6      8      6   50.886   0.491
     1  7  467.829  468.315    44.8960  -0.20648E-04      7      9      7   50.203   0.494
     1  8  494.626  494.569    47.9106  -0.64929E-03      9      8      8   46.912   0.329
     1  9  537.997  538.312    44.6627  -0.31361E-02      9     11      9   50.440   0.495
     1 10  605.066  605.124    44.2831  -0.10110E-01     10     14     10   50.615   0.496
     1 11  656.104  649.850    45.1667  -0.12083E-01     11     13     11   49.018   0.491
     1 12  673.174  673.074    44.1979  -0.11599E-01     12     14     12   49.670   0.496
     1 13  739.989  740.559    43.9318  -0.71997E-02     13     15     13   50.529   0.497
     1 14  801.251  801.103    47.1173  -0.12373E-03     14     16     14   46.016   0.436
     1 15  806.299  806.800    43.8050   0.46998E-03     15     15     15   48.637   0.498
     1 16  871.823  872.840    43.7460   0.48006E-02     16     20     16   50.553   0.498
     1 17  924.834  926.453    43.9064   0.37063E-02     17     21     17   50.195   0.498
     1 18  963.563  963.563    43.7813   0.72975E-03     18     24     18   50.209   0.498
     1 19 1021.237 1018.820    43.7344  -0.47286E-02     19     21     19   49.552   0.498
     1 20 1036.780 1033.098    44.5318  -0.54409E-02     20     22     20   48.996   0.496
     1 21 1092.182 1092.474    43.5926  -0.30488E-02     21     23     21   50.157   0.499
     1 22 1113.340 1112.968    55.3534  -0.74629E-04     22     22     22   45.432   0.467
     1 23 1161.459 1161.583    43.5882   0.10768E-01     23     23     23   51.850   0.499
     1 24 1231.579 1231.691    43.6205   0.25464E-01     24     28     24   52.912   0.499
     1 25 1302.762 1302.947    43.6603   0.13819E-01     25     31     25   52.960   0.499
     1 26 1374.261 1374.217    43.7061  -0.20714E-02     26     30     26   51.566   0.499
     1 27 1399.744 1391.222    46.4866  -0.32244E-02     27     29     27   48.608   0.498
     1 28 1426.877 1426.173    48.6724  -0.38560E-04     28     28     28   45.001   0.479
     1 29 1446.551 1446.751    43.7571   0.58914E-02     29     29     29   51.434   0.499
     2  2   82.966   82.042    44.4607  -0.17756E-01      1      4      2   49.862   0.042
     2  2  120.110  119.064    46.5079  -0.85381E-02      2      2      2   50.076   0.123
     2  3  144.806  143.744    46.1147  -0.60182E-02      3      3      3   49.513   0.129
     2  4  162.007  163.977    45.9247  -0.48497E-02      4      6      4   49.665   0.146
     2  5  195.858  197.147    46.0507  -0.31467E-02      5      7      5   50.393   0.154
     2  6  236.615  237.269    45.3816  -0.15328E-02      6      8      6   50.947   0.158
     2  7  270.355  270.642    44.8954  -0.73440E-03      7      9      7   51.041   0.160
     2  8  310.865  311.054    44.6603  -0.35737E-03      8     12      8   50.425   0.161
     2  9  349.530  349.569    44.2823  -0.30593E-03      9     13      9   48.480   0.162
     2 10  358.340  358.285    47.0811  -0.32652E-03     10     12     10   45.793   0.059
     2 11  380.107  376.693    45.0878  -0.38849E-03     11     11     11   47.442   0.157
     2 12  388.977  388.823    44.2182  -0.41014E-03     12     12     12   48.285   0.162
     2 13  427.399  427.729    43.9313  -0.45607E-03     13     15     13   50.092   0.164
     2 14  465.670  465.961    43.8036  -0.38424E-03     14     16     14   50.273   0.164
     2 15  503.512  504.103    43.7453  -0.21875E-03     15     21     15   49.513   0.165
     2 16  534.195  535.163    43.9048  -0.12264E-03     16     20     16   47.502   0.165
     2 17  542.557  542.565    46.9639  -0.10831E-03     17     19     17   44.639   0.120
     2 18  556.524  556.572    43.7828  -0.98357E-04     18     20     18   47.875   0.165
     2 19  589.870  588.600    43.7191  -0.14831E-03     19     21     19   48.364   0.164
     2 20  599.229  597.035    44.5911  -0.17510E-03     20     22     20   47.974   0.163
     2 21  630.679  630.848    43.5927  -0.26093E-03     21     23     21   50.282   0.165
     2 22  670.667  670.739    43.5883  -0.28487E-03     22     24     22   51.051   0.166
     2 23  711.147  711.213    43.6206  -0.12875E-03     23     27     23   50.424   0.166
     2 25  725.787  725.771    45.5154  -0.55806E-04     24     25     25   43.863   0.141
     2 25  752.240  752.346    43.6604   0.12670E-04     25     27     25   50.911   0.166
     2 26  793.516  793.493    43.7062  -0.87760E-04     26     30     26   50.700   0.166
     2 27  808.826  803.941    46.5221  -0.16825E-03     27     29     27   48.300   0.164
     2 28  835.247  835.363    43.7573  -0.31031E-03     28     32     28   51.313   0.166
     2 29  877.198  877.225    43.8159  -0.28125E-03     29     31     29   51.496   0.166
     2 30  908.372  908.353    45.0302  -0.34054E-04     30     31     30   43.275   0.150
     2 30  919.338  919.453    43.8759   0.56193E-04     31     31     30   50.641   0.166
     2 31  960.850  961.061    43.9535   0.25399E-03     32     38     31   51.114   0.166
     2 32  983.368  986.411    44.8029   0.20135E-03     33     37     32   49.993   0.166
     2 33 1005.845 1006.103    44.0182   0.56247E-04     34     38     33   50.920   0.166
     2 33 1038.205 1033.302    46.4633  -0.12440E-03     35     39     33   48.530   0.165
     2 34 1047.612 1047.586    44.0594  -0.14582E-03     36     38     34   50.598   0.166
     2 37 1132.926 1132.926    44.1722   0.24034E-03     39     41     37   53.362   0.166
     2 38 1175.940 1176.017    44.2297   0.98372E-04     40     42     38   53.986   0.166
     2 39 1218.958 1218.956    44.2881  -0.10019E-04     41     47     39   53.602   0.166
     2 39 1262.118 1262.191    44.3485  -0.36432E-04     42     46     39   50.447   0.166
     2 40 1267.938 1262.937    47.3844  -0.24623E-04     43     45     40   46.409   0.166
     2 42 1305.248 1305.263    44.4045   0.21780E-03     45     45     42   53.161   0.166
     2 42 1348.389 1348.436    44.4629   0.58447E-03     46     50     42   53.836   0.166
     2 43 1390.737 1391.206    44.5612   0.87876E-03     47     53     43   52.232   0.166
     2 44 1397.506 1399.620    45.1086   0.83082E-03     48     52     44   51.465   0.164
     2 44 1435.415 1435.436    44.5745   0.18212E-03     49     53     44   52.519   0.166
     2 46 1448.443 1448.396    42.2592  -0.12811E-04     50     51     46   42.081   0.160
     2 46 1478.797 1478.849    44.6268  -0.30035E-05     51     53     46   51.889   0.166
