          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  10501 K
     model number =   31   age (yrs) =  4.03892E+08   l/l sun =  2.36612E-03
     number of points in model = 431   r/r sun =  1.48290E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0502        56.8687        0.2567
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  2   73.456   74.309    44.7620  -0.49741E+00      1      2      2   51.199   0.464
     1  2  153.829  154.835    47.1913  -0.58003E+00      2      2      2   50.726   0.472
     1  3  187.934  188.601    46.9495  -0.54400E+00      3      3      3   50.252   0.482
     1  4  253.965  254.682    46.5472  -0.29894E+00      4      4      4   50.209   0.484
     1  5  288.158  288.372    46.0746  -0.11221E+00      5      5      5   50.124   0.487
     1  6  339.590  339.548    45.7526   0.41383E-01      6      6      6   49.653   0.486
     1  7  379.446  379.573    45.4464   0.29590E-01      7      7      7   48.980   0.479
     1  8  420.564  420.441    45.2461   0.44427E-02      8      8      8   48.005   0.438
     1  9  444.338  444.387    45.2589  -0.38814E-03      9      9      9   47.542   0.394
     1 10  477.743  477.928    44.8800  -0.10607E-02     10     10     10   47.946   0.475
     1 11  517.318  517.417    44.6061  -0.91382E-03     11     11     11   48.185   0.490
     1 12  560.235  560.249    44.4375  -0.81707E-03     12     12     12   48.089   0.492
     1 13  600.897  600.718    44.3138  -0.14244E-02     13     13     13   47.782   0.490
     1 14  640.254  640.036    44.2379  -0.15995E-02     14     14     14   47.319   0.482
     1 15  673.051  672.939    44.2477  -0.93336E-03     15     15     15   46.915   0.470
     1 16  704.503  704.625    44.1207  -0.42841E-03     16     16     16   46.987   0.481
     1 17  742.059  742.104    43.9956  -0.21224E-03     17     17     17   47.221   0.492
     1 18  782.855  782.927    43.9349   0.14377E-04     18     18     18   47.282   0.494
     1 19  824.080  824.004    43.8855   0.20467E-03     19     19     19   47.186   0.495
     1 20  864.724  864.378    43.8748   0.27707E-03     20     20     20   46.916   0.493
     1 21  901.962  901.652    43.8972   0.22942E-03     21     21     21   46.587   0.489
     1 22  936.085  936.107    43.9178   0.12323E-03     22     22     22   46.409   0.488
     1 23  970.824  970.975    43.8717   0.14460E-04     23     23     23   46.510   0.492
     1 24 1010.054 1010.062    43.8465  -0.10315E-03     24     24     24   46.654   0.495
     1 25 1050.709 1050.624    43.8525  -0.19475E-03     25     25     25   46.672   0.496
     1 25 1091.814 1091.581    43.8701  -0.22378E-03     26     26     25   46.572   0.496
     1 26 1131.868 1131.480    43.9188  -0.23606E-03     27     27     26   46.348   0.495
     1 27 1169.375 1169.147    43.9762  -0.21818E-03     28     28     27   46.120   0.494
     1 27 1205.212 1205.300    44.0097  -0.15287E-03     29     29     27   46.034   0.494
     1 29 1242.174 1242.247    44.0094  -0.87614E-04     30     30     29   46.111   0.496
     1 29 1281.928 1281.787    44.0186  -0.30700E-04     31     31     29   46.204   0.497
     1 30 1322.792 1322.586    44.0526   0.27239E-04     32     32     30   46.201   0.497
     1 30 1363.777 1363.526    44.0913   0.44364E-04     33     33     30   46.111   0.497
     1 30 1403.871 1403.519    44.1479   0.49426E-04     34     34     30   45.937   0.497
     1 31 1441.973 1441.768    44.2011   0.39759E-04     35     35     31   45.778   0.496
     1 31 1479.164 1479.212    44.2387   0.21407E-05     36     36     31   45.719   0.496
     2  2   89.212   89.669    47.3471  -0.29066E-02      2      2      2   51.165   0.140
     2  3  109.042  109.129    46.8854  -0.13706E-02      3      3      3   50.636   0.149
     2  4  147.166  147.468    46.4778  -0.18906E-02      4      4      4   50.336   0.152
     2  5  166.907  167.024    46.0817  -0.22122E-02      5      5      5   50.107   0.156
     2  6  196.848  196.846    45.7182  -0.20375E-02      6      6      6   49.700   0.157
     2  7  220.469  220.577    45.4214  -0.15549E-02      7      7      7   49.272   0.157
     2  8  246.641  246.703    45.0874  -0.10598E-02      8      8      8   48.837   0.157
     2  9  271.237  271.179    44.9075  -0.76712E-03      9      9      9   48.133   0.152
     2 10  293.749  293.626    44.6971  -0.59840E-03     10     10     10   47.414   0.137
     2 11  311.003  310.957    44.7382  -0.50286E-03     11     11     11   46.802   0.104
     2 12  328.499  328.615    44.4580  -0.42607E-03     12     12     12   46.973   0.142
     2 13  350.776  350.819    44.2955  -0.34853E-03     13     13     13   47.145   0.157
     2 14  374.730  374.762    44.1635  -0.28461E-03     14     14     14   47.118   0.160
     2 15  398.811  398.746    44.0796  -0.23790E-03     15     15     15   46.875   0.160
     2 16  422.090  421.898    44.0202  -0.20369E-03     16     16     16   46.482   0.157
     2 17  443.179  443.042    44.0317  -0.17874E-03     17     17     17   46.022   0.149
     2 18  461.880  461.962    44.0098  -0.16053E-03     18     18     18   45.829   0.149
     2 19  481.946  482.051    43.9134  -0.14421E-03     19     19     19   45.956   0.157
     2 20  504.895  504.883    43.8525  -0.12868E-03     20     20     20   46.067   0.161
     2 21  528.461  528.434    43.8378  -0.11530E-03     21     21     21   46.013   0.162
     2 22  552.223  552.140    43.8311  -0.10378E-03     22     22     22   45.835   0.162
     2 23  575.212  575.024    43.8664  -0.94191E-04     23     23     23   45.518   0.160
     2 24  596.289  596.188    43.9071  -0.86477E-04     24     24     24   45.227   0.158
     2 24  616.346  616.433    43.9217  -0.79951E-04     25     25     24   45.129   0.158
     2 25  637.565  637.639    43.9003  -0.73819E-04     26     26     25   45.218   0.161
     2 26  660.678  660.655    43.9086  -0.67898E-04     27     27     26   45.282   0.163
     2 27  684.385  684.326    43.9392  -0.62534E-04     28     28     27   45.229   0.164
     2 27  708.078  707.947    43.9741  -0.57845E-04     29     29     27   45.077   0.163
     2 28  731.026  730.826    44.0279  -0.53831E-04     30     30     28   44.838   0.162
     2 28  752.549  752.487    44.0806  -0.50461E-04     31     31     28   44.637   0.162
     2 29  773.667  773.785    44.1099  -0.47488E-04     32     32     29   44.576   0.162
     2 30  795.585  795.665    44.1211  -0.44681E-04     33     33     30   44.627   0.163
     2 31  818.842  818.760    44.1432  -0.41979E-04     34     34     31   44.667   0.164
     2 31  842.502  842.344    44.1799  -0.39483E-04     35     35     31   44.622   0.164
     2 32  866.160  866.017    44.2200  -0.37183E-04     36     36     32   44.502   0.164
     2 32  889.183  889.072    44.2759  -0.35125E-04     37     37     32   44.318   0.164
     2 32  911.238  911.241    44.3221  -0.33301E-04     38     38     32   44.162   0.163
     2 33  932.912  933.005    44.3612  -0.31634E-04     39     39     33   44.101   0.164
     2 33  955.108  955.135    44.3778  -0.30058E-04     40     40     33   44.135   0.164
     2 34  978.277  978.151    44.3880  -0.28532E-04     41     41     34   44.172   0.165
     2 35 1001.914 1001.722    44.4358  -0.27098E-04     42     42     35   44.149   0.165
     2 36 1025.679 1025.567    44.4866  -0.25777E-04     43     43     36   44.053   0.165
     2 36 1048.945 1048.934    44.4970  -0.24580E-04     44     44     36   43.895   0.165
     2 36 1071.309 1071.360    44.5802  -0.23516E-04     45     45     36   43.744   0.164
     2 37 1093.032 1093.066    44.6264  -0.22552E-04     46     46     37   43.680   0.165
     2 37 1115.206 1115.163    44.5680  -0.21628E-04     47     47     37   43.722   0.165
     2 38 1138.406 1138.291    44.6779  -0.20722E-04     48     48     38   43.779   0.165
     2 38 1162.262 1162.102    44.7059  -0.19845E-04     49     49     38   43.777   0.166
     2 38 1186.269 1186.173    44.6386  -0.19012E-04     50     48     38   43.686   0.165
     2 39 1209.708 1209.751    44.7769  -0.18246E-04     51     51     39   43.520   0.165
     2 39 1231.982 1232.077    44.8407  -0.17556E-04     50     52     39   43.355   0.165
     2 40 1253.438 1253.420    44.8130  -0.16928E-04     53     51     40   43.310   0.165
     2 40 1275.667 1275.544    44.8680  -0.16313E-04     52     54     40   43.391   0.165
     2 40 1299.203 1299.091    44.8671  -0.15698E-04     53     53     40   43.475   0.166
     2 41 1323.438 1323.343    44.9303  -0.15104E-04     56     54     41   43.473   0.166
     2 41 1347.636 1347.579    44.9248  -0.14549E-04     55     55     41   43.359   0.166
     2 41 1370.982 1371.038    44.9592  -0.14043E-04     56     54     41   43.160   0.165
     2 42 1392.758 1392.844    45.0858  -0.13597E-04     55     57     42   42.994   0.165
     2 42 1413.957 1413.899    45.0550  -0.13184E-04     58     56     42   43.008   0.165
     2 43 1436.591 1436.432    45.0756  -0.12762E-04     57     57     43   43.142   0.166
     2 43 1460.645 1460.530    45.0619  -0.12336E-04     58     58     43   43.230   0.166
     2 43 1485.210 1485.182    45.1365  -0.11919E-04     59     59     43   43.198   0.166
