          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  10343 K
     model number =   28   age (yrs) =  3.11537E+08   l/l sun =  3.42928E-03
     number of points in model = 422   r/r sun =  1.84019E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0294        82.3046        0.1533
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  1  128.824  128.747    46.2056  -0.16536E+00      1      1      1   51.174   0.465
     1  2  251.096  253.027    46.5606  -0.65306E+00      2      2      2   49.506   0.477
     1  1  274.377  276.642    47.5536  -0.99698E+00      1      1      1   47.979   1.000
     1  4  369.884  368.739    45.8015   0.15615E+00      4      4      4   49.101   0.461
     1  5  431.147  430.165    45.7189  -0.31091E-01      5      5      5   47.897   0.403
     1  6  475.777  475.941    45.4006  -0.24758E-01      6      6      6   47.558   0.410
     1  7  525.889  526.294    44.7309   0.59392E-03      7      7      7   47.873   0.474
     1  8  581.770  581.590    44.5374   0.13049E-01      8      8      8   47.788   0.482
     1  9  645.158  644.510    44.3754   0.90251E-02      9      9      9   47.416   0.478
     1 10  698.693  698.071    44.2208   0.21801E-02     10     10     10   46.957   0.467
     1 11  743.035  743.362    44.0111  -0.56179E-03     11     11     11   46.904   0.475
     1 12  796.970  797.231    43.8495  -0.86980E-03     12     12     12   47.019   0.487
     1 13  857.526  857.336    43.6945  -0.99881E-03     13     13     13   46.991   0.491
     1 14  916.376  915.966    43.5804  -0.11666E-02     14     14     14   46.728   0.489
     1 15  968.598  967.934    43.5612  -0.98664E-03     15     15     15   46.389   0.484
     1 16 1016.456 1016.571    43.4673  -0.75958E-03     16     16     16   46.356   0.487
     1 17 1071.599 1071.960    43.3363  -0.40762E-03     17     17     17   46.495   0.493
     1 18 1130.727 1130.548    43.2729  -0.64706E-04     18     18     18   46.461   0.494
     1 19 1188.732 1188.218    43.2528   0.11851E-03     19     19     19   46.245   0.493
     1 20 1241.772 1241.121    43.2842   0.18466E-03     20     20     20   45.980   0.491
     1 21 1291.234 1291.174    43.2647   0.13877E-03     21     21     21   45.943   0.492
     1 22 1346.378 1346.719    43.2081   0.11241E-04     22     22     22   46.070   0.495
     1 23 1405.886 1405.834    43.2081  -0.16026E-03     23     23     23   46.056   0.496
     1 24 1464.317 1463.607    43.2546  -0.28911E-03     24     24     24   45.859   0.495
     2  1   74.937   74.877    48.9106  -0.53108E-01      1      1      1   50.892   0.134
     2  2  145.839  146.795    46.4058  -0.10041E-01      2      2      2   50.209   0.139
     2  3  175.616  175.759    45.9350  -0.61419E-02      3      3      3   49.742   0.145
     2  4  215.955  215.557    45.7675  -0.38270E-02      4      4      4   49.075   0.144
     2  5  257.563  257.343    45.4645  -0.26400E-02      5      5      5   48.258   0.138
     2  6  294.281  294.048    44.8976  -0.18489E-02      6      6      6   47.536   0.128
     2  7  319.145  318.973    44.7410  -0.14340E-02      7      7      7   46.972   0.108
     2  8  345.229  345.412    44.5842  -0.11093E-02      8      8      8   46.870   0.132
     2  9  380.067  380.131    44.2955  -0.82001E-03      9      9      9   46.921   0.151
     2 10  415.619  415.530    44.0027  -0.63789E-03     10     10     10   46.712   0.154
     2 11  447.756  447.412    43.9128  -0.52447E-03     11     11     11   46.247   0.149
     2 12  477.046  476.773    43.8857  -0.44460E-03     12     12     12   45.861   0.143
     2 13  505.463  505.654    43.7060  -0.38380E-03     13     13     13   45.852   0.152
     2 14  538.084  538.291    43.5291  -0.32922E-03     14     14     14   45.920   0.158
     2 15  572.738  572.600    43.4271  -0.28337E-03     15     15     15   45.774   0.159
     2 16  606.059  605.719    43.3932  -0.24782E-03     16     16     16   45.419   0.157
     2 17  635.264  635.010    43.3898  -0.22172E-03     17     17     17   45.127   0.154
     2 18  664.231  664.372    43.3047  -0.19952E-03     18     18     18   45.119   0.158
     2 19  696.577  696.812    43.2272  -0.17839E-03     19     19     19   45.182   0.161
     2 20  730.810  730.700    43.2004  -0.15945E-03     20     20     20   45.092   0.162
     2 21  764.377  764.001    43.2283  -0.14377E-03     21     21     21   44.813   0.161
     2 22  794.451  794.212    43.2839  -0.13176E-03     22     22     22   44.551   0.159
     2 23  823.893  824.018    43.2609  -0.12156E-03     23     23     23   44.544   0.161
     2 24  856.700  856.870    43.2450  -0.11169E-03     24     24     24   44.605   0.163
     2 25  891.111  891.066    43.2620  -0.10260E-03     25     25     25   44.534   0.163
     2 26  924.890  924.500    43.3145  -0.94705E-04     26     26     26   44.309   0.163
     2 27  955.828  955.565    43.3927  -0.88219E-04     27     27     27   44.079   0.162
     2 28  985.939  986.092    43.3960  -0.82468E-04     28     28     28   44.071   0.163
     2 29 1019.148 1019.267    43.3927  -0.76723E-04     29     29     29   44.138   0.164
     2 30 1053.790 1053.765    43.4295  -0.71350E-04     30     30     30   44.068   0.164
     2 31 1087.616 1087.267    43.4912  -0.66632E-04     31     31     31   43.870   0.164
     2 32 1119.024 1118.717    43.5611  -0.62692E-04     32     32     32   43.682   0.163
     2 32 1149.757 1149.938    43.5739  -0.59210E-04     33     33     32   43.677   0.164
     2 34 1183.167 1183.348    43.5780  -0.55772E-04     34     34     34   43.739   0.165
     2 35 1217.970 1217.862    43.6192  -0.52517E-04     35     35     35   43.673   0.165
     2 35 1251.723 1251.403    43.6849  -0.49626E-04     36     36     35   43.489   0.164
     2 36 1283.283 1283.033    43.7472  -0.47112E-04     37     37     36   43.338   0.164
     2 37 1314.653 1314.794    43.7640  -0.44780E-04     38     38     37   43.342   0.164
     2 37 1348.281 1348.512    43.7751  -0.42459E-04     39     39     37   43.390   0.165
     2 38 1383.053 1382.916    43.8150  -0.40236E-04     40     40     38   43.326   0.165
     2 38 1416.708 1416.311    43.8812  -0.38253E-04     41     41     38   43.157   0.165
     2 39 1448.394 1448.244    43.9387  -0.36532E-04     42     42     39   43.034   0.165
     2 40 1480.291 1480.457    43.9541  -0.34925E-04     43     43     40   43.049   0.165
