          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  10501 K
     model number =   31   age (yrs) =  4.33135E+08   l/l sun =  2.04004E-03
     number of points in model = 430   r/r sun =  1.37693E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0560        72.5188        0.2869
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  1  128.505  128.530    46.2764  -0.13967E+00      1      1      1   52.148   0.483
     1  3  280.770  281.098    45.7351   0.79343E-01      3      3      3   50.346   0.480
     1  4  327.677  327.121    45.7538  -0.25506E-01      4      4      4   49.122   0.441
     1  5  376.883  377.333    45.1264  -0.15605E-01      5      5      5   48.856   0.467
     1  6  428.237  427.984    44.8778  -0.37840E-02      6      6      6   48.054   0.442
     1  7  464.164  464.226    44.8835  -0.35936E-02      7      7      7   47.431   0.389
     1  8  501.387  501.577    44.5073  -0.25605E-02      8      8      8   47.644   0.461
     1  9  550.195  550.303    44.2379   0.22851E-02      9      9      9   47.884   0.486
     1 10  605.250  605.193    44.1202   0.35417E-02     10     10     10   47.661   0.486
     1 11  653.516  653.175    44.0742   0.77327E-03     11     11     11   47.202   0.477
     1 12  696.132  695.781    44.0924  -0.27050E-03     12     12     12   46.826   0.467
     1 13  736.902  737.119    44.0039   0.19671E-03     13     13     13   46.825   0.478
     1 14  784.502  784.688    43.9211   0.45467E-03     14     14     14   46.956   0.488
     1 15  835.597  835.520    43.9057  -0.15538E-03     15     15     15   46.923   0.491
     1 16  886.399  886.268    43.9179  -0.51785E-03     16     16     16   46.738   0.490
     1 17  935.229  934.817    43.9845  -0.38740E-03     17     17     17   46.430   0.487
     1 18  978.921  978.770    44.0417  -0.24209E-03     18     18     18   46.245   0.485
     1 19 1023.986 1024.190    44.0215  -0.18408E-03     19     19     19   46.327   0.491
     1 20 1074.644 1074.691    44.0293  -0.11704E-03     20     20     20   46.427   0.494
     1 21 1127.813 1127.760    44.0787  -0.14891E-04     21     21     21   46.349   0.495
     1 22 1179.340 1178.952    44.1615   0.43688E-04     22     22     22   46.095   0.493
     1 23 1225.735 1225.264    44.2524   0.40654E-04     23     23     23   45.866   0.491
     1 24 1270.986 1271.054    44.2709   0.14121E-04     24     24     24   45.877   0.493
     1 25 1321.045 1321.218    44.2831  -0.60002E-05     25     25     25   45.984   0.495
     1 26 1373.861 1373.753    44.3305  -0.37329E-04     26     26     26   45.973   0.496
     1 27 1426.265 1426.008    44.3989  -0.81442E-04     27     27     27   45.821   0.496
     1 28 1475.825 1475.335    44.4825  -0.90657E-04     28     28     28   45.614   0.495
     2  1   74.299   74.311    46.3399  -0.20982E-01      1      1      1   51.998   0.150
     2  2  123.863  123.813    46.5253  -0.59400E-02      2      2      2   50.746   0.144
     2  3  162.630  162.818    45.7198  -0.32011E-02      3      3      3   50.284   0.151
     2  4  192.138  192.003    45.6901  -0.21783E-02      4      4      4   49.196   0.127
     2  5  219.848  220.097    45.0960  -0.15019E-02      5      5      5   49.040   0.146
     2  6  251.604  251.618    44.7597  -0.99457E-03      6      6      6   48.605   0.149
     2  7  282.367  282.292    44.5151  -0.70733E-03      7      7      7   47.953   0.144
     2  8  310.121  309.975    44.3620  -0.53519E-03      8      8      8   47.178   0.123
     2  9  330.182  330.167    44.4170  -0.43857E-03      9      9      9   46.708   0.103
     2 10  355.285  355.426    44.1091  -0.34669E-03     10     10     10   46.921   0.147
     2 11  384.397  384.404    44.0101  -0.27474E-03     11     11     11   46.879   0.155
     2 12  414.251  414.189    43.9544  -0.22336E-03     12     12     12   46.627   0.155
     2 13  442.830  442.694    43.9546  -0.18517E-03     13     13     13   46.214   0.150
     2 14  468.345  468.142    43.9955  -0.15864E-03     14     14     14   45.851   0.145
     2 15  493.089  493.168    43.9649  -0.13883E-03     15     15     15   45.769   0.150
     2 16  520.265  520.430    43.9324  -0.12165E-03     16     16     16   45.824   0.157
     2 17  550.052  550.043    43.9358  -0.10623E-03     17     17     17   45.794   0.160
     2 18  580.231  580.146    43.9761  -0.93369E-04     18     18     18   45.581   0.159
     2 19  608.835  608.621    44.0596  -0.83294E-04     19     19     19   45.239   0.157
     2 20  634.456  634.383    44.1398  -0.75602E-04     20     20     20   45.015   0.155
     2 21  660.874  661.035    44.1305  -0.68695E-04     21     21     21   45.066   0.159
     2 22  690.596  690.646    44.1441  -0.61973E-04     22     22     22   45.126   0.162
     2 23  721.331  721.286    44.1989  -0.56033E-04     23     23     23   45.009   0.162
     2 24  751.102  750.973    44.2827  -0.51102E-04     24     24     24   44.747   0.161
     2 25  778.455  778.246    44.3696  -0.47141E-04     25     25     25   44.509   0.160
     2 26  805.113  805.132    44.3995  -0.43731E-04     26     26     26   44.468   0.161
     2 27  833.847  834.002    44.4152  -0.40494E-04     27     27     27   44.527   0.163
     2 28  864.184  864.194    44.4567  -0.37466E-04     28     28     28   44.508   0.163
     2 29  894.740  894.637    44.5188  -0.34748E-04     29     29     29   44.356   0.163
     2 30  923.862  923.660    44.5992  -0.32429E-04     30     30     30   44.124   0.162
     2 31  950.875  950.765    44.6658  -0.30471E-04     31     31     31   43.985   0.162
     2 32  978.589  978.716    44.6811  -0.28632E-04     32     32     32   44.030   0.163
     2 33 1008.699 1008.811    44.7033  -0.26818E-04     33     33     33   44.081   0.164
     2 34 1039.632 1039.543    44.7538  -0.25125E-04     34     34     34   43.995   0.164
     2 35 1069.507 1069.340    44.8297  -0.23641E-04     35     35     35   43.790   0.164
     2 36 1097.297 1097.154    44.9027  -0.22384E-04     36     36     36   43.623   0.163
     2 37 1124.885 1124.906    44.9292  -0.21239E-04     37     37     37   43.618   0.164
     2 38 1154.329 1154.468    44.9478  -0.20116E-04     38     38     38   43.673   0.165
     2 39 1184.862 1184.894    44.9865  -0.19049E-04     39     39     39   43.648   0.165
     2 40 1215.213 1215.058    45.0471  -0.18070E-04     40     40     40   43.514   0.165
     2 41 1244.268 1244.101    45.1196  -0.17200E-04     41     41     41   43.338   0.164
     2 42 1271.951 1271.917    45.1681  -0.16427E-04     42     42     42   43.258   0.164
     2 43 1300.420 1300.504    45.1820  -0.15683E-04     43     43     43   43.306   0.165
     2 43 1330.660 1330.767    45.2068  -0.14944E-04     44     44     43   43.341   0.165
     2 44 1361.449 1361.382    45.2580  -0.14245E-04     45     45     44   43.258   0.165
     2 45 1391.165 1390.943    45.3294  -0.13617E-04     46     46     45   43.086   0.165
     2 46 1419.156 1419.048    45.3873  -0.13064E-04     47     47     46   42.971   0.165
     2 47 1447.321 1447.383    45.4075  -0.12544E-04     48     48     47   42.992   0.165
     2 48 1477.130 1477.215    45.4322  -0.12029E-04     49     49     48   43.037   0.165
