          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  11385 K
     model number =   30   age (yrs) =  3.77357E+08   l/l sun =  2.69567E-03
     number of points in model = 436   r/r sun =  1.34655E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0591        62.5426        0.3042
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  1  119.204  119.189    46.0772  -0.95575E-01      1      1      1   51.153   0.443
     1  2  161.078  161.027    46.4689  -0.13397E+00      2      2      2   51.670   0.488
     1  3  237.411  237.505    46.9306   0.37947E+00      3      3      3   50.411   0.465
     1  4  295.945  296.684    45.4471   0.19559E+00      4      4      4   50.223   0.486
     1  5  334.604  334.189    45.2769   0.48816E-01      5      5      5   49.314   0.476
     1  6  385.647  385.744    45.0218  -0.13041E-01      6      6      6   48.317   0.451
     1  7  420.741  420.806    44.7764  -0.68223E-02      7      7      7   47.618   0.396
     1  8  447.808  447.847    44.5539  -0.18150E-02      8      8      8   47.580   0.434
     1  9  491.178  491.495    44.1704  -0.15077E-02      9      9      9   47.934   0.483
     1 10  535.817  535.850    43.9930   0.79783E-03     10     10     10   47.848   0.487
     1 11  582.622  582.535    43.7200   0.32504E-02     11     11     11   47.649   0.487
     1 12  624.360  624.063    43.6971   0.11677E-02     12     12     12   47.114   0.474
     1 13  661.012  660.815    43.6068   0.20718E-04     13     13     13   46.829   0.468
     1 14  697.139  697.377    43.4024   0.49190E-03     14     14     14   46.929   0.482
     1 15  739.731  739.914    43.2588   0.22025E-03     15     15     15   47.061   0.491
     1 16  784.860  784.734    43.1278  -0.85444E-03     16     16     16   47.044   0.493
     1 17  829.415  829.257    43.0423  -0.62668E-03     17     17     17   46.836   0.492
     1 18  871.072  870.715    43.0178  -0.25638E-03     18     18     18   46.515   0.488
     1 19  908.548  908.391    43.0088  -0.37162E-03     19     19     19   46.316   0.486
     1 20  946.924  947.092    42.8998  -0.33152E-03     20     20     20   46.407   0.491
     1 21  989.320  989.348    42.8533  -0.25363E-04     21     21     21   46.496   0.494
     1 22 1033.800 1033.754    42.8296   0.43257E-04     22     22     22   46.477   0.495
     1 23 1078.012 1077.766    42.8322  -0.17417E-05     23     23     23   46.322   0.495
     1 24 1120.237 1119.762    42.8688   0.87351E-04     24     24     24   46.085   0.493
     1 25 1159.432 1159.286    42.9042   0.10869E-03     25     25     25   45.934   0.492
     1 26 1199.121 1199.264    42.8860   0.15476E-04     26     26     26   45.982   0.494
     1 27 1242.268 1242.255    42.8831  -0.43382E-04     27     27     27   46.060   0.496
     1 28 1287.007 1286.905    42.9045  -0.55630E-04     28     28     28   46.035   0.496
     1 29 1331.167 1330.836    42.9394  -0.11328E-03     29     29     29   45.914   0.496
     1 30 1373.970 1373.528    42.9950  -0.13152E-03     30     30     30   45.739   0.495
     1 31 1414.786 1414.644    43.0391  -0.96266E-04     31     31     31   45.627   0.495
     1 32 1455.716 1455.748    43.0510  -0.74135E-04     32     32     32   45.647   0.496
     2  1   69.505   69.493    46.1962  -0.20010E-01      1      1      1   50.932   0.114
     2  2   93.114   93.080    46.0041  -0.10149E-01      2      2      2   51.534   0.155
     2  3  138.234  138.340    47.7039  -0.38853E-02      3      3      3   49.988   0.137
     2  4  171.330  171.793    45.4414  -0.21201E-02      4      4      4   50.090   0.156
     2  5  194.439  194.245    45.2711  -0.15590E-02      5      5      5   49.435   0.152
     2  6  225.769  226.045    44.9005  -0.11079E-02      6      6      6   48.850   0.152
     2  7  251.064  251.055    44.4733  -0.81464E-03      7      7      7   48.384   0.151
     2  8  278.076  277.966    44.2709  -0.59045E-03      8      8      8   47.572   0.136
     2  9  298.380  298.331    44.2099  -0.47666E-03      9      9      9   46.913   0.106
     2 10  317.620  317.690    44.0363  -0.39306E-03     10     10     10   46.784   0.125
     2 11  340.872  341.017    43.6923  -0.31410E-03     11     11     11   47.027   0.154
     2 12  367.678  367.669    43.5837  -0.25090E-03     12     12     12   46.894   0.157
     2 13  393.969  393.863    43.4008  -0.20733E-03     13     13     13   46.638   0.156
     2 14  418.596  418.486    43.3276  -0.17482E-03     14     14     14   46.205   0.151
     2 15  440.779  440.654    43.2896  -0.15206E-03     15     15     15   45.843   0.145
     2 16  461.759  461.829    43.1597  -0.13534E-03     16     16     16   45.812   0.151
     2 17  485.627  485.759    43.0216  -0.11946E-03     17     17     17   45.919   0.159
     2 18  511.256  511.242    42.9421  -0.10508E-03     18     18     18   45.896   0.161
     2 19  537.361  537.280    42.8891  -0.93354E-04     19     19     19   45.698   0.160
     2 20  561.663  561.466    42.8863  -0.84182E-04     20     20     20   45.389   0.158
     2 21  584.422  584.295    42.9083  -0.76576E-04     21     21     21   45.133   0.156
     2 22  606.575  606.692    42.8771  -0.70134E-04     22     22     22   45.089   0.158
     2 23  630.510  630.587    42.8372  -0.64118E-04     23     23     23   45.156   0.161
     2 24  656.034  656.004    42.8291  -0.58453E-04     24     24     24   45.153   0.163
     2 25  681.971  681.914    42.8480  -0.53412E-04     25     25     25   45.013   0.163
     2 26  706.928  706.713    42.8973  -0.49241E-04     26     26     26   44.770   0.161
     2 27  730.341  730.208    42.9453  -0.45787E-04     27     27     27   44.573   0.160
     2 28  753.522  753.615    42.9506  -0.42713E-04     28     28     28   44.532   0.161
     2 29  777.841  777.916    42.9559  -0.39849E-04     29     29     29   44.564   0.163
     2 30  803.408  803.409    42.9765  -0.37160E-04     30     30     30   44.557   0.164
     2 31  829.288  829.181    43.0105  -0.34689E-04     31     31     31   44.455   0.164
     2 32  854.493  854.264    43.0672  -0.32514E-04     32     32     32   44.271   0.163
     2 33  878.511  878.432    43.1221  -0.30626E-04     33     33     33   44.116   0.163
     2 34  902.376  902.476    43.1435  -0.28896E-04     34     34     34   44.076   0.163
     2 35  927.118  927.170    43.1644  -0.27250E-04     35     35     35   44.084   0.164
     2 36  952.576  952.572    43.1956  -0.25702E-04     36     36     36   44.064   0.164
     2 37  978.273  978.162    43.2354  -0.24268E-04     37     37     37   43.987   0.164
     2 38 1003.640 1003.434    43.2883  -0.22974E-04     38     38     38   43.856   0.164
     2 39 1028.234 1028.183    43.3373  -0.21825E-04     39     39     39   43.736   0.164
     2 40 1052.568 1052.668    43.3669  -0.20775E-04     40     40     40   43.688   0.164
     2 41 1077.488 1077.556    43.3979  -0.19782E-04     41     41     41   43.673   0.164
     2 42 1102.870 1102.864    43.4343  -0.18845E-04     42     42     42   43.645   0.165
     2 43 1128.366 1128.223    43.4703  -0.17968E-04     43     43     43   43.592   0.165
     2 44 1153.792 1153.601    43.5145  -0.17151E-04     44     44     44   43.507   0.165
     2 45 1178.882 1178.873    43.5626  -0.16397E-04     45     45     45   43.412   0.165
     2 45 1203.671 1203.782    43.6021  -0.15696E-04     46     46     45   43.346   0.165
     2 47 1228.608 1228.661    43.6356  -0.15034E-04     47     47     47   43.311   0.165
     2 48 1253.775 1253.736    43.6689  -0.14408E-04     48     48     48   43.285   0.165
     2 48 1279.113 1278.956    43.7029  -0.13817E-04     49     49     48   43.257   0.165
     2 49 1304.696 1304.530    43.7423  -0.13258E-04     50     50     49   43.208   0.165
     2 50 1330.231 1330.244    43.7859  -0.12737E-04     51     51     50   43.129   0.165
     2 51 1355.317 1355.424    43.8306  -0.12256E-04     52     52     51   43.042   0.165
     2 51 1380.091 1380.128    43.8722  -0.11808E-04     53     53     51   42.985   0.165
     2 52 1405.004 1404.936    43.9055  -0.11384E-04     54     54     52   42.969   0.165
     2 52 1430.352 1430.189    43.9339  -0.10974E-04     55     55     52   42.973   0.166
     2 53 1456.157 1456.017    43.9677  -0.10578E-04     56     56     53   42.950   0.166
     2 54 1482.009 1482.046    44.0122  -0.10201E-04     57     57     54   42.873   0.166
