          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  11385 K
     model number =   30   age (yrs) =  3.70306E+08   l/l sun =  2.72409E-03
     number of points in model = 436   r/r sun =  1.35363E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0584        64.4755        0.3018
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  1  104.798  104.463    46.6504   0.47235E+00      1      1      1   52.757   0.482
     1  1  204.111  205.451    46.4604  -0.18525E+01      3      1      1   51.199   0.486
     1  3  261.661  261.981    45.9137   0.51328E+00      3      3      3   50.478   0.473
     1  4  302.249  301.740    45.7348   0.45426E-01      4      4      4   49.230   0.439
     1  5  345.105  345.230    45.2008  -0.41095E-01      5      5      5   48.837   0.462
     1  6  393.305  393.142    44.8586  -0.22281E-01      6      6      6   48.125   0.446
     1  7  426.015  426.060    44.9155  -0.25238E-02      7      7      7   47.453   0.379
     1  8  460.264  460.444    44.3736   0.65445E-02      8      8      8   47.841   0.470
     1  9  508.680  508.808    44.0748   0.43729E-02      9      9      9   47.978   0.487
     1 10  556.883  556.783    43.8704  -0.31164E-03     10     10     10   47.684   0.485
     1 11  600.662  600.418    43.7623  -0.81987E-03     11     11     11   47.199   0.474
     1 12  638.044  637.816    43.6696   0.29614E-03     12     12     12   46.899   0.468
     1 13  676.167  676.255    43.4869   0.82030E-03     13     13     13   46.941   0.480
     1 14  719.557  719.827    43.3173   0.28879E-03     14     14     14   47.043   0.489
     1 15  765.285  765.259    43.1795  -0.40206E-03     15     15     15   47.010   0.491
     1 16  810.800  810.580    43.0850  -0.57895E-03     16     16     16   46.806   0.490
     1 17  853.416  853.137    43.0481  -0.43509E-03     17     17     17   46.503   0.487
     1 18  891.867  891.734    43.0120  -0.26739E-03     18     18     18   46.345   0.486
     1 19  931.913  932.070    42.9108  -0.16025E-03     19     19     19   46.436   0.491
     1 20  976.271  976.372    42.8390  -0.10525E-03     20     20     20   46.529   0.494
     1 21 1022.421 1022.318    42.8160  -0.38446E-04     21     21     21   46.462   0.495
     1 22 1067.703 1067.479    42.8326   0.33827E-04     22     22     22   46.232   0.493
     1 23 1109.068 1108.643    42.8783   0.50401E-04     23     23     23   45.985   0.491
     1 24 1148.219 1148.109    42.8713   0.31149E-04     24     24     24   45.958   0.492
     1 25 1191.197 1191.405    42.8416   0.77128E-05     25     25     25   46.078   0.495
     1 26 1237.392 1237.388    42.8492  -0.33009E-04     26     26     26   46.105   0.496
     1 27 1283.799 1283.609    42.8847  -0.77505E-04     27     27     27   45.978   0.496
     1 28 1327.977 1327.612    42.9419  -0.89050E-04     28     28     28   45.765   0.495
     1 29 1369.205 1368.835    42.9911  -0.91390E-04     29     29     29   45.630   0.494
     1 30 1410.865 1410.876    42.9968  -0.87065E-04     30     30     30   45.666   0.496
     1 31 1455.530 1455.638    43.0025  -0.58796E-04     31     31     31   45.748   0.497
     2  1   60.612   60.412    47.3186  -0.30006E-01      1      1      1   52.098   0.149
     2  2  118.050  118.847    46.4468  -0.54586E-02      2      2      2   51.192   0.152
     2  3  151.831  152.128    45.8952  -0.27819E-02      3      3      3   50.141   0.147
     2  4  177.298  177.098    45.6616  -0.20341E-02      4      4      4   49.248   0.126
     2  5  201.748  201.897    45.1721  -0.15686E-02      5      5      5   49.014   0.141
     2  6  230.814  230.847    44.7468  -0.10959E-02      6      6      6   48.695   0.150
     2  7  260.729  260.696    44.4000  -0.72866E-03      7      7      7   48.025   0.147
     2  8  285.588  285.442    44.2998  -0.53259E-03      8      8      8   47.091   0.111
     2  9  303.116  303.138    44.1642  -0.43965E-03      9      9      9   46.804   0.111
     2 10  326.809  326.925    43.8390  -0.35126E-03     10     10     10   47.003   0.149
     2 11  353.950  354.023    43.6472  -0.27927E-03     11     11     11   46.923   0.155
     2 12  380.618  380.499    43.4953  -0.22578E-03     12     12     12   46.633   0.154
     2 13  405.999  405.869    43.3946  -0.18745E-03     13     13     13   46.233   0.149
     2 14  428.942  428.864    43.3273  -0.16150E-03     14     14     14   45.903   0.145
     2 15  451.042  451.085    43.1995  -0.14204E-03     15     15     15   45.845   0.151
     2 16  475.624  475.747    43.0578  -0.12460E-03     16     16     16   45.914   0.158
     2 17  501.982  502.026    42.9604  -0.10928E-03     17     17     17   45.869   0.160
     2 18  528.470  528.370    42.9045  -0.96532E-04     18     18     18   45.653   0.159
     2 19  553.489  553.331    42.8986  -0.86449E-04     19     19     19   45.325   0.157
     2 20  576.050  575.954    42.9075  -0.78680E-04     20     20     20   45.106   0.155
     2 21  599.064  599.167    42.8519  -0.71781E-04     21     21     21   45.140   0.159
     2 22  624.742  624.861    42.8087  -0.65071E-04     22     22     22   45.212   0.162
     2 23  651.590  651.536    42.8051  -0.59019E-04     23     23     23   45.133   0.162
     2 24  677.977  677.885    42.8413  -0.53895E-04     24     24     24   44.893   0.161
     2 25  702.396  702.227    42.9034  -0.49748E-04     25     25     25   44.623   0.160
     2 26  725.477  725.409    42.9190  -0.46280E-04     26     26     26   44.541   0.160
     2 27  750.226  750.343    42.9023  -0.42983E-04     27     27     27   44.609   0.162
     2 28  776.686  776.766    42.9142  -0.39847E-04     28     28     28   44.621   0.163
     2 29  803.529  803.480    42.9527  -0.37013E-04     29     29     29   44.504   0.163
     2 30  829.595  829.458    43.0092  -0.34551E-04     30     30     30   44.291   0.163
     2 31  853.997  853.825    43.0705  -0.32453E-04     31     31     31   44.105   0.162
     2 32  877.893  877.921    43.0924  -0.30572E-04     32     32     32   44.081   0.163
     2 33  903.452  903.605    43.0964  -0.28735E-04     33     33     33   44.151   0.164
     2 33  930.438  930.453    43.1216  -0.26963E-04     34     34     33   44.145   0.164
     2 35  957.495  957.419    43.1744  -0.25347E-04     35     35     35   44.000   0.164
     2 36  983.151  983.004    43.2493  -0.23953E-04     36     36     36   43.781   0.163
     2 37 1007.156 1007.054    43.2983  -0.22755E-04     37     37     37   43.674   0.163
     2 37 1032.007 1032.095    43.3018  -0.21613E-04     38     38     37   43.730   0.164
     2 38 1058.624 1058.751    43.3204  -0.20490E-04     39     39     38   43.775   0.165
     2 39 1085.790 1085.778    43.3662  -0.19434E-04     40     40     39   43.702   0.165
     2 39 1112.288 1112.183    43.4287  -0.18480E-04     41     41     39   43.532   0.164
     2 40 1137.339 1137.190    43.4888  -0.17641E-04     42     42     40   43.379   0.164
     2 41 1161.850 1161.823    43.5185  -0.16872E-04     43     43     41   43.351   0.164
     2 42 1187.553 1187.694    43.5346  -0.16115E-04     44     44     42   43.406   0.165
     2 42 1214.490 1214.583    43.5633  -0.15375E-04     45     45     42   43.415   0.165
     2 43 1241.617 1241.544    43.6095  -0.14681E-04     46     46     43   43.317   0.165
     2 44 1267.728 1267.585    43.6740  -0.14056E-04     47     47     44   43.146   0.165
     2 44 1292.373 1292.268    43.7280  -0.13504E-04     48     48     44   43.041   0.165
     2 45 1317.335 1317.379    43.7431  -0.12980E-04     49     49     45   43.077   0.165
     2 46 1343.891 1344.029    43.7611  -0.12457E-04     50     50     46   43.132   0.165
     2 46 1371.130 1371.157    43.8003  -0.11954E-04     51     51     46   43.089   0.166
     2 47 1397.805 1397.677    43.8611  -0.11491E-04     52     52     47   42.948   0.165
     2 48 1423.174 1423.029    43.9220  -0.11074E-04     53     53     48   42.813   0.165
     2 48 1448.028 1447.995    43.9500  -0.10687E-04     54     54     48   42.789   0.165
     2 48 1473.853 1473.943    43.9713  -0.10305E-04     55     55     48   42.837   0.166
