          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  11385 K
     model number =   30   age (yrs) =  3.73986E+08   l/l sun =  2.71559E-03
     number of points in model = 436   r/r sun =  1.35151E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0587        61.8075        0.3025
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  1  119.007  119.038    46.3114  -0.11233E+00      1      1      1   51.212   0.447
     1  2  152.673  152.382    45.8163  -0.17943E+00      2      2      2   51.408   0.484
     1  3  241.088  241.325    46.4425   0.16368E+00      3      3      3   50.227   0.465
     1  4  283.531  284.133    45.5149   0.17300E+00      4      4      4   50.431   0.488
     1  5  335.395  335.172    45.4158   0.52665E-01      5      5      5   49.248   0.474
     1  6  379.446  379.937    44.9685  -0.88314E-02      6      6      6   48.476   0.460
     1  7  416.238  415.857    44.8775  -0.91252E-02      7      7      7   47.624   0.390
     1  8  443.998  444.125    44.5863  -0.12549E-02      8      8      8   47.602   0.434
     1  9  484.501  484.884    44.2656   0.13083E-02      9      9      9   47.888   0.480
     1 10  530.618  530.531    43.9784  -0.11278E-02     10     10     10   47.901   0.488
     1 11  574.106  574.103    43.8157   0.14384E-02     11     11     11   47.650   0.486
     1 12  618.811  618.518    43.6971   0.19943E-02     12     12     12   47.180   0.477
     1 13  653.454  653.224    43.6285   0.27740E-03     13     13     13   46.854   0.468
     1 14  689.756  689.954    43.4650  -0.21127E-03     14     14     14   46.915   0.481
     1 15  731.406  731.636    43.2929   0.44208E-03     15     15     15   47.068   0.490
     1 16  775.960  775.875    43.1549  -0.14531E-03     16     16     16   47.064   0.493
     1 17  819.721  819.542    43.0788  -0.83386E-03     17     17     17   46.868   0.492
     1 18  861.899  861.604    43.0304  -0.49029E-03     18     18     18   46.567   0.488
     1 19  899.105  898.892    43.0213  -0.22865E-03     19     19     19   46.338   0.486
     1 20  936.559  936.697    42.9340  -0.29076E-03     20     20     20   46.392   0.490
     1 21  978.306  978.401    42.8582  -0.21477E-03     21     21     21   46.512   0.494
     1 22 1022.071 1021.996    42.8349   0.37860E-04     22     22     22   46.500   0.495
     1 23 1065.883 1065.710    42.8369   0.81031E-04     23     23     23   46.355   0.495
     1 24 1107.931 1107.498    42.8606   0.51384E-04     24     24     24   46.131   0.493
     1 25 1147.046 1146.777    42.8965   0.76305E-04     25     25     25   45.959   0.492
     1 26 1185.921 1186.061    42.8896   0.54995E-04     26     26     26   45.974   0.494
     1 27 1227.914 1227.979    42.8743  -0.17501E-04     27     27     27   46.069   0.496
     1 28 1272.196 1272.075    42.8904  -0.69258E-04     28     28     28   46.069   0.497
     1 29 1316.197 1315.952    42.9261  -0.10536E-03     29     29     29   45.949   0.496
     1 30 1358.545 1358.100    42.9762  -0.11727E-03     30     30     30   45.775   0.496
     1 31 1399.067 1398.816    43.0222  -0.10574E-03     31     31     31   45.651   0.495
     1 32 1439.452 1439.511    43.0391  -0.86508E-04     32     32     32   45.649   0.496
     1 33 1481.702 1481.699    43.0500  -0.49444E-04     33     33     33   45.707   0.497
     2  1   69.304   69.321    46.6331  -0.20131E-01      1      1      1   51.011   0.118
     2  2   88.347   88.172    46.7274  -0.11415E-01      2      2      2   51.299   0.151
     2  3  140.369  140.559    46.5914  -0.37906E-02      3      3      3   49.964   0.138
     2  4  164.062  164.411    45.5009  -0.24351E-02      4      4      4   50.252   0.156
     2  5  195.032  195.004    45.3765  -0.15304E-02      5      5      5   49.389   0.151
     2  6  221.570  221.955    44.8923  -0.11473E-02      6      6      6   48.957   0.153
     2  7  248.659  248.485    44.5452  -0.84355E-03      7      7      7   48.383   0.150
     2  8  274.015  274.046    44.3338  -0.61807E-03      8      8      8   47.653   0.138
     2  9  296.079  295.913    44.2545  -0.48407E-03      9      9      9   46.929   0.106
     2 10  314.107  314.170    44.0111  -0.40510E-03     10     10     10   46.828   0.126
     2 11  336.668  336.839    43.8090  -0.32681E-03     11     11     11   46.958   0.150
     2 12  363.565  363.568    43.5759  -0.25735E-03     12     12     12   46.962   0.157
     2 13  389.189  389.085    43.4577  -0.21271E-03     13     13     13   46.660   0.156
     2 14  414.058  413.953    43.3581  -0.17999E-03     14     14     14   46.258   0.152
     2 15  436.207  436.089    43.3147  -0.15605E-03     15     15     15   45.876   0.145
     2 16  456.848  456.891    43.1878  -0.13839E-03     16     16     16   45.821   0.151
     2 17  480.215  480.345    43.0662  -0.12258E-03     17     17     17   45.907   0.158
     2 18  505.448  505.474    42.9575  -0.10816E-03     18     18     18   45.920   0.161
     2 19  531.113  531.028    42.9083  -0.95786E-04     19     19     19   45.742   0.161
     2 20  555.729  555.568    42.8948  -0.86082E-04     20     20     20   45.436   0.159
     2 21  578.178  578.020    42.9103  -0.78469E-04     21     21     21   45.164   0.156
     2 22  600.000  600.071    42.8866  -0.71871E-04     22     22     22   45.099   0.158
     2 23  623.536  623.664    42.8442  -0.65656E-04     23     23     23   45.160   0.161
     2 24  648.542  648.515    42.8266  -0.59948E-04     24     24     24   45.169   0.162
     2 25  674.079  674.019    42.8413  -0.54827E-04     25     25     25   45.053   0.163
     2 26  699.094  698.940    42.8805  -0.50442E-04     26     26     26   44.825   0.162
     2 27  722.428  722.247    42.9357  -0.46859E-04     27     27     27   44.599   0.160
     2 28  745.081  745.125    42.9455  -0.43758E-04     28     28     28   44.539   0.161
     2 29  769.040  769.157    42.9423  -0.40824E-04     29     29     29   44.579   0.163
     2 30  794.176  794.178    42.9612  -0.38068E-04     30     30     30   44.577   0.164
     2 31  819.701  819.628    42.9949  -0.35548E-04     31     31     31   44.488   0.164
     2 32  844.789  844.600    43.0415  -0.33309E-04     32     32     32   44.320   0.163
     2 33  868.775  868.620    43.1006  -0.31352E-04     33     33     33   44.145   0.163
     2 34  892.120  892.193    43.1316  -0.29599E-04     34     34     34   44.081   0.163
     2 35  916.389  916.493    43.1425  -0.27929E-04     35     35     35   44.104   0.164
     2 36  941.620  941.606    43.1710  -0.26335E-04     36     36     36   44.094   0.164
     2 37  967.017  966.942    43.2130  -0.24864E-04     37     37     37   44.016   0.164
     2 38  992.080  991.908    43.2614  -0.23539E-04     38     38     38   43.892   0.164
     2 39 1016.545 1016.414    43.3113  -0.22350E-04     39     39     39   43.767   0.164
     2 40 1040.548 1040.622    43.3478  -0.21274E-04     40     40     40   43.700   0.164
     2 41 1064.940 1065.049    43.3708  -0.20266E-04     41     41     41   43.695   0.164
     2 42 1090.101 1090.101    43.4035  -0.19302E-04     42     42     42   43.680   0.165
     2 43 1115.436 1115.347    43.4453  -0.18399E-04     43     43     43   43.617   0.165
     2 44 1140.456 1140.278    43.4879  -0.17567E-04     44     44     44   43.528   0.165
     2 45 1165.197 1165.090    43.5315  -0.16797E-04     45     45     45   43.441   0.165
     2 46 1189.764 1189.859    43.5734  -0.16077E-04     46     46     46   43.373   0.165
     2 46 1214.357 1214.467    43.6071  -0.15401E-04     47     47     46   43.337   0.165
     2 48 1239.289 1239.264    43.6376  -0.14758E-04     48     48     48   43.315   0.165
     2 48 1264.438 1264.326    43.6735  -0.14149E-04     49     49     48   43.276   0.165
     2 49 1289.525 1289.362    43.7137  -0.13581E-04     50     50     49   43.219   0.165
     2 51 1314.573 1314.488    43.7545  -0.13050E-04     51     51     51   43.154   0.165
     2 50 1339.527 1339.620    43.7953  -0.12553E-04     52     52     50   43.084   0.165
     2 51 1364.214 1364.313    43.8357  -0.12090E-04     53     53     51   43.023   0.165
     2 51 1388.860 1388.815    43.8718  -0.11655E-04     54     54     51   42.991   0.165
     2 53 1413.825 1413.697    43.9042  -0.11236E-04     55     55     53   42.978   0.165
     2 53 1439.089 1438.943    43.9377  -0.10835E-04     56     56     53   42.954   0.166
     2 54 1464.450 1464.386    43.9762  -0.10453E-04     57     57     54   42.901   0.166
     2 54 1489.629 1489.729    44.0214  -0.10091E-04     58     58     54   42.820   0.166
